 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
109,0.011,25779.392,1740.842,21161,34330,283.955,2698096978.000
110,0.011,529.095,32.296,338,674,5.828,55375649.000
111,0.011,611.473,42.739,399,891,6.735,63997365.000
112,0.011,823.154,117.332,528,1206,9.067,86152140.000
113,0.011,588.463,71.311,329,863,6.482,61589084.000
114,0.011,728.287,78.821,437,1640,8.022,76223276.000
115,0.011,566.609,73.373,353,1333,6.241,59301855.000
116,0.011,15338.569,598.187,11275,20546,168.951,1605349957.000
117,0.011,426.973,41.659,274,608,4.703,44687425.000
118,0.011,589.078,67.827,326,1155,6.489,61653510.000
119,0.011,787.737,68.997,485,1111,8.677,82445371.000
120,0.011,666.445,77.443,436,1390,7.341,69750797.000
121,0.011,819.648,142.201,494,1206,9.028,85785141.000
122,0.011,644.204,45.587,463,1149,7.096,67422987.000
123,0.011,21007.593,1432.268,5035,25336,231.395,2198675686.000
124,0.011,452.943,34.152,283,712,4.989,47405432.000
125,0.011,621.871,55.521,409,1104,6.850,65085672.000
126,0.011,968.549,104.576,607,1792,10.668,101369334.000
127,0.011,506.707,69.469,317,737,5.581,53032475.000
128,0.011,461.186,42.720,258,618,5.080,48268163.000
129,0.011,570.746,48.621,398,1026,6.287,59734845.000
130,0.011,22545.689,1183.534,18280,26521,248.336,2359654391.000
131,0.011,566.220,45.300,359,757,6.237,59261182.000
132,0.011,675.961,113.017,435,1214,7.446,70746784.000
133,0.011,512.533,38.989,352,761,5.645,53642230.000
134,0.011,547.005,34.595,315,695,6.025,57250140.000
135,0.011,528.749,40.365,327,705,5.824,55339357.000
136,0.011,499.183,49.789,337,1283,5.498,52245025.000
137,0.011,23070.771,1600.921,19003,31453,254.120,2414609918.000
138,0.011,535.231,32.554,323,698,5.895,56017774.000
139,0.011,615.118,43.849,414,918,6.775,64378888.000
140,0.011,817.746,119.475,533,1203,9.007,85586160.000
141,0.011,613.129,81.750,349,927,6.754,64170740.000
142,0.011,754.367,91.628,447,1519,8.309,78952765.000
143,0.011,592.988,84.822,361,1406,6.532,62062665.000
144,0.011,13904.588,596.749,10229,19587,153.156,1455268094.000
145,0.011,445.168,49.225,295,636,4.903,46591679.000
146,0.011,619.091,81.286,290,1288,6.819,64794723.000
147,0.011,806.455,79.261,497,1164,8.883,84404419.000
148,0.011,673.973,80.337,416,1390,7.424,70538670.000
149,0.011,819.940,144.646,502,1222,9.031,85815767.000
150,0.011,655.027,49.632,443,1141,7.215,68555798.000
151,0.011,19058.936,1303.773,4578,23007,209.930,1994727273.000
152,0.011,463.756,36.111,284,664,5.108,48537157.000
153,0.011,632.003,59.316,419,1162,6.961,66146116.000
154,0.011,967.520,108.993,595,1687,10.657,101261596.000
155,0.011,508.287,69.026,331,739,5.599,53197781.000
156,0.011,467.881,44.734,284,642,5.154,48968897.000
157,0.011,578.266,49.021,385,993,6.369,60521899.000
158,0.011,20401.949,1065.800,16678,24261,224.724,2135288430.000
159,0.011,575.942,47.694,371,777,6.344,60278686.000
160,0.011,679.828,115.697,425,1184,7.488,71151530.000
161,0.011,522.359,41.778,363,783,5.754,54670582.000
162,0.011,553.226,34.923,311,716,6.094,57901232.000
163,0.011,534.914,40.902,287,725,5.892,55984686.000
164,0.011,500.613,50.655,346,1276,5.514,52394670.000
165,0.011,20933.953,1479.889,17254,28918,230.583,2190968500.000
166,0.011,543.110,33.125,324,698,5.982,56842385.000
167,0.011,621.801,45.381,369,890,6.849,65078305.000
168,0.011,815.918,122.437,494,1226,8.987,85394833.000
169,0.011,646.355,93.403,359,1011,7.119,67648202.000
170,0.011,789.424,106.719,455,1609,8.695,82621929.000
171,0.011,626.510,96.492,390,1432,6.901,65571151.000
172,0.011,12727.045,597.904,9596,19063,140.186,1332025309.000
173,0.011,470.099,57.994,312,682,5.178,49201057.000
174,0.011,658.075,96.331,362,1239,7.249,68874753.000
175,0.011,833.611,91.580,527,1227,9.182,87246576.000
176,0.011,686.933,84.972,444,1363,7.566,71895138.000
177,0.011,825.809,149.365,503,1232,9.096,86429970.000
178,0.011,672.134,55.793,470,1195,7.403,70346229.000
179,0.011,17436.892,1197.142,3970,21336,192.064,1824962585.000
180,0.011,479.665,39.682,288,664,5.283,50202203.000
181,0.011,648.532,65.578,406,1155,7.143,67876018.000
182,0.011,971.052,114.943,591,1725,10.696,101631293.000
183,0.011,513.876,69.957,327,754,5.660,53782778.000
184,0.011,478.121,47.622,283,650,5.266,50040638.000
185,0.011,591.079,50.083,397,1014,6.511,61862946.000
186,0.011,18613.624,969.442,15183,22017,205.025,1948120547.000
187,0.011,590.757,51.388,382,795,6.507,61829241.000
188,0.011,687.837,119.727,428,1225,7.576,71989746.000
189,0.011,534.954,45.954,347,801,5.892,55988803.000
190,0.011,562.239,35.265,306,710,6.193,58844540.000
191,0.011,543.962,42.243,332,728,5.992,56931657.000
192,0.011,505.139,52.809,338,1277,5.564,52868380.000
193,0.011,19210.511,1381.150,15923,27197,211.600,2010591339.000
194,0.011,553.637,33.994,362,704,6.098,57944194.000
195,0.011,632.202,48.344,405,893,6.964,66166869.000
196,0.011,816.412,126.278,503,1209,8.993,85446494.000
197,0.011,685.487,104.867,371,1072,7.551,71743731.000
198,0.011,830.498,121.488,498,1573,9.148,86920741.000
199,0.011,665.034,107.376,397,1406,7.325,69603083.000
200,0.011,11738.437,598.115,8765,18271,129.297,1228556564.000
201,0.011,500.473,67.013,323,735,5.513,52379959.000
202,0.011,705.421,111.704,364,1225,7.770,73830039.000
203,0.011,867.670,104.259,503,1272,9.557,90811249.000
204,0.011,705.281,90.713,459,1400,7.769,73815449.000
205,0.011,831.771,154.054,498,1256,9.162,87053993.000
206,0.011,693.177,62.984,486,1182,7.635,72548625.000
