 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
463,0.011,747.819,92.364,478,1058,8.237,78267463.000
464,0.011,752.432,93.283,430,1230,8.288,78750256.000
465,0.011,927.659,108.173,551,1392,10.218,97089711.000
466,0.011,9623.467,531.706,7911,12488,106.001,1007201667.000
467,0.011,916.300,121.182,593,1330,10.093,95900837.000
468,0.011,980.212,186.803,563,1617,10.797,102589977.000
469,0.011,890.405,123.034,536,1627,9.808,93190674.000
470,0.011,867.098,82.879,510,1392,9.551,90751294.000
471,0.011,893.850,108.500,518,1344,9.846,93551233.000
472,0.011,717.317,97.985,467,1427,7.901,75075149.000
473,0.011,10140.417,705.714,8537,14386,111.695,1061306146.000
474,0.011,923.671,81.797,628,1313,10.174,96672283.000
475,0.011,970.064,122.306,680,1555,10.685,101527897.000
476,0.011,1066.635,199.552,638,1730,11.749,111635062.000
477,0.011,1150.798,154.113,690,1772,12.676,120443691.000
478,0.011,1290.433,207.636,802,2506,14.214,135057989.000
479,0.011,1151.619,156.109,760,1738,12.685,120529572.000
480,0.011,6456.626,620.864,4892,14818,71.118,675756905.000
481,0.011,881.532,118.288,568,1417,9.710,92262059.000
482,0.011,1281.462,196.493,740,2203,14.115,134119101.000
483,0.011,1327.057,175.121,836,1923,14.617,138891081.000
484,0.011,1094.847,152.598,700,1811,12.060,114587824.000
485,0.011,1072.023,206.057,652,1691,11.808,112198996.000
486,0.011,1091.942,136.328,729,1576,12.028,114283787.000
487,0.011,8472.607,618.658,2176,10743,93.324,886751484.000
488,0.011,850.203,97.850,537,1160,9.365,88983120.000
489,0.011,1111.110,166.928,680,1653,12.239,116289935.000
490,0.011,1324.390,220.057,775,2020,14.588,138612007.000
491,0.011,781.250,93.078,516,1114,8.605,81766441.000
492,0.011,788.058,95.784,453,1254,8.680,82478939.000
493,0.011,970.792,114.571,579,1520,10.693,101604029.000
494,0.011,9168.701,513.201,7628,11997,100.991,959605416.000
495,0.011,953.043,126.250,622,1384,10.498,99746469.000
496,0.011,1020.181,192.786,613,1733,11.237,106773194.000
497,0.011,936.280,132.590,581,1856,10.313,97991971.000
498,0.011,913.250,88.557,534,1542,10.059,95581690.000
499,0.011,941.542,114.877,564,1454,10.371,98542704.000
500,0.011,748.474,101.335,471,1449,8.244,78336078.000
501,0.011,9684.379,673.808,8096,13775,106.672,1013576757.000
502,0.011,975.659,86.270,640,1405,10.747,102113494.000
503,0.011,1015.720,128.053,715,1575,11.188,106306232.000
504,0.011,1106.174,205.910,645,1788,12.184,115773241.000
505,0.011,1193.454,154.955,756,1743,13.146,124908113.000
506,0.011,1329.956,211.498,792,2623,14.649,139194552.000
507,0.011,1200.201,156.563,802,1774,13.220,125614259.000
508,0.011,6185.294,621.499,4641,14457,68.130,647359079.000
509,0.011,916.232,119.870,599,1444,10.092,95893788.000
510,0.011,1336.441,201.314,742,2361,14.721,139873216.000
511,0.011,1369.463,177.000,874,1939,15.084,143329368.000
512,0.011,1139.842,155.760,767,1904,12.555,119296968.000
513,0.011,1103.884,209.757,656,1737,12.159,115533628.000
514,0.011,1136.822,140.841,774,1676,12.522,118980945.000
515,0.011,8079.566,593.294,2117,10322,88.995,845615490.000
516,0.011,885.719,100.697,519,1233,9.756,92700264.000
517,0.011,1161.031,173.164,685,1722,12.789,121514689.000
518,0.011,1370.675,227.550,759,2061,15.098,143456165.000
519,0.011,814.820,93.315,562,1167,8.975,85279853.000
520,0.011,823.856,97.888,502,1335,9.075,86225612.000
521,0.011,1013.332,120.581,612,1551,11.162,106056344.000
522,0.011,8748.240,494.884,7268,11526,96.360,915599528.000
523,0.011,988.884,130.888,634,1472,10.892,103497565.000
524,0.011,1061.343,198.330,622,1879,11.690,111081236.000
525,0.011,982.988,143.763,630,2103,10.827,102880474.000
526,0.011,960.458,94.616,581,1628,10.579,100522458.000
527,0.011,990.025,120.579,605,1503,10.905,103617015.000
528,0.011,779.497,104.206,496,1465,8.586,81582920.000
529,0.011,9266.981,643.839,7708,13330,102.074,969891518.000
530,0.011,1028.853,89.996,628,1503,11.333,107680836.000
531,0.011,1060.935,133.241,727,1645,11.686,111038540.000
532,0.011,1145.875,211.503,709,1942,12.622,119928398.000
533,0.011,1236.961,156.134,771,1748,13.625,129461586.000
534,0.011,1371.580,216.669,872,2721,15.108,143550890.000
535,0.011,1253.040,158.414,858,1783,13.802,131144377.000
536,0.011,5986.733,632.770,4685,14422,65.943,626577486.000
537,0.011,951.216,122.065,603,1548,10.477,99555213.000
538,0.011,1395.927,208.074,854,2479,15.376,146099112.000
539,0.011,1417.305,180.566,944,2002,15.611,148336550.000
540,0.011,1200.842,162.364,826,1978,13.227,125681332.000
541,0.011,1161.585,220.841,725,1795,12.795,121572639.000
542,0.011,1197.400,147.783,815,1668,13.189,125321098.000
543,0.011,7858.096,581.379,2068,9985,86.555,822436193.000
544,0.011,923.608,103.768,583,1279,10.173,96665742.000
545,0.011,1218.516,181.709,740,1789,13.422,127531153.000
546,0.011,1439.319,240.031,844,2171,15.854,150640578.000
547,0.011,856.178,92.867,578,1208,9.431,89608467.000
548,0.011,868.331,98.741,501,1381,9.565,90880425.000
549,0.011,1059.115,126.718,636,1614,11.666,110847991.000
550,0.011,8434.836,480.189,6963,11222,92.908,882798419.000
551,0.011,1028.261,135.549,652,1503,11.326,107618829.000
552,0.011,1118.295,210.055,692,1856,12.318,117041921.000
553,0.011,1040.608,157.977,664,2458,11.462,108911035.000
554,0.011,1019.401,102.632,575,1810,11.229,106691562.000
555,0.011,1038.447,126.322,622,1600,11.438,108684914.000
556,0.011,814.033,108.308,525,1501,8.966,85197478.000
557,0.011,9073.791,628.329,7601,12872,99.946,949672051.000
558,0.011,1084.114,94.386,638,1519,11.941,113464491.000
559,0.011,1111.437,139.737,797,1729,12.242,116324115.000
560,0.011,1191.787,219.310,718,2061,13.127,124733662.000
561,0.011,1276.299,155.664,764,1818,14.058,133578683.000
562,0.011,1403.233,218.839,787,2974,15.456,146863797.000
563,0.011,1299.586,157.551,892,1859,14.315,136015962.000
564,0.011,5758.377,636.445,4306,14315,63.427,602677500.000
565,0.011,981.669,123.030,652,1594,10.813,102742433.000
566,0.011,1449.656,213.273,855,2653,15.968,151722408.000
567,0.011,1454.548,180.909,916,2065,16.022,152234426.000
568,0.011,1235.632,163.783,870,1945,13.610,129322529.000
569,0.011,1195.586,228.168,728,1869,13.169,125131218.000
570,0.011,1232.198,149.682,837,1860,13.572,128963073.000
571,0.011,7586.669,565.910,2061,9651,83.566,794028397.000
572,0.011,960.017,106.529,597,1290,10.574,100476374.000
573,0.011,1262.198,185.954,836,1817,13.903,132102853.000
574,0.011,1473.126,243.072,829,2175,16.226,154178796.000
575,0.011,893.436,93.803,558,1263,9.841,93507903.000
576,0.011,906.607,102.897,578,1456,9.986,94886433.000
577,0.011,1102.837,132.199,664,1744,12.148,115423984.000
578,0.011,8101.007,466.980,6670,10775,89.231,847859444.000
579,0.011,1065.385,140.127,664,1603,11.735,111504275.000
580,0.011,1150.807,211.577,719,1952,12.676,120444661.000
581,0.011,1080.217,171.358,681,2686,11.898,113056604.000
582,0.011,1055.995,107.411,653,1907,11.632,110521538.000
583,0.011,1081.860,130.636,633,1680,11.916,113228569.000
584,0.011,847.542,110.481,564,1509,9.336,88704557.000
585,0.011,8629.174,606.141,7220,12330,95.049,903137973.000
586,0.011,1131.329,97.136,786,1602,12.461,118406073.000
587,0.011,1153.391,143.248,830,1792,12.704,120715004.000
588,0.011,1228.157,223.161,756,2123,13.528,128540154.000
589,0.011,1316.863,155.338,842,1837,14.505,137824175.000
590,0.011,1441.691,222.736,890,2927,15.880,150888862.000
591,0.011,1347.830,157.829,927,1898,14.846,141065248.000
592,0.011,5569.434,641.237,4374,14334,61.346,582902508.000
593,0.011,1014.826,124.676,670,1722,11.178,106212712.000
594,0.011,1504.503,218.155,963,2757,16.572,157462766.000
595,0.011,1497.874,182.265,993,2096,16.499,156768964.000
596,0.011,1286.131,167.052,898,2012,14.166,134607750.000
597,0.011,1235.953,234.261,759,1939,13.614,129356039.000
598,0.011,1280.643,154.007,848,1838,14.106,134033350.000
599,0.011,7339.359,550.628,2044,9370,80.842,768144656.000
600,0.011,995.708,108.777,627,1344,10.968,104211751.000
601,0.011,1314.296,192.353,848,1896,14.477,137555553.000
602,0.011,1526.568,251.264,897,2290,16.815,159772145.000
603,0.011,931.193,93.401,661,1288,10.257,97459604.000
604,0.011,945.634,105.014,601,1497,10.416,98970996.000
605,0.011,1147.137,138.036,703,1851,12.635,120060464.000
606,0.011,7802.604,454.645,6434,10540,85.944,816628321.000
607,0.011,1102.209,143.902,635,1663,12.141,115358271.000
608,0.011,1198.343,218.282,729,2048,13.200,125419817.000
609,0.011,1131.859,187.446,728,3018,12.467,118461500.000
610,0.011,1108.459,113.654,699,2108,12.209,116012423.000
611,0.011,1129.885,135.141,641,1763,12.445,118254855.000
612,0.011,881.352,112.930,561,1520,9.708,92243211.000
613,0.011,8336.525,582.433,6980,11718,91.825,872509015.000
614,0.011,1183.597,100.056,812,1699,13.037,123876493.000
615,0.011,1200.715,148.096,832,1891,13.226,125668026.000
616,0.011,1271.438,229.019,788,2229,14.005,133070007.000
617,0.011,1355.725,155.320,869,1910,14.933,141891516.000
618,0.011,1475.967,225.997,861,2990,16.257,154476146.000
619,0.011,1393.354,156.919,976,1966,15.348,145829856.000
620,0.011,5374.118,641.299,4252,14253,59.195,562460556.000
621,0.011,1045.291,125.316,691,1773,11.514,109401225.000
622,0.011,1556.796,222.232,974,2936,17.148,162935854.000
623,0.011,1537.714,182.672,1023,2150,16.938,160938673.000
624,0.011,1320.122,166.960,917,1951,14.541,138165283.000
625,0.011,1256.637,234.395,768,1947,13.842,131520916.000
626,0.011,1315.815,155.637,917,1906,14.493,137714476.000
627,0.011,7015.564,528.518,1946,9022,77.275,734255958.000
628,0.011,1027.427,110.434,668,1392,11.317,107531548.000
629,0.011,1360.520,196.392,916,2008,14.986,142393334.000
630,0.011,1562.498,254.600,907,2366,17.211,163532652.000
631,0.011,962.318,93.193,676,1328,10.600,100717161.000
632,0.011,976.125,107.306,603,1567,10.752,102162229.000
633,0.011,1189.303,143.467,688,1937,13.100,124473674.000
634,0.011,7498.956,441.348,6171,10262,82.600,784848215.000
635,0.011,1136.066,147.302,738,1724,12.514,118901802.000
636,0.011,1232.623,219.340,776,2136,13.577,129007506.000
637,0.011,1173.111,204.025,704,3428,12.922,122778952.000
638,0.011,1145.603,117.654,756,2113,12.619,119899983.000
639,0.011,1175.065,138.381,749,1850,12.943,122983530.000
640,0.011,911.876,113.662,608,1534,10.044,95437893.000
641,0.011,7935.108,559.162,6597,11440,87.404,830496376.000
642,0.011,1232.445,101.584,830,1786,13.575,128988922.000
643,0.011,1243.621,151.307,888,1980,13.698,130158656.000
644,0.011,1309.779,232.443,827,2317,14.427,137082785.000
645,0.011,1393.868,155.475,856,1953,15.353,145883636.000
646,0.011,1512.398,229.503,939,3131,16.659,158289095.000
647,0.011,1438.564,156.707,1003,1980,15.846,150561551.000
648,0.011,5205.390,644.789,4002,14181,57.336,544801298.000
649,0.011,1076.787,126.463,727,1860,11.861,112697595.000
650,0.011,1608.853,226.688,1061,3084,17.721,168384207.000
651,0.011,1577.842,182.732,1009,2198,17.380,165138475.000
652,0.011,1358.010,167.273,965,1968,14.958,142130685.000
653,0.011,1280.408,234.719,791,1947,14.103,134008828.000
654,0.011,1354.599,157.967,950,1935,14.921,141773730.000
655,0.011,6732.136,510.052,1770,8727,74.153,704592114.000
656,0.011,1059.441,111.611,640,1447,11.670,110882184.000
657,0.011,1410.418,201.000,917,2087,15.535,147615708.000
658,0.011,1606.954,260.049,946,2418,17.700,168185433.000
659,0.011,993.236,92.612,710,1376,10.940,103953057.000
660,0.011,1006.002,109.382,626,1614,11.081,105289132.000
661,0.011,1230.583,148.444,725,2038,13.555,128794021.000
662,0.011,7204.111,430.469,5958,9926,79.352,753989450.000
663,0.011,1168.513,150.250,768,1768,12.871,122297743.000
664,0.011,1272.719,221.042,771,2166,14.019,133204079.000
665,0.011,1221.265,223.378,781,3852,13.452,127818827.000
666,0.011,1185.650,122.303,657,2214,13.060,124091266.000
667,0.011,1222.199,141.660,788,1927,13.462,127916621.000
668,0.011,942.620,114.274,650,1547,10.383,98655585.000
669,0.011,7595.360,538.076,6352,10744,83.661,794937940.000
670,0.011,1282.146,103.369,886,1854,14.123,134190672.000
671,0.011,1289.711,154.886,946,2013,14.206,134982462.000
672,0.011,1351.150,237.410,849,2435,14.883,141412709.000
673,0.011,1430.743,154.753,953,1983,15.759,149743010.000
674,0.011,1545.003,231.222,961,3226,17.018,161701576.000
675,0.011,1482.894,155.701,1063,2040,16.334,155201216.000
676,0.011,5046.523,641.106,3815,13890,55.586,528174167.000
677,0.011,1105.993,126.899,769,1939,12.182,115754297.000
678,0.011,1659.694,230.842,1047,3171,18.281,173705254.000
679,0.011,1615.051,182.403,963,2225,17.789,169032843.000
680,0.011,1401.315,167.508,1020,2062,15.435,146663015.000
681,0.011,1308.232,235.911,817,2043,14.410,136920831.000
682,0.011,1396.259,160.445,973,1977,15.380,146133879.000
683,0.011,6489.942,493.708,1739,8345,71.485,679243792.000
684,0.011,1089.938,112.906,659,1470,12.005,114073969.000
685,0.011,1457.651,205.037,939,2156,16.056,152559235.000
686,0.011,1651.182,265.355,984,2493,18.187,172814396.000
687,0.011,1025.923,91.669,738,1391,11.300,107374095.000
688,0.011,1038.416,110.476,699,1669,11.438,108681699.000
689,0.011,1271.723,153.730,752,2177,14.008,133099759.000
690,0.011,6952.792,420.587,5717,9565,76.584,727686188.000
691,0.011,1200.136,152.975,766,1833,13.219,125607388.000
692,0.011,1314.991,226.380,823,2269,14.484,137628288.000
693,0.011,1266.904,243.676,790,4217,13.955,132595477.000
694,0.011,1236.221,127.270,821,2327,13.617,129384094.000
695,0.011,1266.126,145.216,809,2069,13.946,132514040.000
696,0.011,973.602,115.425,667,1560,10.724,101898151.000
697,0.011,7364.502,522.433,6134,10503,81.119,770776137.000
698,0.011,1327.431,105.535,822,1867,14.621,138930296.000
699,0.011,1332.441,157.953,960,2099,14.677,139454618.000
700,0.011,1390.765,241.516,897,2551,15.319,145558893.000
