Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
1,50610,6,10,5,3396.482,709.282,3848.318,652.924,3448.041,330.185,3192.257,211.52
2,50608,6,8,5,3223.727,578.556,4035.2,415.964,3298.188,451.738,3468.346,135.378
3,50809,8,5,9,4108.476,849.402,4965.871,887.309,4387.015,136.475,3721.102,110.239
4,50809,8,5,9,4010.18,718.172,4511.331,219.03,4454.191,444.844,4225.174,122.154
5,40509,5,9,4,5140.839,1973.74,3866.184,178.301,4626.185,413.919,4293.974,373.525
6,40511,5,11,4,4560.887,1576.057,3796.274,145.253,4057.71,318.893,4514.475,189.089
7,30411,11,4,3,4724.653,1447.736,3861.148,170.942,4450.209,219.818,4454.688,258.807
8,30811,11,8,3,4600.978,1285.748,3788.079,158.278,3978.753,381.871,5610.455,403.128
9,10308,8,3,1,3925.398,877.625,3146.302,173.816,4905.35,198.42,3934.072,403.623
10,10811,8,11,1,3227.278,456.5,2962.037,232.806,3938.801,307.194,3492.461,243.022
11,10911,11,1,9,4687.627,1158.361,3599.404,204.108,4037.665,324.884,5088.666,250.487
12,70911,11,7,9,4264.215,696.441,4174.075,249.884,3810.8,273.902,5028.8,285.438
13,50709,7,9,5,5141.985,1595.272,3756.184,169.655,5170.148,349.702,4368.707,358.242
14,10507,7,1,5,4243.15,740.411,3986.207,209.074,4407.474,290.43,4021.933,329.328
15,10510,1,5,10,4754.44,1052.26,4230.932,191.727,3903.959,226.62,4949.008,487.442
16,10910,1,9,10,4206.611,711.598,4700.715,190.838,3726.815,242.821,5048.556,562.328
17,60910,9,10,6,4740.661,932.226,3872.26,197.637,4413.372,423.912,4702.787,666.059
18,10609,9,1,6,3868.683,462.744,3980.012,193.928,4302.046,349.537,4232.211,522.968
19,10406,1,6,4,4451.483,537.752,4566.01,315.812,4366.159,454.756,3924.701,653.926
20,10406,1,6,4,3291.007,514.577,3681.269,255.787,3813.866,677.197,3050.922,352.617
21,20406,6,4,2,3184.229,508.495,2934.993,106.415,3013.991,389.061,3665.592,1037.048
22,20611,6,11,2,2804.769,660.999,2734.264,299.355,2734.886,507.463,2649.488,401.569
23,20510,10,5,2,3267.088,449.758,3425.353,606.255,3358.142,339.575,3319.174,169.385
24,20506,5,2,6,3609.348,472.171,4044.388,344.086,4144.778,212.982,3669.875,178.753
25,50609,5,9,6,4518.872,826.39,5099.071,578.013,3744.913,320.26,4750.914,155.15
26,60809,9,6,8,4707.67,1433.8,3652.293,257.484,4674.287,201.871,4148.31,220.595
27,40809,9,4,8,4703.087,1250.545,4596.121,292.138,4488.159,390.714,4479.889,259.833
28,20408,4,8,2,5386.451,2496.745,3961.561,192.575,4042.576,265.225,4877.931,243.092
29,20304,4,3,2,4870.728,1360.947,4217.85,236.024,4266.729,213.77,4702.865,269.289
30,20307,3,2,7,4509.489,928.557,4484.836,141.504,3654.298,228.437,4336.468,212.186
31,10307,3,1,7,5219.853,1736.715,4847.822,256.341,4015.385,358.398,4417.825,263.587
32,10407,1,7,4,5992.644,2004.251,4061.256,249.552,5255.203,378.811,4829.36,373.579
33,10409,1,9,4,4539.537,1000.479,3996.568,233.003,4966.16,261.929,3906.618,128.476
34,40911,9,4,11,5013.662,1361.494,4840.771,254.873,4515.019,330.017,3928.587,293.992
35,50911,9,5,11,4771.021,1362.866,4886.057,188.071,4090.784,312.808,3903.282,205.441
36,50811,5,11,8,5219.79,2191.877,3875.316,190.986,4089.846,269.164,3982.86,358.756
37,50810,5,10,8,4773.483,1551.463,3944.574,323.364,4729.413,222.585,3976.916,260.313
38,30810,10,8,3,4526.183,805.797,4554.145,391.197,4163.215,334.751,4912.953,287.944
39,30610,10,6,3,4805.296,1162.251,4424.225,396.429,4365.118,226.339,4878.141,300.583
40,30608,6,3,8,4311.84,665.054,3892.914,156.435,5009.357,405.045,4341.437,425.469
41,40608,6,4,8,4274.904,794.575,4430.919,223.26,4340.647,277.619,4100.601,342.367
42,10408,4,8,1,4143.264,877.584,3673.216,283.933,3938.765,435.628,5675.826,872.267
43,10204,4,2,1,3990.043,737.846,4054.265,156.485,4391.747,404.095,5256.711,838.595
44,10206,2,1,6,3133.322,687.764,3036.744,242.522,3243.079,343.327,3616.042,1083.739
45,20309,2,9,3,3646.714,717.309,3639.977,551.204,3734.873,355.329,3565.299,294.485
46,20306,2,6,3,4023.567,624.147,4943.974,422.905,4270.503,260.373,4131.068,177.366
47,30607,6,3,7,4639.976,927.487,4365.784,174.825,4662.535,251.271,4479.724,207.411
48,60708,6,8,7,4532.257,1082.035,4630.094,170.255,4049.21,285.273,4018.642,116.532
49,70810,8,7,10,5223.566,2167.92,3688.514,210.605,4429.68,237.919,4137.936,281.647
50,20810,8,2,10,4935.192,1691.638,4311.698,339.929,4157.937,226.659,4265.317,139.045
51,20410,2,10,4,4731.284,1388.035,3714.188,144.342,4455.902,185.647,4586.512,142.845
52,20407,2,7,4,4432.899,649.221,3786.446,218.423,4463.432,183.945,5456.099,270.758
53,40708,7,4,8,4541.608,888.702,3850.389,163.131,5276.432,188.921,4555.865,173.713
54,40708,7,4,8,4912.446,1095.775,4421.749,231.183,4321.875,187.022,4608.896,180.042
55,40810,4,8,10,4678.198,1175.916,3509.629,87.828,4484.109,192.817,5018.403,193.487
56,41011,4,11,10,5261.616,1521.594,4517.463,288.544,4272.806,275.866,5014.263,177.18
57,71011,11,10,7,4877.658,1368.737,3899.15,149.225,4849.353,238.869,4610.915,162.476
58,70811,11,8,7,5065.594,1995.304,4245.258,285.859,3798.294,211.441,4200.126,202.02
59,70809,8,7,9,4926.081,1725.946,3801.891,199.6,4050.507,276.227,4354.221,347.306
60,30809,8,3,9,4680.038,1325.537,4209.534,334.738,4730.516,270.107,3898.833,331.382
61,30409,3,9,4,4904.728,1289.999,4669.395,222.665,3975.553,471.753,4278.236,456.458
62,30408,3,8,4,4548.995,1354.244,4737.253,247.237,3934.576,214.776,3591.835,363.675
63,40508,8,4,5,4969.161,1436.732,4096.855,138.453,4185.347,498.794,4806.92,619.455
64,10508,8,1,5,4230.325,708.019,3956.592,266.246,4907.825,233.627,4446.237,487.657
65,10305,1,5,3,4311.533,651.859,4674.941,388.468,4723.21,570.69,4489.117,720.2
66,10306,1,6,3,3278.324,603.642,3582.809,281.276,3490.155,574.441,3706.433,538.379
67,30509,9,3,5,4366.38,968.041,6081.756,1200.421,4410.337,418.275,5118.984,362.262
68,30511,3,5,11,4123.118,832.901,3694.65,210.801,4960.267,384.107,5418.414,350.838
69,30711,3,7,11,4785.866,835.951,4328.179,503.608,4252.429,242.095,5490.911,184.644
70,20711,7,11,2,4477.857,968.836,3700.824,170.142,5207.194,348.017,4269.875,240.665
71,20710,7,10,2,4897.062,1322.722,4247.296,264.443,4137.306,244.117,4384.334,142.925
72,10210,10,2,1,4542.27,1349.588,3567.419,217.697,3955.42,216.347,4373.985,266.232
73,10410,10,4,1,4174.755,586.567,4084.021,246.91,4570.366,242.009,4058.718,175.721
74,10411,4,1,11,4114.339,599.145,4360.669,279.455,3647.628,154.919,4726.565,243.199
75,40811,4,8,11,4590.912,703.907,5301.068,205.404,4487.841,200.391,4590.683,296.962
76,60811,8,11,6,4464.266,829.913,4228.23,153.907,4902.315,256.317,3892.576,202.556
77,60810,8,10,6,4879.171,1455.68,4681.63,203.153,5010.196,172.568,3416.111,114.089
78,10610,10,6,1,4536.463,1292.243,4661.995,225.314,3894.512,242.445,3856.51,263.623
79,10710,10,7,1,4492.954,994.149,5092.327,208.501,4316.054,303.257,4200.904,248.868
80,10207,7,1,2,5015.132,1923.959,4256.169,160.65,4208.276,391.794,3917.757,276.977
81,20709,7,9,2,4871.782,1613.667,4101.105,226.269,4726.389,223.234,4203.646,236.935
82,20609,9,2,6,4505.353,1072.854,4352.399,232.555,4385.161,523.684,4734.865,417.542
83,40609,9,4,6,4771.22,1250.246,4410.594,304.108,4371.482,226.68,4395.609,296.047
84,30406,4,6,3,4374.478,1110.535,3851.635,136.883,4337.018,515.585,4232.067,501.953
85,30405,4,5,3,4478.181,991.741,4369.173,289.137,5442.027,255.008,4258.618,604.072
86,30506,5,3,6,3492.787,722.118,3651.461,217.223,3779.169,662.179,4662.956,918.89
87,30506,5,3,6,3790.797,749.511,4247.273,313.071,4135.234,256.119,3726.634,614.715
88,30611,3,6,11,3225.376,813.692,3516.074,275.583,2694.601,374.257,3255.599,921.474
89,51011,10,11,5,2955.606,587.838,2760.009,202.235,3365.99,302.391,3465.735,412.482
90,51011,10,11,5,3502.675,603.347,3870.372,435.621,3787.079,408.578,4330.442,233.843
91,10511,11,5,1,4799.741,1438.434,3780.749,310.662,4552.354,356.78,4306.474,457.1
92,10211,11,2,1,3493.566,601.598,4350.184,268.934,3498.46,306.137,3906.056,97.963
93,10209,2,1,9,5692.526,2032.059,4080.31,264.05,4786.52,394.95,5040.731,490.035
94,20509,2,5,9,4489.37,989.359,3963.884,156.535,4571.746,486.273,5210.513,321.794
95,10509,5,9,1,4820.692,1575.381,3963.622,236.45,5133.731,476.488,3616.311,295.795
96,10205,5,2,1,3619.442,641.258,3579.324,171.735,3704.421,304.743,3589.157,168.743
97,10208,2,1,8,4309.869,1236.226,3470.273,258.733,4046.497,252.916,3873.381,321.147
98,20811,2,11,8,4144.947,691.077,3842.88,263.105,4490.464,385.831,4147.557,217.287
99,81011,11,8,10,4423.785,1025.179,3615.209,125.699,4170.151,252.896,4402.512,336.156
100,21011,11,2,10,4585.87,1185.514,4988.202,612.743,3791.011,471.252,4554.926,283.182
101,20310,2,10,3,4420.619,1579.897,3185.82,287.348,4076.404,187.644,4166.605,383.265
102,20305,2,5,3,4495.585,1021.825,3891.503,195.415,4544.184,431.718,4589.483,358.727
103,30508,5,3,8,5315.904,1674.566,4507.509,206.184,4523.855,381.971,4521.112,520.183
104,50708,5,7,8,4751.094,1029.904,5314.961,361.335,4352.927,370.21,4425.697,523.861
105,20708,7,8,2,4727.17,1222.535,4126.58,197.724,3949.454,351.904,4019.67,548.748
106,20607,7,6,2,3990.473,630.162,4170.288,223.217,4300.11,431.215,3883.346,459.364
107,20610,6,2,10,4758.005,1063.826,4147.335,151.254,4127.657,413.722,4463.303,717.496
108,60710,6,7,10,3774.446,545.806,4357.829,175.771,4020.565,521.851,4046.855,505.974
109,70910,7,10,9,4271.304,808.178,3711.593,177.689,5403.433,711.135,3896.384,904.875
110,60709,7,6,9,2769.324,675.503,2847.041,177.975,3657.589,637.832,2860.144,461.871
111,50611,11,5,6,3504.858,624.799,3944.126,494.503,4473.836,836.956,3893.96,201.21
112,40506,5,6,4,5128.546,1628.926,3710.056,473.101,4745.553,353.094,5189.993,514.88
113,10405,5,1,4,4221.352,854.333,3922.209,423.917,3638.009,471.772,4577.789,217.766
114,10304,1,4,3,4686.565,1660.734,3132.103,288.009,4621.794,273.534,3964.723,334.61
115,10309,1,9,3,4971.02,1333.679,4225.747,407.657,4438.084,526.187,4465.989,350.179
116,30709,9,3,7,5070.216,1884.994,3774.665,268.367,3862.244,271.728,4831.423,312.037
117,10709,9,1,7,5032.47,1618.159,4689.522,359.434,3465.319,436.076,4858.209,257.764
118,10607,1,7,6,5027.588,2101.437,3157.919,212.182,4595.613,178.782,4165.93,353.413
119,10608,1,8,6,4805.765,1651.433,4077.249,314.721,3730.904,336.117,4320.164,206.663
120,10608,8,6,1,5425.688,2160.787,3764.424,187.775,4231.761,375.72,4516.33,330.114
121,10810,8,10,1,5271.436,1758.226,4278.484,382.97,4562.49,383.155,4200.975,217.905
122,11011,10,1,11,5698.744,2486.501,4139.86,169.06,4551.188,415.397,4112.675,419.42
123,31011,10,3,11,4623.679,1484.849,4327.709,158.346,4177.718,288.059,3901.301,228.776
124,20311,3,11,2,5409.889,2092.92,3896.398,186.087,4132.869,260.924,4742.242,523.534
125,20308,3,8,2,5268.17,1966.647,4034.39,200.548,4320.751,263.983,4995.891,618.592
