Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
62,30408,3,8,4,19366.417,4326.049,22632.642,1914.176,25375.115,2794.546,22957.175,3603.442
63,40508,8,4,5,21256.307,3293.704,24207.736,2047.238,22634.099,2299.504,23987.311,4983.362
64,10508,8,1,5,18243.434,4608.845,16455.978,1261.743,26297.918,2144.493,15626.767,1561.146
65,10305,1,5,3,15864.806,2860.71,19578.43,2366.282,14951.937,1959.623,15123.064,2966.184
66,10306,1,6,3,10455.167,2331.737,12232.51,904.787,9979.986,1549.102,10859.742,2131.162
67,30509,9,3,5,22481.859,5732.51,26752.649,7444.801,19713.787,4520.792,26827.667,1341.482
68,30511,3,5,11,20328.232,4954.954,18049.539,2716.496,26668.795,1836.92,24055.857,2038.884
69,30711,3,7,11,21073.98,5187.122,18455.659,3834.335,15006.934,2634.097,30190.817,1549.452
70,20711,7,11,2,21984.901,5624.739,15896.499,1595.903,33282.305,3019.87,22211.734,1907.285
71,20710,7,10,2,23775.419,5609.814,29486.303,5092.966,23579.917,3644.111,30783.22,1486.037
72,10210,10,2,1,19195.994,5230.384,21964.075,2287.402,30062.287,2373.319,19236.927,2652.514
73,10410,10,4,1,15557.239,5795.394,27479.885,3171.954,16486.685,1937.04,16407.53,2070.705
74,10411,4,1,11,13008.374,4377.735,17315.667,2801.453,20656.486,2882.348,12062.933,1781.988
75,40811,4,8,11,19076.675,5205.891,28900.804,2906.994,20863.016,2387.704,20510.929,1809.038
76,60811,8,11,6,19587.184,5229.682,15833.594,1255.942,19862.802,2649.079,16325.293,2518.867
77,60810,8,10,6,21585.894,7397.509,19615.419,2837.248,17118.912,2768.103,14931.259,2688.428
78,10610,10,6,1,20577.609,7400.277,15666.532,1652.277,15462.102,3282.975,15766.528,3170.458
79,10710,10,7,1,18841.771,5472.278,18083.068,1315.942,30812.224,3537.829,23968.088,2112.753
80,10207,7,1,2,20218.354,6609.865,21601.546,2230.082,21228.988,2425.269,32888.07,4164.015
81,20709,7,9,2,19533.682,6636.645,18334.324,1468.995,29511.396,2617.141,30603.929,3785.454
82,20609,9,2,6,18785.565,5913.387,20181.453,2193.057,23600.125,3575.154,29364.937,3841.338
83,40609,9,4,6,17182.316,5146.069,18533.086,2859.503,26593.026,2228.976,19728.676,2031.834
84,30406,4,6,3,18120.447,4854.695,19284.456,1780.497,19098.639,2250.325,25588.674,3394.297
85,30405,4,5,3,20294.474,4654.186,19382.85,554.497,24871.936,1828.628,21954.248,2711.257
86,30506,5,3,6,16244.854,4736.302,13412.411,614.408,16829.411,3293.803,22982.377,3987.138
87,30506,5,3,6,14868.826,3990.133,13513.665,1229.469,14208.432,1149.026,18814.979,3486.733
88,30611,3,6,11,15866.049,5921.831,13093.089,2307.601,12075.639,3330.173,16454.566,4316.18
89,51011,10,11,5,11358.883,3122.981,7654.999,689.136,11618.615,1737.748,12971.72,2491.252
90,51011,10,11,5,13431.013,2830.086,11817.484,602.42,13232.242,1047.406,18495.105,1771.065
91,10511,11,5,1,20921.826,5815.116,15965.5,1592.798,23272.483,1667.698,19170.098,2968.839
92,10211,11,2,1,12304.869,3707.422,17591.632,1962.866,8703.667,1239.637,18470.009,2018.652
93,10209,2,1,9,18224.061,4803.174,14792.971,959.324,25404.061,2776.3,17436.131,4752.142
94,20509,2,5,9,12481.064,3914.365,16317.06,1605.249,11808.151,1361.674,19865.375,1413.259
95,10509,5,9,1,16057.54,5757.102,15712.073,1148.376,29105.215,2433.605,10145.468,1077.682
96,10205,5,2,1,12216.945,3344.087,16899.067,812.649,10117.113,718.685,11400.84,1115.118
