Index,Combo,Species_1,Species_2,Species_3,TriMean,TriStDev,Species_1_Mean,Species_1_STDEV,Species_2_Mean,Species_2_STDEV,Species_3_Mean,Species_3_STDEV
73,30405,3,5,4,8481.825,3628.688,8344.665,1501.858,7214.55,524.778,8306.227,1870.421
74,40511,5,4,11,9688.148,4886.712,6934.402,599.424,5988.265,1297.817,21732.148,3853.449
75,50911,5,9,11,11086.02,2716.225,10417.507,2229.442,9924.934,946.509,17856.528,2299.066
76,60911,9,11,6,11619.208,3976.406,8756.881,833.266,13038.34,3198.705,16331.923,3872.532
77,60911,9,11,6,11005.407,4063.364,8971.68,1366.37,9746.024,1223.239,16135.016,5053.654
78,20611,11,6,2,12236.713,5298.737,9616.741,2427.303,7513.447,1736.879,16407.266,3421.55
79,20311,11,3,2,14061.194,4621.35,15838.369,6746.093,12921.686,4636.3,23298.316,2759.016
80,20309,3,2,9,13552.374,5350.347,8159.586,1308.751,16734.831,5344.664,23105.486,3165.303
81,10309,3,1,9,11216.879,6737.449,11596.141,6319.276,9860.583,952.381,10753.539,3058.167
82,10709,1,9,7,15015.716,8444.957,15134.448,3463.569,37340.53,5861.383,23093.539,6848.491
83,10307,1,3,7,11701.011,4995.759,10602.885,1536.919,11238.358,2562.969,16798.293,7317.271
84,30709,3,7,9,10437.574,3644.083,7664.033,860.661,8663.174,1938.763,11357.698,1740.773
85,20309,3,2,9,11523.506,4556.787,7202.252,1811.669,15893.562,3133.164,11388.373,4316.531
86,20911,2,9,11,12750.262,5121.021,8914.436,1829.506,9226.533,2599.405,16911.949,2668.855
87,21011,2,10,11,13035.481,4693.833,9235.737,2580.813,12288.539,3202.617,10378.87,2363.135
88,51011,10,11,5,11290.971,4255.246,9562.178,3264.591,7552.526,2233.252,10740.256,2249.276
