 ,Mean,StdDev,Min,Max
1,557.813,65.232,337,828
2,522.423,75.612,289,803
3,538.138,55.507,336,804
4,494.392,70.739,267,910
5,540.813,51.232,332,775
6,483.561,68.042,289,754
7,539.471,57.804,327,878
8,495.606,65.141,282,803
9,508.419,68.462,283,795
10,497.361,70.977,265,820
11,497.247,76.875,290,965
12,505.261,66.081,229,800
13,534.571,65.264,302,770
14,532.700,61.069,279,773
15,535.151,61.593,315,866
16,498.746,66.306,271,747
17,526.990,55.807,302,766
18,483.063,67.529,265,738
19,559.888,53.436,319,773
20,500.954,69.857,257,785
21,547.539,63.482,290,916
22,575.774,69.384,280,854
23,533.730,78.724,287,852
24,535.133,73.244,310,813
25,536.930,70.971,279,816
26,515.903,70.695,320,812
27,512.427,63.357,279,793
28,526.727,61.225,337,1508
29,505.327,65.033,272,792
30,535.613,57.247,345,925
31,520.777,67.428,285,781
32,536.253,56.442,325,827
33,504.886,64.921,309,1035
34,523.585,54.016,324,785
35,481.329,67.892,279,749
36,516.970,66.309,289,982
37,514.810,65.660,279,813
38,508.186,70.853,297,778
39,502.310,65.700,245,1233
40,499.808,69.761,294,794
41,527.198,64.874,277,802
42,507.592,71.476,312,866
43,531.935,65.222,272,778
44,510.937,77.997,306,941
45,562.091,74.289,344,916
46,531.942,75.254,319,1879
47,568.158,65.372,348,846
48,506.398,67.552,294,795
49,531.424,68.902,306,811
50,499.938,74.800,306,788
51,520.732,75.542,322,857
52,515.797,63.222,315,1026
53,536.210,68.122,313,804
54,534.633,62.879,316,888
55,509.599,71.202,314,839
56,535.940,65.371,310,956
57,510.598,73.104,330,834
58,521.208,62.722,301,1307
59,506.101,64.086,326,840
60,513.441,61.014,301,741
61,514.926,58.440,292,793
62,505.690,64.735,263,789
63,530.784,58.223,342,807
64,513.215,64.721,282,768
65,541.005,64.746,335,837
66,506.115,74.752,282,832
67,553.074,83.629,286,864
68,546.517,83.612,313,866
69,559.212,74.957,303,842
70,524.114,78.933,311,895
71,544.479,69.924,280,800
72,553.284,64.686,330,826
73,531.280,72.004,296,812
74,530.046,56.328,346,800
75,520.136,67.841,311,773
76,543.891,56.162,333,813
77,511.738,71.915,295,776
78,544.307,57.999,317,832
79,507.210,71.436,291,859
80,519.114,71.201,275,793
81,527.416,65.654,302,796
82,506.966,71.475,296,797
83,526.931,64.196,284,792
84,505.080,72.027,315,808
85,530.217,62.055,264,799
86,505.394,74.420,322,831
87,530.846,65.541,290,804
88,539.818,73.792,304,865
89,569.464,37.255,427,712
90,643.569,31.739,464,769
91,669.624,38.904,510,828
92,628.185,48.316,446,803
93,646.132,37.532,467,777
94,603.100,39.722,451,758
95,569.947,35.047,428,727
96,617.316,38.133,395,772
97,622.411,37.612,427,804
98,612.119,35.696,414,760
99,598.425,42.009,381,754
100,565.245,35.178,425,734
101,554.758,45.260,411,692
102,615.459,41.800,410,775
103,600.091,37.682,439,735
104,575.712,35.654,428,743
105,570.080,37.924,409,711
106,594.216,36.876,429,754
107,555.529,40.147,375,710
108,631.646,38.115,418,775
109,539.953,95.501,363,848
110,543.646,23.060,416,637
111,579.161,31.731,421,712
112,619.695,36.909,458,803
113,523.578,44.841,365,673
114,615.797,39.383,408,760
115,634.436,35.644,449,766
116,574.741,29.866,428,757
117,540.453,43.450,370,687
118,660.528,37.189,454,820
119,506.633,37.229,368,616
120,648.800,34.738,451,791
121,621.639,38.164,448,965
122,568.110,28.228,419,695
123,591.060,34.328,416,719
124,634.506,35.575,429,800
125,566.789,49.142,366,725
126,625.285,30.834,455,751
127,643.550,33.358,467,770
128,631.521,33.854,442,772
129,565.412,24.249,445,668
130,627.680,33.314,440,773
131,545.270,37.908,386,683
132,587.511,24.747,451,711
133,662.377,37.114,486,866
134,591.387,28.008,434,720
135,570.067,38.320,402,699
136,608.715,36.393,426,747
137,535.461,38.789,362,723
138,588.364,31.909,398,759
139,626.663,32.772,461,766
140,594.958,30.103,397,728
141,577.001,36.977,367,738
142,558.706,38.759,416,716
143,570.935,39.289,381,700
144,628.175,36.201,449,773
145,632.580,34.004,468,762
146,607.039,29.715,413,739
147,612.294,38.359,427,773
148,574.980,37.518,416,754
149,582.224,43.806,380,722
150,668.496,32.384,480,792
151,612.089,29.317,454,754
152,626.925,27.402,445,752
153,683.275,42.001,495,854
154,633.928,37.428,432,774
155,614.768,31.511,458,737
156,634.827,38.124,419,794
157,655.278,42.864,465,810
158,561.899,42.832,408,722
159,658.300,42.067,485,810
160,662.649,38.724,448,813
161,615.872,30.178,453,745
162,620.602,34.575,429,765
163,640.484,41.996,439,806
164,536.894,35.230,399,676
165,631.307,38.400,448,765
166,647.615,32.893,483,812
167,585.000,32.786,422,722
168,578.981,31.605,436,716
169,613.782,35.706,419,769
170,563.598,32.051,375,676
171,600.079,29.831,454,730
172,614.923,67.468,382,838
173,598.850,28.321,464,726
174,550.297,27.735,409,653
175,609.934,41.676,400,792
176,547.619,29.647,389,666
177,583.315,25.307,433,686
178,605.506,83.180,397,925
179,630.735,29.683,467,781
180,608.927,29.338,434,735
181,578.840,42.724,394,720
182,533.729,39.577,372,686
183,604.049,32.700,446,764
184,641.243,48.012,439,827
185,611.405,34.120,444,753
186,607.438,35.141,427,744
187,535.414,33.802,383,659
188,567.161,35.478,399,691
189,598.543,33.403,412,755
190,596.798,31.598,407,754
191,593.042,31.557,414,728
192,574.699,34.938,352,712
193,567.495,46.072,389,742
194,543.228,35.752,359,693
195,643.034,31.518,442,807
196,573.974,28.100,446,712
197,555.263,25.049,421,665
198,616.645,29.635,467,778
199,615.249,43.920,412,778
200,561.867,37.759,361,694
201,650.670,29.946,505,778
202,579.054,45.769,409,756
203,576.616,24.086,434,692
204,578.267,40.006,393,713
205,621.022,62.477,432,967
206,535.777,34.713,382,703
207,618.709,28.423,453,753
208,618.464,41.563,427,762
209,581.171,30.504,414,719
210,628.610,37.072,432,766
211,620.976,42.329,400,772
212,558.809,37.000,389,719
213,619.467,29.625,480,785
214,597.241,75.060,394,866
215,610.990,32.856,448,753
216,611.584,29.701,440,754
217,627.037,44.165,424,778
218,564.150,42.132,355,707
219,615.598,32.504,467,786
220,657.438,45.135,420,941
221,577.413,31.760,442,711
222,641.228,35.359,436,796
223,703.685,41.618,513,916
224,648.492,33.000,429,796
225,632.707,35.267,455,771
226,611.239,47.115,436,792
227,589.676,35.906,421,735
228,691.710,36.917,497,846
229,635.701,34.985,472,781
230,623.601,34.058,442,762
231,594.237,36.600,426,724
232,571.283,47.619,411,795
233,561.729,37.089,396,718
234,655.471,32.758,481,804
235,625.269,29.202,483,770
236,592.171,31.821,473,715
237,606.674,30.213,415,738
238,622.172,44.335,423,786
239,559.601,39.744,392,693
240,683.162,34.608,504,857
241,582.921,33.521,385,765
242,570.586,21.200,452,658
243,610.778,31.094,436,724
244,625.134,38.997,457,828
245,564.082,40.732,387,707
246,667.449,30.979,504,795
247,622.449,36.733,439,751
248,594.417,28.480,411,713
249,618.993,31.143,463,746
250,634.314,36.997,457,780
251,534.774,32.704,394,630
252,627.367,29.904,446,753
253,641.140,39.137,443,782
254,584.583,33.015,429,724
255,600.883,31.194,413,719
256,629.620,39.869,403,782
257,556.623,39.424,376,684
258,614.094,29.398,439,741
259,644.993,34.929,475,824
260,615.848,29.191,443,754
261,574.448,26.019,432,687
262,605.373,41.839,427,778
263,539.204,34.426,354,674
264,570.603,27.509,446,697
265,634.722,34.489,465,819
266,611.040,30.123,470,741
267,568.103,32.485,418,695
268,577.346,40.764,385,709
269,547.490,37.748,364,679
270,567.536,31.094,418,734
271,625.374,33.347,457,793
272,618.586,27.622,454,765
273,594.767,39.502,407,724
274,539.187,46.329,386,764
275,571.045,39.357,372,709
276,608.989,33.359,465,761
277,612.656,37.914,428,800
278,602.337,28.999,438,726
279,624.111,34.294,460,768
280,552.156,40.041,374,713
281,595.025,42.116,399,739
282,651.613,31.325,464,801
283,599.384,74.776,407,837
284,611.924,29.470,467,742
285,614.355,48.717,428,755
286,603.671,49.203,418,769
287,644.602,30.277,490,751
288,685.009,35.420,485,835
289,670.810,48.414,461,864
290,605.456,43.009,457,749
291,697.846,37.740,503,861
292,682.900,43.226,489,866
293,667.524,37.084,504,806
294,648.499,35.237,467,782
295,656.954,43.916,446,800
296,567.942,38.760,413,710
297,656.682,39.039,446,793
298,665.607,37.391,490,895
299,643.941,31.303,440,787
300,640.943,32.910,493,770
301,576.597,63.762,382,783
302,607.143,39.270,405,746
303,619.796,33.730,466,793
304,661.391,36.051,494,826
305,656.217,30.257,494,810
306,600.244,26.997,449,720
307,594.578,43.939,385,789
308,579.371,35.799,379,728
309,565.269,27.095,413,721
310,635.255,36.556,453,800
311,639.600,28.544,479,766
312,597.839,34.131,388,726
313,565.587,46.859,395,754
314,584.581,39.579,395,731
315,607.914,36.647,458,786
316,630.377,34.978,457,790
317,638.752,27.019,514,771
318,620.239,39.299,432,761
319,544.751,45.767,384,749
320,600.491,40.578,411,748
321,649.421,32.437,482,832
322,587.121,35.685,419,760
323,620.296,29.618,430,763
324,620.512,34.901,422,755
325,546.108,60.931,377,760
326,531.353,53.446,352,695
327,652.887,31.326,458,784
328,574.919,34.433,390,705
329,597.250,23.371,477,716
330,636.283,33.320,463,770
331,600.068,46.354,413,796
332,586.292,38.478,410,723
333,642.593,30.103,478,797
334,578.574,43.836,406,715
335,595.769,23.706,465,708
336,630.195,33.431,456,747
337,592.582,52.254,408,792
338,559.078,34.950,408,691
339,628.047,34.521,315,779
