 ,Mean,StdDev,Min,Max
1,3079.477,1666.233,695,13761
2,3029.736,1623.594,466,14441
3,4444.854,2175.582,823,22531
4,3086.306,1735.402,531,17158
5,6417.337,2930.769,1748,26023
6,3497.760,1725.323,641,18225
7,6648.499,2622.703,1890,28290
8,7015.354,3091.044,1756,26405
9,8577.237,3157.398,2043,27353
10,6773.659,2715.056,1734,23250
11,2061.118,640.220,967,5805
12,1439.465,402.141,762,5159
13,1903.518,641.423,730,7732
14,4449.687,2066.137,836,21148
15,5296.364,2247.628,1740,23435
16,6678.153,2801.630,1109,24712
17,6591.801,3038.178,1159,27969
18,5079.016,1833.486,1024,13986
19,1449.385,402.797,558,6404
20,1116.743,259.278,398,3365
21,1168.217,290.700,421,3357
22,2344.983,1309.545,381,10392
23,2231.871,998.986,675,8421
24,3925.420,1930.945,785,18755
25,4098.790,2106.093,879,20022
26,5759.821,3028.296,887,24792
27,6682.062,2780.889,1081,24939
28,5737.645,2492.604,1349,21186
29,4125.918,2079.102,943,20226
30,3926.834,1901.820,1112,13654
31,6801.991,2683.454,1328,19394
32,8550.578,3248.310,2221,23566
33,2031.058,584.578,838,5363
34,2334.577,861.094,961,6702
35,1955.116,776.426,898,7367
36,8310.775,2653.495,2182,25201
37,8561.386,2749.603,2065,28738
38,10219.206,4026.531,2128,32280
39,7516.330,2592.701,1512,21404
40,6104.038,2812.866,1206,23611
41,1270.536,324.226,645,3284
42,1202.326,334.552,557,4092
43,1129.647,339.268,393,4202
44,2381.682,1362.507,547,11790
45,2186.825,1302.704,388,9508
46,2492.256,1393.655,658,13341
47,4019.169,2625.115,788,19170
48,3963.395,2359.267,752,21782
49,1211.878,270.045,600,6353
50,1225.320,409.078,590,4585
51,1020.595,213.676,419,2669
52,2842.950,1473.779,795,14584
53,4693.115,2239.536,929,19061
54,9936.516,4067.139,1374,30415
55,8625.307,3353.841,1547,25066
56,8625.589,2995.479,1791,23103
57,7849.345,3127.491,1400,22932
58,8301.635,3131.554,1998,27591
59,7885.548,3446.252,1499,35821
60,7350.809,2813.994,1245,28532
61,4954.676,1727.175,1162,14928
62,5116.317,2390.704,1064,18507
63,3231.542,1523.258,743,14189
64,3381.545,1448.292,664,15531
65,3194.705,1500.558,794,13066
66,2232.358,1427.785,475,14770
67,1077.917,512.135,469,6863
68,1259.483,507.138,385,12260
69,2969.204,1701.706,808,16923
70,1974.327,1171.468,546,10340
71,995.338,172.769,436,5439
72,945.095,178.508,358,2212
73,987.732,222.592,382,3454
74,2505.803,1367.385,424,14493
75,3942.277,2102.604,741,22368
76,4512.930,1856.919,682,12960
77,5616.152,2539.390,1195,25039
78,3471.602,1607.405,714,14732
79,6215.842,2646.866,1236,22558
80,4181.344,2331.702,791,23540
81,4595.968,1639.558,749,15156
82,1065.682,274.693,542,2459
83,1280.085,340.161,374,3363
84,895.182,196.622,475,1711
85,2314.387,1020.279,427,12147
86,2191.025,862.612,516,8027
87,2662.245,1280.088,524,15640
88,2081.724,989.015,492,9411
89,1960.892,718.645,906,5548
90,2010.304,792.777,1093,5991
91,3011.717,1773.202,1423,12976
92,2004.178,925.729,1015,7174
93,2486.650,984.397,1135,6338
94,2339.430,851.039,1239,8324
95,3613.602,1598.843,1342,9855
96,3313.860,1531.741,1516,10348
97,3528.197,1353.020,1737,9079
98,2367.194,1014.394,1153,7463
99,1991.046,750.722,1116,7260
100,2658.487,1244.299,1456,8827
101,5377.668,2101.736,1748,14159
102,4068.491,1444.575,1978,10662
103,5404.059,2087.806,2387,15220
104,2787.309,1051.512,1141,7344
105,2906.742,998.474,1520,9253
106,3895.853,1117.794,2225,8194
107,5691.565,1818.157,1890,12385
108,5875.799,1768.891,2663,13460
109,6205.158,2036.790,2564,15253
110,6578.153,2121.213,2280,14845
111,4536.323,1594.660,1823,11685
112,6329.260,2268.430,2576,15210
113,8268.316,2967.190,2043,17062
114,8422.483,2733.514,3246,17681
115,7082.063,2594.491,2847,17612
116,7087.247,2440.678,2263,16838
117,4276.764,1396.644,1743,9765
118,6762.976,1996.417,2745,13552
119,2395.796,504.063,1224,4324
120,2920.691,447.819,1687,4307
121,1666.082,116.420,1266,2189
122,1748.894,271.035,963,2800
123,1581.205,333.958,985,3555
124,1551.800,150.018,1050,2212
125,2055.348,394.914,1124,3781
126,1596.729,150.473,1062,2122
127,2718.050,344.085,1891,4118
128,3991.429,1413.040,1456,9106
129,4048.807,1538.294,1369,10474
130,4753.706,1770.286,2137,12166
131,3293.243,992.760,1740,7173
132,4325.084,1346.045,2246,10821
133,4976.549,2254.558,2141,16369
134,7145.868,2807.868,2498,17082
135,6284.275,2450.139,1925,16612
136,6149.698,2105.777,2210,15636
137,5317.045,2317.098,1907,13876
138,5781.727,2214.797,2503,13232
139,6826.580,3012.257,2420,19470
140,5384.779,1641.326,2150,11659
141,4680.677,1440.254,1594,9452
142,4168.456,1562.755,1638,11008
143,1340.065,192.349,888,2089
144,1991.920,378.319,1011,3782
145,1692.475,104.776,1252,2131
146,1428.240,195.661,937,2338
147,1209.403,154.592,771,1938
148,1255.190,121.145,764,1591
149,1224.031,224.408,759,2865
150,1407.273,80.837,1045,1660
151,1604.840,319.015,994,3074
152,1606.229,627.607,878,4243
153,2438.889,1040.541,1053,8048
154,1724.424,559.463,885,5124
155,1623.794,391.789,1041,3660
156,2329.654,737.058,1034,5368
157,1947.242,655.284,1137,5934
158,2736.235,1187.943,1233,7667
159,4495.366,1998.624,1736,11877
160,4150.657,1435.611,1894,10016
161,3211.747,1507.781,1320,8723
162,4201.325,1758.302,1341,12916
163,3850.245,1968.202,1530,11038
164,4410.830,1693.438,1838,10115
165,4599.011,2038.982,1672,11475
166,7286.173,2831.365,2296,20080
167,6072.632,2013.709,2577,13673
168,8280.200,2517.905,3141,18242
169,6609.248,2711.612,2279,19231
170,6275.404,2261.501,2310,13940
171,3718.834,1399.832,1644,9345
172,6517.630,2209.981,2277,16159
173,4623.196,1395.627,2451,10538
174,3825.014,1423.021,1813,9461
175,3586.630,1195.603,1508,8412
176,4389.255,1887.420,1937,12042
177,2523.281,915.182,1370,6912
178,4179.323,1888.501,1828,10998
