 ,Mean,StdDev,Min,Max
1,658.542,79.280,305,974
2,586.816,70.468,310,834
3,677.353,66.725,291,984
4,595.580,61.446,306,864
5,617.494,63.566,302,857
6,580.409,71.507,307,856
7,596.443,63.792,292,854
8,560.343,63.097,341,816
9,558.512,69.059,332,853
10,562.621,68.163,345,869
11,557.475,68.966,355,816
12,559.689,65.329,346,808
13,544.178,75.740,329,836
14,584.896,62.783,356,924
15,579.140,71.158,325,868
16,576.030,61.341,348,829
17,597.571,62.338,338,847
18,526.862,68.819,293,872
19,606.431,61.883,338,998
20,550.879,68.011,275,846
21,571.392,59.670,296,820
22,557.729,79.640,265,937
23,573.306,79.868,308,854
24,545.339,77.560,277,862
25,550.699,67.673,333,829
26,544.708,75.287,274,879
27,542.307,66.431,319,803
28,535.655,75.161,293,825
29,552.724,59.538,319,781
30,566.949,64.969,330,814
31,508.237,62.763,304,749
32,532.677,59.239,308,779
33,493.637,63.797,300,749
34,589.963,56.966,350,806
35,504.678,66.159,290,757
36,538.990,63.567,311,801
37,554.459,59.466,325,806
38,564.753,70.195,343,2202
39,525.566,61.465,298,764
40,531.840,66.196,333,800
41,540.745,57.478,303,772
42,503.692,82.317,279,789
43,541.648,60.752,277,768
44,561.765,72.326,316,820
45,626.187,79.121,270,898
46,564.597,60.986,291,827
47,642.668,74.443,283,905
48,526.734,63.706,291,771
49,599.813,67.547,323,844
50,542.137,62.633,282,778
51,598.063,72.105,316,876
52,600.818,60.639,320,852
53,546.351,77.783,325,833
54,537.960,62.251,295,785
55,567.024,70.517,312,1304
56,519.912,61.086,320,844
57,544.684,64.949,299,778
58,542.648,54.862,334,764
59,593.464,76.705,314,906
60,580.510,62.461,321,809
61,584.114,68.456,311,1088
62,541.738,61.665,287,921
63,572.410,64.887,301,825
64,510.216,67.877,267,768
65,558.525,70.543,332,849
66,576.328,62.986,271,808
67,570.348,65.436,309,820
68,565.089,64.898,286,829
69,603.211,61.753,294,885
70,583.458,63.025,282,831
71,581.329,61.210,302,819
72,583.553,73.816,266,899
73,602.055,65.040,310,851
74,585.075,66.768,265,783
75,556.069,67.413,314,817
76,568.627,61.331,277,789
77,549.152,63.331,305,781
78,602.071,60.146,285,811
79,531.657,60.554,310,769
80,563.184,62.087,264,850
81,538.030,73.410,307,848
82,550.826,69.666,277,850
83,570.460,68.587,256,826
84,529.276,72.543,304,839
85,556.107,65.935,258,815
86,545.035,90.057,264,934
87,577.270,69.016,247,901
88,572.706,85.370,255,1106
89,609.523,28.950,426,763
90,734.453,50.231,549,894
91,763.152,59.543,531,974
92,669.722,40.272,476,812
93,717.405,31.202,539,834
94,653.922,47.040,487,800
95,653.241,29.509,518,782
96,730.740,38.652,542,897
97,749.084,65.149,537,984
98,701.594,47.829,519,864
99,663.723,30.846,468,791
100,638.446,36.417,498,751
101,586.850,29.020,437,699
102,715.710,37.252,523,857
103,676.484,27.435,562,821
104,626.423,41.071,446,764
105,724.797,31.909,527,856
106,650.510,44.742,468,813
107,633.510,45.922,463,792
108,702.945,34.443,473,854
109,631.886,23.668,511,737
110,635.063,39.749,457,756
111,636.638,27.016,484,758
112,668.044,39.994,506,816
113,554.879,39.542,394,695
114,688.865,46.385,508,853
115,646.323,29.962,497,795
116,595.884,30.593,431,725
117,706.649,34.143,528,869
118,660.594,34.580,511,792
119,571.831,53.581,419,695
120,649.834,32.907,492,783
121,686.830,27.834,542,816
122,658.785,52.779,438,808
123,624.300,28.086,436,754
124,661.232,33.059,498,796
125,541.402,40.097,379,681
126,635.731,34.577,470,765
127,704.668,30.114,533,836
128,623.908,35.059,471,758
129,657.210,32.474,435,794
130,697.633,40.146,479,924
131,595.892,45.578,363,771
132,622.232,44.873,462,791
133,711.519,33.358,559,868
134,673.791,46.995,453,820
135,622.180,30.741,450,740
136,644.960,34.428,459,790
137,560.809,36.255,395,707
138,644.440,43.551,475,799
139,691.141,33.686,518,827
140,612.955,34.461,409,734
141,659.376,36.001,452,872
142,572.081,34.643,426,714
143,626.335,62.933,432,798
144,679.516,39.673,496,867
145,661.408,31.903,488,806
146,678.318,51.885,431,846
147,638.678,35.178,424,773
148,579.418,38.874,389,754
149,576.376,47.929,417,722
150,670.033,34.815,483,794
151,642.752,42.437,486,820
