 ,Mean,StdDev,Min,Max
1,742.745,109.749,393,1172
2,738.444,133.244,422,1293
3,2522.872,1204.736,597,10077
4,2891.473,1592.022,547,13001
5,3479.611,1688.889,704,15368
6,2733.401,1436.981,574,14111
7,2307.256,1169.643,569,10093
8,2064.150,1087.689,546,9099
9,4865.692,2385.035,747,16742
10,3287.176,1749.459,757,17562
11,8757.447,3359.467,1153,23822
12,4829.968,2521.970,777,18706
13,5595.767,2872.756,970,24534
14,2695.579,1367.798,544,11224
15,4889.378,2461.312,921,17105
16,950.504,294.395,400,2853
17,1141.573,299.161,615,4356
18,820.470,203.239,380,2139
19,2647.690,1309.882,689,10234
20,1874.203,1009.735,479,9604
21,2333.075,1159.878,567,9952
22,810.344,222.456,390,2658
23,911.233,442.609,340,5999
24,1030.161,444.327,456,5036
25,2105.784,1250.968,555,11150
26,3923.688,2120.062,559,15389
27,4282.558,2428.807,630,19746
28,1652.982,686.822,558,7407
29,1565.339,821.073,438,8574
30,1761.130,634.140,646,6697
31,4162.016,1753.777,1045,16452
32,9934.386,3793.946,1355,27273
33,7814.192,3418.828,1316,23908
34,9663.272,3996.471,1297,27254
35,6631.863,3614.695,1043,25813
36,7227.982,3105.026,780,21893
37,6422.970,2682.278,957,21479
38,8539.890,3295.207,1132,23573
39,5109.484,2579.605,973,18793
40,6440.001,3088.354,1025,23864
41,3662.253,1626.487,846,14148
42,4303.045,1887.940,586,13794
43,2696.154,1183.089,636,12431
44,1843.719,879.774,386,9041
45,1622.443,954.146,471,7782
46,1797.439,1053.219,485,9285
47,977.793,264.103,436,2750
48,923.902,266.063,426,2548
49,1621.562,525.032,491,4645
50,1987.675,744.633,507,6469
51,2156.366,847.260,669,7157
52,2484.239,811.942,785,6504
53,8810.301,3518.539,1191,27111
54,8985.644,3528.120,1651,25814
55,9112.579,3917.171,1098,25335
56,7623.572,3294.670,1272,24900
57,1900.913,695.975,506,6702
58,2217.652,896.609,544,8932
59,2070.424,748.749,603,8786
60,7992.422,3435.575,945,23921
61,9972.339,4021.913,1205,27168
62,5703.360,2668.222,925,22109
63,1496.297,536.134,491,6490
64,1279.572,543.224,477,5737
65,863.877,205.700,386,3082
66,1239.729,663.148,349,6852
67,1194.563,523.984,414,5651
68,1266.619,584.934,363,5887
69,923.172,226.089,359,2567
70,804.410,198.271,359,1729
71,1012.933,258.804,445,4554
72,3061.527,1766.653,510,15292
73,5712.408,2641.793,856,17934
74,4165.400,2444.334,590,19819
75,7697.147,3425.106,1118,24492
76,3464.791,2006.872,569,14950
77,5241.748,2418.904,764,20305
78,2806.364,1490.260,485,12984
79,1409.401,506.179,545,4578
80,1178.603,458.509,410,4098
81,1629.478,522.794,477,6138
82,4807.281,2758.394,614,23100
83,4855.922,2435.343,770,19182
84,1751.958,963.549,432,7819
85,929.951,195.225,411,2955
86,801.680,211.638,366,2458
87,787.372,142.637,333,1760
88,1315.303,752.130,378,5641
89,944.351,93.302,611,1172
90,847.099,41.943,668,1043
91,868.639,65.799,586,1076
92,1029.505,104.200,671,1263
93,874.392,51.130,637,1106
94,845.524,66.372,627,1129
95,3206.282,1162.410,1294,8323
96,1843.978,641.472,751,5310
97,1888.421,743.457,803,5945
98,4221.257,1583.392,1351,10515
99,2663.851,1031.185,1246,7568
100,2046.787,1017.526,867,8228
101,3739.825,1448.707,1480,8949
102,3242.127,1137.061,1058,7892
103,3636.500,1938.549,866,12118
104,5298.909,2023.753,1268,14111
105,3333.901,1467.851,788,9054
106,2544.402,1068.448,935,8953
107,2331.126,890.374,893,5827
108,3047.512,1108.536,1005,7080
109,2205.716,857.631,902,5183
110,2843.623,1281.002,920,9099
111,1723.102,585.919,862,4609
112,2419.838,914.340,1077,6285
113,3248.798,1139.371,1132,9570
114,7392.663,2868.624,1264,15907
115,5338.982,1863.826,1563,13452
116,1438.885,573.208,906,4996
117,5440.758,1542.754,1971,11902
118,2866.870,1413.276,1646,17562
119,8926.139,2924.035,2462,22127
120,8043.565,2667.576,1917,17695
121,8263.156,3395.429,1394,21117
122,7008.204,2928.920,1942,15958
123,5062.323,2152.174,1628,12602
124,3403.694,1529.906,1392,11551
125,5262.689,1894.617,1834,12584
126,6977.751,2868.759,1281,17841
127,4598.494,1795.944,1390,10857
128,3425.078,1587.365,1474,11090
129,1709.762,666.646,878,5740
130,2519.655,796.394,1227,6257
131,3245.684,1902.288,1074,12688
132,4532.147,2038.397,1272,12731
133,6745.994,3013.621,1330,17105
134,1001.044,91.117,745,1672
135,1044.226,95.145,691,1325
136,1579.168,241.725,990,2853
137,1001.400,90.356,617,1227
138,1567.963,336.876,872,4356
139,1501.124,215.397,936,2650
140,1134.172,63.431,832,1468
141,874.037,56.561,625,1127
142,1225.110,173.262,825,2139
143,2552.117,1186.343,927,8590
144,2660.712,917.914,980,6089
145,3042.284,1380.075,1127,10234
146,2131.264,1041.690,766,7327
147,1920.503,858.838,852,6063
148,1794.303,710.786,957,8577
149,1451.365,485.694,806,4896
150,2751.196,946.689,1042,7395
151,2528.674,993.998,1128,6310
152,993.058,199.590,654,2123
153,779.643,69.598,530,1223
154,1163.056,144.746,702,2039
155,791.457,94.394,607,1315
156,840.615,115.267,562,1910
157,970.293,236.563,641,2884
158,1209.935,616.946,622,5036
159,1284.711,574.452,618,4123
160,1124.633,307.781,699,2873
161,1440.163,604.135,778,5757
162,2314.413,1137.582,901,8081
163,2109.095,992.057,954,6013
164,3161.356,1375.402,1140,9300
165,3720.478,1566.094,1188,10344
166,5611.749,2580.296,1030,14701
167,5599.166,2487.446,1607,13378
168,3741.838,1868.274,1304,12834
169,3414.403,1891.482,1221,13709
170,2362.765,982.802,1006,7407
171,2358.658,739.305,1123,5260
172,1455.453,152.875,942,1996
173,2583.028,831.741,1200,6603
174,2570.554,812.513,1250,6449
175,1273.867,132.756,790,1649
176,2265.263,636.843,1104,5746
177,1440.125,99.989,1047,1836
178,2441.531,519.201,1058,4356
179,4440.509,1509.715,1893,10568
180,4240.946,1112.705,2080,9071
181,3788.597,1308.630,1685,9742
182,11604.563,2696.338,4364,19045
183,8416.234,3032.038,2738,20246
184,10217.560,3424.537,1672,27192
185,11095.492,2986.236,4734,21958
186,6923.751,2523.827,2552,19012
187,7357.011,2461.098,2795,16560
188,8941.779,3083.110,3302,20421
189,9873.235,3277.108,3206,21622
190,9953.587,3155.634,2178,23061
191,9250.423,3672.435,2383,25273
192,11644.417,2690.258,4589,19483
193,4796.770,2184.037,1679,14653
194,7204.051,2745.330,2530,19717
195,5246.421,2097.136,1769,15225
196,8951.091,2372.538,3619,18912
197,6858.050,1936.399,2658,15229
198,6024.840,1969.651,2291,14208
199,8279.953,2645.997,2475,18891
200,8401.453,3114.521,2616,19917
201,10066.450,3359.901,2939,23573
202,8571.946,2431.883,2676,18191
203,5208.095,2132.744,1710,13534
204,9023.405,2929.648,2957,16733
205,5792.691,2950.586,1868,18793
206,4008.619,1803.024,1485,11267
207,6534.621,2271.861,1996,16441
208,10040.946,4029.588,2670,23864
209,3784.035,1498.568,1481,9555
210,3837.228,2019.666,1470,13925
211,4522.561,1765.950,1654,12534
212,3916.322,1567.369,1539,11264
213,4475.468,1535.177,1860,12657
214,5806.599,2290.455,1422,13520
215,3062.530,856.139,1595,6097
216,2751.285,1137.729,1229,8545
217,2157.406,681.333,1113,5512
218,2005.314,844.489,979,6220
219,2178.049,980.630,873,6991
220,2593.366,1035.133,821,6744
221,1120.938,366.239,663,2664
222,2170.561,1321.769,811,7082
223,1205.812,198.329,877,3252
224,2864.650,1437.918,894,8078
225,1500.106,674.341,703,6298
226,1455.019,520.594,795,4588
227,1009.007,130.190,705,1584
228,1423.199,261.226,900,2750
229,1169.957,68.189,793,1426
230,1109.544,192.701,734,2038
231,1395.081,251.222,806,2473
232,1056.015,113.652,648,1445
233,1770.148,409.707,983,4130
234,1408.122,123.991,979,2110
235,2284.737,485.139,1167,4220
236,2768.307,798.973,1327,6469
237,1437.685,134.880,1034,2254
238,2647.348,542.130,1319,4894
239,1328.253,130.324,962,2042
240,2769.642,675.828,1446,6702
241,2503.541,577.258,1302,5286
242,1664.570,176.070,1249,2428
243,3143.315,715.322,1613,5912
244,3082.118,659.979,1705,5873
245,8257.397,2765.577,3087,20336
246,8687.841,2855.800,2812,19851
247,10033.746,2880.166,3076,21549
248,8703.890,2877.135,2875,19132
249,9768.113,3044.854,2818,23507
250,11125.342,3361.078,3953,22229
251,5939.938,1808.456,2506,14287
252,9050.134,3347.657,2575,22576
253,11907.237,3412.182,4463,24570
254,6922.280,2618.739,2487,17636
255,7602.031,2779.426,2004,20646
256,8599.497,2811.229,2707,20188
257,2516.131,519.204,1420,4740
258,3099.655,595.891,1634,6036
259,1499.269,141.052,1052,2169
260,3124.584,836.514,1622,6848
261,3279.851,631.913,1884,6117
262,1544.295,208.154,944,2535
263,3270.476,837.357,1874,8786
264,1416.910,105.020,1107,2138
265,2765.734,529.975,1507,5102
266,10072.835,2978.021,3745,20588
267,9413.211,2983.091,2847,22296
268,8958.363,2868.840,2694,19205
269,8441.211,3035.214,2711,19562
270,9267.783,3328.317,1920,20950
271,12034.890,3433.428,4023,24273
272,5815.843,2305.614,2397,15029
273,6960.140,2567.017,2420,16091
274,6883.338,2457.644,1931,14875
275,2395.557,544.601,1152,4614
276,1797.583,458.127,768,4000
277,1502.934,199.922,955,2410
278,2304.846,384.939,1344,3922
279,1400.096,336.485,894,3517
280,1126.290,144.353,705,1626
281,1179.043,304.049,672,3082
282,1172.190,59.103,861,1422
283,911.623,153.551,608,1765
284,1392.883,625.703,749,6852
285,1574.585,651.357,730,3834
286,922.639,248.405,582,2609
287,1637.238,658.609,787,4136
288,1299.418,371.595,843,3393
289,948.094,233.741,605,2347
290,1447.896,511.646,739,3940
291,1324.101,517.725,737,4022
292,1318.140,333.386,777,5370
293,1164.244,156.288,777,2140
294,1195.546,78.736,805,1410
295,1294.688,186.306,728,2201
296,1028.943,117.353,628,1440
297,1245.529,114.588,784,1640
298,981.410,64.660,712,1225
299,1218.556,66.071,862,1444
300,1475.955,383.320,991,4554
301,1136.280,209.594,678,2345
302,2271.915,838.704,1134,5016
303,3596.730,1723.956,1073,10396
304,3205.163,1926.069,792,13515
305,5117.070,1749.242,1827,14596
306,4290.040,1519.886,1721,10282
307,7866.935,2460.245,2237,15768
308,3668.766,1849.246,1656,13856
309,3783.932,1779.479,1184,10771
310,4714.469,1963.294,1010,10709
