 ,Mean,StdDev,Min,Max
1,555.339,64.994,318,820
2,520.634,75.205,289,793
3,536.853,55.562,331,793
4,493.721,70.582,278,883
5,541.218,51.381,311,757
6,484.191,67.908,287,752
7,541.833,58.132,326,872
8,497.492,65.423,285,771
9,507.850,67.660,300,789
10,497.252,69.621,272,823
11,496.338,75.416,287,923
12,503.939,64.935,262,790
13,534.173,65.206,313,795
14,531.602,59.095,282,812
15,537.966,61.972,305,872
16,500.786,66.947,273,772
17,529.301,55.924,294,783
18,484.604,68.051,267,747
19,561.123,52.865,312,766
20,501.033,69.895,271,797
21,545.854,61.660,311,814
22,578.916,70.149,273,844
23,532.133,78.503,284,813
24,534.089,73.069,325,825
25,536.257,70.857,289,833
26,516.998,71.138,319,821
27,513.771,63.563,270,762
28,529.899,62.564,340,1453
29,507.755,65.555,280,795
30,538.338,57.753,338,913
31,520.709,67.238,285,768
32,537.517,57.003,328,852
33,505.446,64.105,305,1026
34,525.874,54.623,328,764
35,483.818,68.477,289,760
36,518.649,66.654,295,987
37,517.320,65.797,288,813
38,509.611,70.467,299,797
39,504.705,66.041,267,1219
40,502.245,70.706,287,865
41,528.368,64.198,275,795
42,507.589,71.073,285,849
43,531.510,64.384,266,766
44,512.388,78.229,298,956
45,557.943,71.711,344,868
46,528.717,74.132,312,1866
47,564.293,63.177,335,858
48,506.883,67.438,287,810
49,529.411,67.871,295,805
50,498.876,73.759,302,782
51,519.494,74.130,308,819
52,517.756,63.537,308,948
53,539.315,68.514,329,820
54,537.623,63.139,316,916
55,511.362,71.213,310,823
56,538.507,65.713,305,966
57,512.616,73.028,308,816
58,523.304,62.963,301,1350
59,508.137,64.462,304,882
60,515.831,61.176,312,751
61,517.683,59.058,316,796
62,508.393,65.259,267,850
63,533.377,58.457,326,820
64,515.257,64.868,271,771
65,543.506,65.105,325,862
66,508.487,75.344,281,859
67,548.624,81.747,260,870
68,542.855,82.820,309,881
69,555.250,72.945,309,825
70,523.505,78.704,300,899
71,542.496,68.535,270,786
72,554.049,64.482,331,829
73,530.524,70.734,283,809
74,532.468,56.882,345,811
75,522.324,68.287,277,787
76,546.974,56.559,341,834
77,513.698,72.030,303,777
78,547.366,58.491,311,834
79,509.214,71.064,296,852
80,522.383,71.809,284,816
81,530.347,66.126,296,797
82,509.605,72.057,301,811
83,529.971,64.594,291,794
84,507.865,72.621,314,841
85,533.022,62.448,277,775
86,507.550,74.906,319,839
87,532.591,65.843,275,784
88,542.015,74.346,330,872
89,565.803,36.350,413,699
90,641.368,31.538,494,770
91,666.877,38.176,470,820
92,623.579,47.229,442,772
93,646.259,37.716,477,776
94,600.993,39.489,453,763
95,569.291,35.081,437,733
96,616.137,38.068,383,793
97,621.359,37.659,439,784
98,612.222,35.807,414,782
99,596.330,42.453,408,742
100,565.050,35.093,409,745
101,552.493,44.802,410,710
102,615.783,42.120,418,757
103,601.634,37.685,445,727
104,572.888,35.301,423,738
105,572.180,38.297,376,724
106,596.702,36.986,423,752
107,557.690,40.572,406,712
108,635.200,38.561,405,787
109,542.932,96.357,363,846
110,546.100,23.262,398,653
111,580.418,31.787,426,746
112,622.772,37.252,456,771
113,523.853,44.608,363,677
114,615.874,39.361,408,769
115,629.563,36.588,433,775
116,577.252,30.179,410,757
117,541.303,44.015,374,686
118,652.308,36.499,481,823
119,507.893,37.692,375,615
120,638.937,34.062,470,769
121,623.802,38.103,438,923
122,571.293,28.658,411,699
123,575.288,32.080,380,701
124,635.147,35.729,449,790
125,555.059,45.760,367,692
126,626.637,30.772,454,755
127,644.813,33.633,463,769
128,616.377,32.196,422,746
129,566.892,24.550,412,660
130,627.473,33.280,444,812
131,550.086,39.002,399,697
132,589.378,24.607,441,707
133,664.739,37.178,495,872
134,595.593,28.457,454,705
135,574.279,38.895,422,707
136,610.187,36.255,437,772
137,539.300,38.896,390,677
138,590.449,31.897,408,746
139,628.144,32.797,461,783
140,596.668,30.101,417,729
141,582.132,37.787,400,747
142,559.280,38.599,410,732
143,574.721,40.041,403,713
144,629.422,35.815,443,766
145,626.516,33.707,456,755
146,608.851,29.765,438,764
147,616.054,38.282,439,760
148,566.096,35.938,418,739
149,582.545,43.553,383,707
150,660.199,32.791,492,784
151,607.587,28.909,440,738
152,627.500,27.185,416,791
153,687.912,41.883,504,844
154,632.878,37.520,445,778
155,613.375,31.608,467,735
156,632.308,37.830,464,803
157,654.667,43.281,443,797
158,560.950,42.569,420,706
159,657.155,41.742,483,792
160,661.259,38.598,465,825
161,615.000,29.742,441,742
162,620.895,34.648,440,755
163,639.631,41.998,448,808
164,538.006,35.743,355,688
165,631.930,38.431,422,766
166,650.843,33.258,479,821
167,587.192,33.352,432,709
168,580.560,31.713,439,706
169,615.501,36.145,434,762
170,567.536,32.953,373,699
171,602.378,29.807,452,724
172,616.657,67.689,395,848
173,602.831,28.432,459,746
174,553.610,28.531,370,652
175,611.611,41.264,403,770
176,551.604,30.292,389,669
177,585.052,25.181,425,689
178,607.748,84.493,411,913
179,633.556,29.713,443,768
180,603.246,29.478,430,748
181,580.237,43.186,387,751
182,529.432,39.188,368,669
183,606.957,33.029,456,757
184,642.202,48.578,464,852
185,604.944,33.223,441,743
186,610.830,35.458,450,754
187,537.191,34.114,385,659
188,570.723,35.566,374,703
189,601.688,32.919,431,752
190,598.874,31.933,426,741
191,596.091,31.414,429,760
192,579.326,35.563,416,720
193,570.369,46.514,376,748
194,546.341,35.894,341,681
195,646.445,31.549,449,798
196,573.045,27.919,420,715
197,558.799,25.268,432,666
198,619.538,29.987,466,781
199,616.031,44.039,387,766
200,563.882,38.088,350,701
201,648.825,29.829,483,790
202,582.358,47.138,411,768
203,579.832,24.597,413,704
204,581.226,40.521,399,736
205,624.117,62.421,437,976
206,538.729,34.927,384,688
207,622.643,28.290,454,748
208,624.089,45.447,438,818
209,585.480,30.810,421,728
210,624.515,36.412,423,761
211,620.362,42.302,409,773
212,555.084,36.225,389,693
213,618.220,29.440,452,779
214,597.429,75.583,403,849
215,605.367,32.311,445,746
216,609.775,29.257,443,719
217,627.930,44.857,446,766
218,566.453,42.159,368,696
219,615.988,31.938,461,788
220,659.339,44.954,435,956
221,575.747,31.449,434,703
222,639.358,35.320,464,804
223,684.695,42.501,515,861
224,646.975,32.751,444,770
225,630.509,34.733,430,784
226,596.848,44.165,424,765
227,588.002,35.765,382,735
228,676.695,36.147,441,858
229,633.164,34.777,464,787
230,623.577,34.074,439,771
231,597.299,37.037,420,721
232,567.747,45.555,406,766
233,562.811,37.486,371,726
234,654.390,32.779,478,784
235,613.294,29.120,450,793
236,593.341,31.913,452,712
237,606.307,30.466,446,782
238,612.119,42.945,408,781
239,559.812,39.669,387,694
240,675.689,34.087,452,819
241,584.241,33.681,427,743
242,571.222,21.339,450,665
243,614.028,31.200,433,743
244,627.952,39.952,428,799
245,567.917,40.979,405,715
246,671.172,31.008,512,820
247,626.078,37.194,440,768
248,598.838,28.538,433,711
249,621.346,31.263,433,769
250,637.315,37.476,447,810
