 ,Mean,StdDev,Min,Max
1,592.955,74.547,358,873
2,553.276,95.562,265,974
3,556.763,56.645,339,846
4,537.691,94.478,282,987
5,598.524,69.216,349,913
6,526.825,97.975,297,995
7,559.032,61.728,333,826
8,518.897,77.467,288,874
9,641.278,141.713,322,1691
10,570.591,115.544,285,2001
11,757.654,181.264,333,2467
12,596.805,103.688,253,1432
13,654.796,111.508,322,1901
14,593.124,85.594,290,972
15,614.548,98.461,302,1453
16,563.873,91.632,295,1153
17,609.737,77.728,316,1538
18,540.919,101.197,298,1014
19,620.493,81.252,328,1013
20,552.000,91.992,289,978
21,647.639,110.852,334,1165
22,595.748,88.723,292,1004
23,544.560,82.322,274,833
24,539.163,74.142,320,833
25,547.178,72.870,290,840
26,547.853,79.790,343,1126
27,555.536,72.073,296,956
28,666.117,135.413,380,1637
29,591.624,106.381,284,1133
30,686.829,107.147,364,1603
31,649.258,118.820,314,2041
32,878.246,186.585,399,2321
33,771.591,211.380,361,1969
34,752.592,133.017,349,1637
35,592.234,118.426,315,1248
36,853.338,198.107,356,2310
37,768.548,201.289,327,2241
38,945.678,255.701,343,2568
39,605.566,105.917,288,1236
40,680.525,185.072,332,2236
41,656.961,134.099,291,1676
42,678.057,144.569,338,1431
43,628.526,106.916,291,1446
44,552.209,92.397,282,930
45,620.342,103.853,363,1104
46,565.388,92.542,340,1991
47,654.321,115.471,372,1224
48,559.441,90.812,308,1014
49,924.351,205.878,396,2443
50,944.001,205.085,394,2675
51,1022.844,305.519,367,2827
52,1031.553,238.298,435,2591
53,756.402,146.565,362,1969
54,730.561,138.290,413,1936
55,885.669,252.915,362,3552
56,860.218,236.830,377,2593
57,989.186,264.295,390,2503
58,1050.598,272.206,367,4119
59,1058.499,296.827,376,4140
60,913.409,275.337,392,2556
61,674.837,101.927,342,1624
62,633.754,139.197,278,1930
63,745.927,176.782,350,2395
64,678.729,163.421,289,2109
65,599.207,98.711,343,1054
66,518.142,81.327,282,849
67,614.137,112.629,304,1059
68,621.001,117.565,328,1130
69,684.830,131.709,327,1668
70,595.642,113.259,329,1077
71,659.607,124.172,272,1716
72,589.519,83.085,323,957
73,668.957,120.434,319,1549
74,558.238,62.221,353,876
75,630.501,105.887,338,1395
76,569.990,59.067,334,834
77,618.496,120.485,356,1390
78,608.201,92.856,314,1149
79,814.572,175.356,354,2355
80,652.289,123.652,329,1588
81,732.834,130.975,322,1744
82,567.697,93.731,312,1123
83,566.166,69.847,303,848
84,518.740,75.725,311,850
85,582.109,90.831,278,1054
86,552.589,98.191,335,977
87,586.747,96.138,297,996
88,553.968,81.772,329,887
89,695.697,60.534,483,851
90,690.204,34.085,479,846
91,688.387,43.026,507,852
92,764.225,71.955,504,929
93,642.396,36.335,491,800
94,625.348,44.774,455,811
95,582.336,34.708,435,746
96,619.073,40.101,419,792
97,661.462,43.294,451,846
98,638.715,42.406,449,827
99,748.347,64.326,475,971
100,613.279,47.691,442,799
101,697.494,76.615,445,900
102,685.751,47.948,473,837
103,650.026,46.635,448,840
104,750.404,65.143,484,995
105,583.849,37.295,434,726
106,646.625,48.651,434,820
107,560.641,39.435,391,704
108,677.569,38.617,434,826
109,565.612,67.342,397,790
110,552.351,27.484,406,682
111,617.133,39.941,404,777
112,683.606,46.927,500,874
113,587.550,46.375,409,766
114,754.537,56.317,495,1006
115,949.771,128.228,617,1572
116,621.425,33.062,451,799
117,607.124,47.781,415,776
118,866.218,70.799,579,1877
119,668.738,90.697,483,1215
120,1063.464,197.659,694,2467
121,849.120,171.006,514,1923
122,629.551,37.142,460,840
123,787.371,68.779,509,1078
124,727.364,58.185,512,1159
125,721.649,95.079,410,1088
126,771.297,93.730,487,1252
127,757.833,67.310,497,1135
128,771.617,45.720,539,972
129,596.859,27.675,462,716
130,716.635,47.793,515,908
131,566.680,37.381,377,712
132,678.279,48.194,463,1014
133,827.848,129.285,571,1453
134,623.260,29.888,456,771
135,719.747,63.314,467,919
136,710.406,53.868,449,960
137,679.492,65.597,424,854
138,697.061,75.901,458,1538
139,701.700,43.960,421,916
140,775.267,45.757,513,1014
141,599.644,39.840,412,798
142,619.474,51.854,455,818
143,596.038,41.058,429,747
144,716.369,54.045,480,910
145,791.853,49.829,581,1013
146,649.045,37.200,485,799
147,659.017,49.812,448,817
148,737.516,63.310,523,963
149,640.791,52.015,398,805
150,874.121,48.619,655,1108
151,819.147,52.976,561,1054
152,682.524,35.082,472,809
153,674.761,42.485,481,840
154,795.535,63.631,512,1004
155,641.383,35.823,467,780
156,645.140,38.977,442,794
157,666.555,43.870,471,818
158,557.772,42.475,415,721
159,666.776,43.678,462,833
160,664.406,40.155,452,831
161,613.946,31.057,432,737
162,643.971,37.977,455,791
163,658.528,47.384,443,825
164,545.760,44.296,399,737
165,650.520,41.746,474,814
166,715.665,60.475,486,1126
167,627.682,36.029,464,784
168,617.416,33.314,469,778
169,673.901,46.030,411,864
170,642.203,83.133,456,1243
171,712.961,71.967,523,1099
172,946.169,107.508,610,1389
173,657.340,37.607,491,877
174,636.214,55.182,440,894
175,843.408,89.202,516,1133
176,655.299,67.830,416,1067
177,857.304,67.764,567,1149
178,784.008,75.578,508,1130
179,736.810,51.873,518,1043
180,819.411,58.711,572,1095
181,694.828,55.834,447,1002
182,1110.408,180.616,662,1827
183,853.380,118.683,594,1588
184,932.002,142.141,613,1676
185,1123.357,150.748,682,1741
186,788.019,113.226,533,1321
187,769.580,121.361,465,1294
188,744.649,98.980,476,1192
189,848.588,96.524,588,1335
190,850.475,120.953,575,1637
191,701.573,57.929,499,1111
192,817.954,88.572,508,1139
193,697.515,81.804,449,1160
194,785.672,149.286,465,1736
195,881.405,98.995,611,1454
196,1162.534,200.680,662,2150
197,752.969,78.263,540,1106
198,845.757,117.740,546,1526
199,1110.786,200.590,551,1917
200,988.691,267.708,602,2342
201,1320.389,212.445,814,2303
202,998.098,252.951,565,2294
203,691.178,50.858,498,957
204,786.432,132.072,489,1236
205,740.666,87.996,497,1131
206,619.609,64.957,412,899
207,793.819,80.059,557,1238
208,1103.795,319.055,535,2236
209,668.333,42.012,472,868
210,843.327,100.316,512,1669
211,913.682,130.744,507,1645
212,762.921,97.013,466,1364
213,952.504,87.718,659,1431
214,806.469,110.117,546,1314
215,812.757,67.122,570,1127
216,798.291,64.732,549,1037
217,700.181,51.828,484,887
218,681.555,68.025,387,868
219,682.704,51.134,515,867
220,685.842,52.429,462,886
221,601.468,34.665,442,750
222,711.291,43.665,531,873
223,881.856,52.630,656,1104
224,663.284,38.199,479,816
225,640.466,34.052,483,821
226,756.980,81.213,445,987
227,609.128,34.952,450,764
228,872.019,61.175,617,1199
229,849.697,50.732,590,1042
230,643.423,43.581,454,838
231,642.582,45.566,447,834
232,754.259,70.100,476,1014
233,770.299,104.941,525,1368
234,1005.319,101.749,700,1562
235,1149.109,189.331,701,1866
236,958.947,171.069,579,1784
237,980.190,104.106,699,1548
238,1140.321,167.962,695,1767
239,900.060,106.561,620,1457
240,1203.672,206.381,787,2473
241,894.922,168.988,516,2155
242,1032.662,128.946,730,1595
243,1017.154,163.315,609,1701
244,1036.797,185.812,633,1927
245,762.191,103.469,480,1292
246,883.541,106.571,625,1511
247,898.121,193.165,535,1969
248,763.681,76.973,527,1138
249,844.138,103.804,553,1299
250,898.926,135.143,569,1901
251,700.964,74.778,486,1037
252,923.542,152.319,603,1965
253,1360.680,272.184,783,2465
254,808.306,112.741,537,1293
255,924.210,176.525,560,2329
256,1149.107,215.111,616,2287
257,890.330,139.738,538,1565
258,1257.133,210.354,711,2371
259,1060.133,120.757,721,1650
260,1074.650,217.297,594,2024
261,1306.655,241.109,796,2873
262,1115.840,176.150,656,2071
263,1308.043,375.650,717,4140
264,923.200,88.698,675,1607
265,1100.629,166.885,684,1906
266,1258.383,179.988,843,1927
267,997.720,199.324,588,1913
268,1066.260,276.167,488,2266
269,682.565,54.590,489,921
270,702.969,56.932,521,1051
271,842.598,144.572,520,1624
272,735.924,53.068,556,1007
273,862.781,99.076,543,1404
274,710.808,166.766,427,1370
275,904.243,144.347,503,1549
276,708.203,52.170,482,994
277,994.092,198.729,610,2395
278,950.383,110.390,548,1402
279,712.438,70.500,492,1283
280,806.723,118.260,485,1227
281,642.710,52.978,400,881
282,845.417,46.820,615,1054
283,634.931,44.633,457,813
284,654.378,46.736,484,849
285,609.844,48.468,410,758
286,609.738,51.374,426,813
287,718.896,39.442,529,868
288,858.717,50.286,654,1016
289,715.606,55.751,503,903
290,745.635,70.417,521,952
291,743.987,41.713,563,932
292,880.598,78.136,558,1130
293,859.525,77.054,610,1285
294,866.225,55.658,599,1109
295,868.054,100.248,529,1351
296,721.970,71.439,458,970
297,838.036,65.455,547,1077
298,701.062,40.512,473,908
299,846.631,51.260,577,1032
300,863.818,102.593,581,1716
301,679.138,68.965,462,1057
302,747.605,69.013,480,948
303,644.868,40.091,476,837
304,679.953,44.382,504,865
305,900.370,78.011,645,1348
306,699.343,52.935,524,906
307,715.049,133.679,471,1549
308,636.214,47.104,454,876
309,584.067,34.498,431,753
310,662.261,39.299,481,817
311,731.280,45.793,541,942
312,754.463,107.672,520,1386
313,712.443,117.131,452,1395
314,637.429,52.387,415,834
315,633.119,34.490,476,780
316,640.910,41.766,456,816
317,750.600,51.274,574,1029
318,888.217,81.324,610,1390
319,596.716,74.188,420,968
320,821.301,85.279,511,1149
321,660.942,34.871,508,871
322,666.278,51.049,443,986
323,1064.126,147.201,685,1710
324,915.207,84.661,559,1268
325,866.550,184.376,447,1790
326,781.307,139.669,487,1588
327,762.560,57.314,520,1278
328,695.998,70.468,466,1109
329,893.673,78.007,682,1198
330,793.964,118.347,571,1682
331,823.679,141.778,494,1518
332,655.707,54.211,431,969
333,749.160,58.661,530,1076
334,600.726,49.384,436,757
335,642.551,32.536,469,782
336,664.529,39.072,471,827
337,636.301,56.182,435,848
338,574.462,40.919,418,784
339,641.778,38.596,317,850
340,630.062,48.174,386,801
341,643.631,38.424,461,797
342,786.433,63.419,523,1007
343,629.325,49.607,421,798
344,720.716,77.196,424,977
345,629.847,40.298,447,804
346,702.422,57.648,497,951
347,804.412,46.457,563,971
348,628.837,35.932,463,773
349,667.158,64.296,446,946
350,585.271,37.880,370,723
351,677.508,45.349,491,846
352,699.929,50.105,473,887
