 ,Mean,StdDev,Min,Max
1,666.097,81.214,298,955
2,588.256,73.677,311,859
3,675.400,58.964,300,912
4,587.174,67.780,289,909
5,615.037,63.588,312,858
6,587.710,82.966,294,917
7,612.832,69.144,306,913
8,564.816,66.939,349,807
9,555.061,67.080,348,844
10,572.150,75.405,342,932
11,570.341,74.685,368,891
12,586.515,73.127,353,876
13,559.747,88.745,335,918
14,601.835,71.680,371,1211
15,588.936,73.160,332,852
16,580.016,66.761,331,864
17,588.422,61.272,304,1772
18,538.624,74.929,273,935
19,616.096,66.282,355,1441
20,561.403,77.116,279,1403
21,573.278,63.816,306,1053
22,556.564,82.387,258,919
23,587.725,88.242,312,922
24,551.006,82.093,268,925
25,548.172,67.678,337,1189
26,538.171,74.117,271,820
27,542.702,70.528,334,1292
28,533.367,73.778,304,812
29,551.367,64.663,318,835
30,556.093,62.807,321,812
31,503.754,63.970,309,781
32,529.197,56.477,319,771
33,497.995,69.780,311,798
34,586.453,55.556,357,805
35,518.015,77.623,309,816
36,548.139,65.193,334,797
37,553.243,64.893,336,820
38,559.503,69.628,338,2171
39,521.515,62.190,300,768
40,529.047,68.838,328,821
41,540.792,54.617,278,765
42,507.251,82.383,283,784
43,542.147,63.845,282,779
44,556.419,76.252,308,815
45,628.834,75.619,272,899
46,563.942,68.669,290,872
47,634.654,71.228,290,1813
48,520.825,63.830,291,766
49,598.849,69.295,321,865
50,535.003,66.509,281,798
51,593.210,77.054,310,882
52,580.725,60.995,300,809
53,538.112,78.221,326,835
54,531.835,60.789,312,800
55,556.801,71.838,313,1818
56,518.586,58.789,321,747
57,538.166,66.695,296,772
58,541.475,55.546,345,775
59,596.577,86.417,311,932
60,582.843,65.108,308,853
61,589.994,71.869,318,1297
62,535.154,61.791,284,1407
63,573.083,69.399,294,858
64,514.396,71.414,265,832
65,564.216,76.940,328,897
66,566.993,64.406,266,810
67,571.193,66.518,331,833
68,564.567,66.511,268,857
69,598.615,61.284,273,892
70,578.440,65.417,280,830
71,581.383,63.597,258,851
72,595.331,82.671,267,947
73,610.504,70.299,311,869
74,591.338,70.515,262,843
75,549.574,66.336,316,791
76,575.320,68.058,268,846
77,543.536,64.604,292,827
78,596.413,66.337,281,889
79,521.485,62.995,296,765
80,552.505,61.593,262,826
81,544.428,82.550,300,884
82,559.356,75.132,280,869
83,582.449,76.206,259,864
84,531.233,79.817,304,857
85,558.343,70.427,254,864
86,556.819,101.015,267,979
87,592.347,75.596,254,972
88,580.593,89.751,259,1074
89,608.366,24.226,437,711
90,766.410,58.178,532,955
91,767.002,40.732,549,932
92,675.196,41.829,512,846
93,725.206,30.598,526,859
94,658.618,46.447,493,802
95,683.195,34.259,551,845
96,724.999,37.786,532,874
97,733.077,39.358,562,912
98,725.806,54.574,470,900
99,657.378,28.666,476,794
100,633.314,38.337,481,741
101,586.035,30.397,426,729
102,702.290,37.989,492,858
103,716.315,29.566,536,843
104,630.043,41.530,412,767
105,763.907,34.543,570,908
106,686.024,51.605,463,917
107,672.367,50.258,484,839
108,740.917,44.955,534,896
109,631.423,23.812,508,730
110,663.169,45.906,471,804
111,648.493,27.451,496,807
112,660.405,35.989,513,798
113,560.177,40.272,399,719
114,681.338,44.298,500,844
115,640.828,30.614,508,783
116,603.752,32.143,438,733
117,749.857,37.642,548,932
118,658.828,33.289,519,780
119,593.351,60.720,419,742
120,651.107,32.686,500,776
121,727.808,31.222,518,891
122,699.144,60.237,437,876
123,652.034,29.616,466,804
124,713.259,39.671,545,864
125,537.018,44.859,375,710
126,676.523,43.936,490,811
127,757.073,35.852,564,918
128,638.263,37.789,471,805
129,690.142,32.637,483,838
130,752.108,47.166,539,949
131,624.510,52.474,423,766
132,660.305,56.688,473,841
133,708.939,31.424,540,852
134,703.098,51.461,441,864
135,626.464,31.323,464,743
136,645.127,35.586,459,795
137,559.129,38.639,387,695
138,630.214,34.806,483,773
139,691.583,31.724,526,842
140,624.197,35.866,389,767
141,691.475,39.444,505,856
142,583.073,35.580,443,768
143,657.653,75.838,448,832
144,684.060,40.829,473,1021
145,699.401,30.902,523,879
146,715.103,60.234,457,897
147,646.928,35.937,445,775
148,616.633,39.912,432,767
149,574.397,46.980,401,720
150,707.866,34.508,546,834
151,626.982,30.780,486,796
152,627.494,49.801,447,798
153,721.650,44.615,512,919
154,631.204,36.388,446,761
155,727.472,45.564,503,902
156,684.927,39.130,417,831
157,700.500,58.487,463,891
158,553.367,37.300,433,715
159,707.835,55.958,486,924
160,671.950,36.478,462,851
161,631.341,34.780,445,782
162,631.319,34.827,405,775
163,653.360,48.885,426,809
164,518.870,37.271,384,647
165,644.680,42.857,469,820
166,672.366,34.280,478,817
167,615.063,34.924,464,760
168,666.571,31.888,500,824
169,629.697,44.275,434,799
170,597.803,52.351,410,787
171,606.633,40.592,439,760
172,658.646,33.251,469,789
173,665.888,44.813,479,835
174,597.237,22.451,465,703
175,611.447,39.123,451,762
176,539.883,28.271,384,657
177,587.324,31.903,459,690
178,661.396,31.898,464,794
179,598.076,34.752,435,767
180,590.586,26.840,415,718
181,564.519,47.332,414,781
182,538.075,34.390,397,677
183,577.380,29.691,426,722
184,618.782,28.510,470,741
185,597.712,34.611,418,727
186,634.328,38.987,480,798
187,525.630,37.330,391,649
188,612.532,43.046,416,753
189,643.246,33.414,464,805
190,642.075,53.063,449,798
191,641.650,44.190,447,798
192,663.983,43.450,475,816
193,567.682,44.037,410,734
194,619.611,57.547,403,785
195,655.925,34.804,479,796
196,599.807,30.945,451,720
197,648.431,47.407,472,811
198,641.791,28.400,467,753
199,613.863,37.353,452,774
200,593.782,41.407,380,728
201,668.194,35.800,462,808
202,620.875,33.742,445,756
203,574.530,28.304,398,689
204,618.199,28.477,444,751
205,612.461,35.774,463,768
206,532.613,38.197,368,681
207,655.504,34.556,476,821
208,622.979,29.847,482,761
209,615.785,32.967,445,752
210,529.492,35.180,386,725
211,622.256,33.428,455,758
212,517.039,60.619,343,666
213,625.889,33.802,429,783
