 ,Mean,StdDev,Min,Max
1,825.036,130.201,420,1327
2,830.337,165.708,421,1473
3,2757.988,1236.469,673,9527
4,3571.794,1794.429,807,14507
5,5343.724,2683.702,914,22344
6,5210.084,2822.622,909,25161
7,4211.715,2399.682,701,19147
8,3773.989,2283.483,777,19602
9,6764.297,3286.791,880,22828
10,4956.487,2739.130,985,23552
11,12106.542,4860.939,1528,36436
12,7454.437,4097.337,1048,32495
13,8750.825,4836.201,1273,44402
14,4324.107,2388.500,685,19578
15,5641.753,2785.221,1072,18417
16,1075.540,337.066,438,3142
17,1281.291,344.320,707,4572
18,927.919,237.629,394,2271
19,2979.723,1428.702,690,11024
20,2875.203,1614.844,596,12709
21,4251.778,2352.189,849,17245
22,1823.378,1141.725,492,9818
23,1154.501,645.979,402,8014
24,1610.543,926.000,554,9290
25,2886.131,1822.754,661,16914
26,5036.558,2668.005,629,18921
27,6152.324,3601.004,785,31928
28,1851.700,708.795,593,7808
29,1794.313,892.276,494,9553
30,1979.398,652.830,702,6546
31,5542.848,2530.785,1315,25287
32,13541.247,5402.886,1712,38755
33,11324.847,5156.359,1711,38017
34,12754.842,5614.257,1530,38810
35,9060.145,5179.803,1324,37563
36,7932.514,3439.220,859,28392
37,7475.673,3187.718,1064,28321
38,9683.988,3832.472,1266,27617
39,5445.610,2619.748,1075,21927
40,6986.044,3408.329,1121,28591
41,3975.400,1732.076,879,16694
42,4990.218,2105.982,648,15161
43,4497.304,2160.631,811,23169
44,4175.852,2305.800,535,20041
45,3439.686,2516.555,696,18131
46,3089.280,1970.600,558,15102
47,1101.010,287.679,464,3000
48,1053.922,301.922,507,2684
49,1731.991,519.387,547,4664
50,2084.161,730.582,525,6312
51,2324.565,846.433,790,7174
52,2724.951,809.850,929,6383
53,11263.169,4709.381,1469,35813
54,12347.843,5169.286,2048,40094
55,11975.900,5301.863,1341,36463
56,8579.420,3687.989,1463,28370
57,2025.817,722.598,525,6993
58,2338.711,894.066,587,9022
59,2227.864,757.064,669,8641
60,8930.955,3885.445,1049,29170
61,12792.358,5425.303,1493,35388
