 ,Mean,StdDev,Min,Max
1,561.410,65.559,343,832
2,524.409,76.388,272,807
3,540.420,55.738,326,790
4,495.306,71.257,266,926
5,541.715,51.163,330,752
6,484.545,69.535,294,764
7,538.865,57.665,327,855
8,495.483,65.988,281,764
9,513.007,71.468,288,841
10,500.651,74.484,265,845
11,501.366,80.830,289,1089
12,509.849,68.329,267,814
13,538.061,67.087,299,780
14,537.608,64.044,283,806
15,534.590,61.994,307,825
16,499.067,66.688,271,757
17,527.776,56.075,307,799
18,483.634,68.108,254,745
19,562.885,55.395,302,800
20,503.814,71.430,269,811
21,554.463,67.490,306,973
22,575.235,69.891,281,839
23,536.177,79.191,287,822
24,537.059,73.621,321,804
25,538.406,71.234,296,826
26,515.395,70.866,322,800
27,512.047,63.449,286,750
28,526.277,61.627,337,1545
29,504.428,65.338,274,820
30,534.956,57.192,342,911
31,524.400,69.539,275,777
32,538.336,56.288,338,830
33,507.239,67.494,306,1012
34,523.144,53.915,338,786
35,480.866,68.228,280,766
36,518.451,66.901,307,952
37,515.361,67.256,294,791
38,510.194,73.309,291,806
39,502.318,65.803,271,1226
40,500.339,70.424,295,790
41,530.896,67.332,290,810
42,511.709,73.664,295,861
43,536.971,67.475,289,783
44,511.611,78.376,304,939
45,569.979,79.019,333,938
46,537.376,77.759,324,1909
47,575.356,69.749,344,885
48,506.724,68.277,293,798
49,536.861,71.452,294,834
50,503.155,77.553,302,816
51,525.497,78.860,323,859
52,515.385,63.626,285,1043
53,534.573,68.328,328,800
54,533.043,62.926,318,889
55,509.723,72.561,318,843
56,535.601,65.869,298,933
57,511.763,74.805,322,845
58,521.913,63.410,305,1251
59,507.311,64.614,326,854
60,513.601,62.384,308,758
61,514.287,58.308,307,783
62,504.919,65.127,269,803
63,530.531,57.902,343,818
64,513.858,66.131,267,767
65,540.889,64.949,325,861
66,505.223,74.838,282,856
67,560.743,87.375,276,886
68,553.132,85.549,318,868
69,567.652,78.981,308,870
70,526.596,79.911,303,902
71,550.138,72.749,272,814
72,556.154,66.125,312,841
73,535.203,75.009,280,826
74,529.424,56.187,335,799
75,518.971,68.111,264,771
76,542.692,56.013,335,883
77,511.515,73.046,313,765
78,543.999,58.244,322,836
79,508.830,74.058,296,856
80,519.193,71.544,283,801
81,526.719,66.148,299,794
82,506.676,71.772,306,801
83,526.035,64.206,302,779
84,504.159,72.114,311,813
85,529.689,62.115,283,785
86,505.326,75.037,318,816
87,531.034,65.636,294,785
88,539.151,73.550,330,856
89,574.012,37.683,401,715
90,646.631,31.634,508,797
91,673.960,39.242,472,832
92,631.414,48.266,435,791
93,647.885,37.643,474,807
94,606.803,40.093,447,779
95,572.437,35.389,436,742
96,619.802,38.355,394,776
97,625.080,38.096,446,781
98,614.852,36.056,427,743
99,598.686,39.427,410,737
100,567.617,35.940,431,754
101,556.828,43.596,406,702
102,617.271,41.982,401,752
103,600.802,37.851,441,732
104,583.356,36.734,436,760
105,569.391,37.309,424,722
106,594.670,36.923,437,751
107,554.951,39.838,412,715
108,630.696,37.763,410,768
109,538.495,94.534,350,835
110,543.820,23.290,413,639
111,580.439,31.798,430,724
112,620.938,36.760,431,764
113,526.002,44.739,371,663
114,620.376,39.703,430,781
115,652.439,37.727,466,826
116,575.808,29.778,433,758
117,542.026,43.328,378,714
118,679.578,39.265,488,845
119,506.251,38.173,373,621
120,669.759,36.318,496,826
121,623.935,38.238,439,1049
122,569.206,28.217,399,728
123,613.110,37.528,419,754
124,637.603,35.920,459,814
125,582.493,56.847,400,751
126,627.915,31.506,464,770
127,646.384,33.394,470,780
128,653.514,36.366,444,788
129,567.680,24.251,433,667
130,631.441,33.317,415,806
131,542.606,37.207,380,685
132,588.719,24.858,455,716
133,663.165,37.321,454,825
134,590.225,27.964,433,716
135,570.775,38.243,402,692
136,610.632,36.363,430,757
137,535.979,39.211,365,690
138,589.338,32.389,422,731
139,628.165,33.161,422,786
140,597.745,30.137,417,745
141,575.524,36.639,403,730
142,560.872,39.108,420,737
143,569.639,38.587,414,718
144,631.941,37.341,436,779
145,648.776,35.175,458,800
146,608.199,29.669,431,744
147,613.465,38.171,417,769
148,592.773,40.603,438,806
149,585.237,44.042,383,736
150,687.971,32.512,502,812
151,627.809,30.698,455,765
152,629.030,28.008,467,746
153,681.757,42.464,509,839
154,643.542,38.133,446,814
155,616.700,32.381,433,747
156,638.397,38.212,469,775
157,658.497,42.985,440,802
158,561.345,43.402,414,712
159,661.407,42.017,490,802
160,664.970,38.810,450,804
161,617.744,30.414,433,765
162,621.987,34.549,419,754
163,642.612,42.246,411,823
164,532.440,35.337,387,676
165,632.494,38.194,434,757
166,647.900,32.561,453,800
167,584.170,32.841,434,708
168,578.327,32.482,442,725
169,613.738,36.018,423,750
170,561.481,32.222,355,677
171,599.304,29.777,467,706
172,629.004,52.480,427,848
173,596.789,28.245,442,741
174,548.516,28.081,383,648
175,611.924,42.026,418,820
176,546.226,29.293,393,655
177,585.411,25.669,410,690
178,605.406,82.455,410,911
179,632.773,30.269,471,772
180,623.972,29.760,464,777
181,580.616,42.534,405,729
182,546.425,42.451,388,698
183,604.538,32.679,437,753
184,643.058,48.287,440,830
185,627.973,36.032,444,774
186,607.980,34.676,446,757
187,536.599,33.826,385,656
188,566.956,35.449,394,700
189,597.558,33.891,385,758
190,597.333,31.990,448,786
191,593.091,31.987,429,743
192,573.350,34.843,319,701
193,567.981,45.926,395,766
194,543.530,35.689,371,681
195,643.110,31.682,445,835
196,583.784,30.031,431,714
197,554.209,24.929,427,648
198,616.976,29.658,468,770
199,624.795,46.954,415,788
200,561.995,37.223,365,689
201,663.774,31.006,499,806
202,578.490,44.462,408,752
203,576.647,23.994,445,690
204,577.681,39.213,388,705
205,621.916,62.662,425,992
206,532.529,35.412,377,688
207,619.250,28.226,430,735
208,622.522,42.665,420,773
209,581.578,30.464,397,739
210,642.823,38.807,429,781
211,629.053,43.855,392,782
212,570.147,40.299,398,736
213,629.598,30.935,468,767
214,600.986,74.813,405,861
215,626.015,34.775,476,763
216,619.996,30.674,423,757
217,630.744,44.109,446,783
218,565.029,41.958,368,705
219,617.968,33.018,465,803
220,657.472,44.579,452,939
221,581.185,31.656,439,703
