 ,Mean,StdDev,Min,Max
1,659.036,80.153,303,948
2,582.738,71.954,311,846
3,670.716,62.210,298,972
4,587.940,64.917,273,879
5,614.456,63.004,315,852
6,582.924,77.894,308,889
7,603.967,66.867,304,881
8,559.239,65.200,345,811
9,555.471,68.490,335,848
10,564.415,71.297,343,875
11,560.492,71.899,354,836
12,568.097,68.856,339,847
13,547.198,81.630,331,893
14,588.293,66.869,367,908
15,580.753,72.461,327,845
16,574.273,64.465,331,847
17,591.710,61.796,322,1239
18,528.085,71.577,302,852
19,607.477,62.987,341,1115
20,550.590,72.381,270,1132
21,569.912,60.610,289,866
22,555.914,82.171,262,959
23,576.973,84.022,309,907
24,544.807,79.236,268,899
25,545.651,66.993,340,808
26,537.420,74.108,270,801
27,540.814,68.161,324,1001
28,532.624,74.384,297,807
29,554.210,61.974,313,796
30,565.237,65.693,324,810
31,505.000,64.053,303,739
32,530.864,58.394,296,772
33,493.065,66.598,310,761
34,586.651,55.844,346,789
35,506.736,71.483,305,774
36,540.695,64.560,333,789
37,551.333,63.335,323,815
38,560.003,69.553,338,2214
39,521.630,61.709,288,803
40,528.560,67.813,316,798
41,538.945,56.589,298,810
42,501.803,82.712,291,793
43,540.066,61.328,277,783
44,558.306,75.139,301,825
45,624.854,76.963,276,888
46,561.120,64.804,294,833
47,636.779,73.167,298,876
48,519.780,63.984,282,736
49,595.142,67.950,304,845
50,535.089,64.508,291,788
51,591.428,72.703,313,843
52,591.679,62.516,325,850
53,540.438,76.792,296,816
54,535.538,60.658,290,799
55,562.888,72.542,317,1166
56,517.967,59.963,305,775
57,539.119,66.140,289,790
58,539.853,54.723,349,785
59,593.118,82.042,308,924
60,579.380,64.073,309,840
61,584.226,69.951,308,1059
62,536.192,62.125,282,1103
63,571.721,67.193,301,833
64,509.510,69.877,256,781
65,558.733,72.775,320,856
66,569.019,64.434,265,782
67,568.243,65.747,330,822
68,562.586,66.477,257,844
69,599.194,61.214,288,877
70,578.320,64.743,274,832
71,578.753,61.500,284,835
72,585.320,78.016,264,910
73,602.761,66.745,285,857
74,585.707,68.972,267,804
75,548.252,66.665,306,791
76,568.352,64.659,274,818
77,543.296,64.913,299,786
78,595.961,62.248,271,860
79,527.052,63.040,313,747
80,556.962,60.335,266,819
81,539.815,77.973,299,865
82,552.757,71.768,284,826
83,572.592,71.191,244,846
84,527.715,75.736,283,830
85,555.713,67.945,261,809
86,547.421,95.648,265,959
87,581.434,71.680,251,923
88,573.479,88.293,254,1078
89,607.194,26.525,432,726
90,748.281,54.767,567,914
91,765.636,50.709,550,948
92,669.717,40.697,493,811
93,715.857,30.119,525,846
94,651.070,46.037,495,804
95,664.064,31.833,514,812
96,721.172,37.982,519,872
97,740.030,51.880,556,972
98,710.956,51.518,490,865
99,659.124,29.705,471,791
100,632.836,37.397,492,762
101,584.087,29.239,424,699
102,706.814,37.372,538,852
103,693.953,27.438,565,831
104,626.755,41.060,457,762
105,744.024,33.201,581,880
106,667.445,47.697,457,889
107,651.282,48.406,477,800
108,719.140,38.148,543,881
109,628.183,23.002,507,717
110,647.099,43.390,464,790
111,637.683,26.853,483,757
112,661.375,36.854,495,797
113,554.501,39.377,403,687
114,685.867,45.685,500,848
115,642.031,30.185,492,767
116,596.484,31.501,397,726
117,724.572,35.949,533,875
118,655.739,33.762,511,781
119,577.099,58.851,414,718
120,654.726,35.692,492,791
121,699.431,28.855,519,836
122,675.694,56.844,438,831
123,633.076,28.242,486,785
124,679.533,35.846,523,831
125,527.738,44.330,363,709
126,649.242,38.434,460,784
127,724.974,33.126,543,893
128,626.678,36.205,478,765
129,668.768,32.667,475,795
130,719.210,44.024,489,908
131,605.970,49.449,389,770
132,638.294,50.960,470,796
133,707.696,31.168,531,845
134,685.223,49.152,468,847
135,618.771,30.515,436,731
136,645.576,35.267,469,777
137,557.101,36.943,392,694
138,641.838,38.405,451,811
139,687.956,32.225,547,824
140,614.160,34.731,431,761
141,668.693,36.378,466,852
142,574.288,35.081,442,722
143,638.512,69.788,429,801
144,679.502,39.660,475,820
145,667.047,31.545,483,819
146,693.164,55.923,440,897
147,634.925,34.169,476,773
148,590.835,36.926,428,757
149,570.517,45.664,403,720
150,682.390,34.701,487,826
151,635.983,32.111,482,776
152,620.146,47.584,429,785
153,720.274,46.382,487,952
154,637.444,40.007,404,791
155,704.753,43.751,495,876
156,671.451,39.171,467,801
157,681.836,52.995,496,898
158,543.552,37.414,443,715
159,688.890,50.191,476,899
160,667.451,36.009,461,813
161,627.835,34.201,426,773
162,626.420,34.788,384,761
163,651.482,48.517,426,808
164,516.498,35.065,374,647
165,643.588,42.980,465,793
166,673.025,34.414,476,801
167,618.129,34.511,450,762
168,645.665,31.486,428,819
169,630.325,44.873,432,785
170,582.592,48.856,426,786
171,608.066,41.225,460,753
172,662.892,32.889,479,807
173,651.811,38.748,471,796
174,597.071,21.941,478,701
175,616.934,40.054,467,752
176,548.216,30.202,397,708
177,590.694,30.199,447,713
178,671.983,33.459,498,810
179,601.403,34.694,409,730
180,591.566,25.994,422,703
181,564.089,44.080,421,728
182,538.447,33.464,390,666
183,588.542,33.061,453,724
184,620.453,28.997,480,740
185,596.912,34.043,437,749
186,611.369,34.778,441,761
187,524.934,37.252,383,656
188,595.388,36.416,414,728
189,646.707,34.093,471,778
190,635.911,51.255,458,779
191,616.919,38.191,407,750
192,633.567,38.149,456,774
193,562.693,45.062,407,739
194,598.318,52.513,416,755
195,653.468,35.422,484,789
196,589.912,34.502,422,699
197,630.583,42.605,479,801
198,645.662,32.917,485,791
199,615.649,39.521,459,815
200,593.756,40.046,394,727
201,669.417,34.999,500,838
202,620.797,33.047,463,755
203,584.154,31.315,408,724
204,624.607,30.440,480,803
205,593.962,34.236,462,744
206,531.994,39.208,390,678
207,656.692,34.004,450,798
208,610.443,27.688,467,741
209,616.566,32.385,473,753
210,509.457,33.277,364,663
211,628.993,36.391,438,780
212,497.054,54.740,312,686
213,624.722,34.657,454,793
214,657.278,29.745,473,789
215,620.390,36.535,444,754
216,602.377,26.877,460,728
217,626.936,37.215,461,783
218,575.629,42.277,405,732
219,629.526,30.635,468,752
220,683.849,32.519,507,825
221,607.774,29.655,460,796
222,680.636,61.893,510,888
223,697.903,36.337,530,856
224,674.784,36.965,506,833
225,619.576,31.284,470,754
226,592.903,46.971,439,765
227,578.191,28.247,446,729
228,697.435,43.976,519,856
229,689.284,51.348,501,862
230,624.314,30.338,448,736
231,616.741,29.033,464,734
232,561.976,41.962,407,726
233,578.641,29.642,407,716
234,694.246,37.237,531,845
235,653.187,29.985,491,795
236,608.800,30.818,455,741
237,631.597,27.942,482,766
238,619.916,45.021,415,788
239,582.130,31.631,431,709
240,706.131,34.105,543,843
241,636.743,28.119,481,736
242,621.805,40.607,482,766
243,670.652,45.459,487,850
244,659.518,41.148,441,800
245,561.012,35.743,429,716
246,675.082,37.601,456,816
247,634.958,33.620,467,808
248,590.665,30.271,373,716
249,620.824,28.365,462,783
250,626.282,41.724,451,787
251,519.092,24.332,413,626
252,660.148,34.359,503,810
253,675.298,30.663,511,798
254,585.527,31.745,421,726
255,595.988,26.117,453,703
256,606.411,44.735,438,775
257,543.155,38.328,376,683
258,612.957,31.037,440,742
259,647.984,27.700,455,783
260,617.425,33.977,457,785
261,592.374,22.947,486,727
262,590.542,39.117,451,737
263,582.114,31.219,409,725
264,596.726,26.360,481,700
265,765.464,35.347,587,924
266,657.187,30.890,470,804
