 ,Mean,StdDev,Min,Max
1,3993.302,2185.265,805,17929
2,3835.196,2111.232,527,19523
3,5435.338,2726.367,962,30115
4,3716.016,2197.496,585,23183
5,7160.535,3345.457,1917,31631
6,4070.335,2124.449,707,24266
7,7139.211,2870.394,2040,33933
8,7570.968,3451.488,1978,31175
9,8757.446,3308.078,2216,30813
10,6885.602,2755.479,1758,24985
11,2111.012,639.007,994,5538
12,1477.180,400.176,805,5137
13,1934.619,618.915,717,7369
14,4568.845,2131.086,786,22070
15,5590.594,2398.748,1883,27601
16,7204.105,3120.184,1153,29830
17,6756.488,3120.627,1177,30075
18,5103.887,1796.018,1063,13918
19,1520.295,408.989,564,6666
20,1169.775,267.092,417,3839
21,1245.735,293.430,430,3306
22,2638.603,1423.399,381,11121
23,2819.160,1305.578,794,10550
24,4664.816,2317.093,870,22941
25,4882.916,2574.009,953,25275
26,6543.127,3431.988,996,28755
27,7312.485,3015.168,1139,29435
28,6139.666,2581.929,1511,22211
29,4432.895,2251.034,1014,24808
30,4243.836,2034.715,1208,14319
31,6919.306,2674.354,1382,19403
32,8610.674,3198.674,2286,23857
33,2103.261,608.318,906,5518
34,2428.396,898.738,992,7160
35,1977.805,757.365,944,6810
36,8107.316,2537.504,2161,24698
37,8842.022,2910.934,2150,30395
38,10402.105,4137.522,2151,33556
39,7531.884,2502.880,1495,22113
40,5945.904,2700.693,1148,22755
41,1326.265,328.119,657,3139
42,1257.884,349.707,620,4022
43,1205.556,344.007,422,4170
44,2645.727,1484.236,638,13092
45,2942.663,1848.996,441,12572
46,3094.864,1783.717,692,17861
47,4901.673,3289.182,991,25124
48,4597.424,2777.561,822,27216
49,1322.640,314.881,657,5862
50,1330.690,468.752,661,4915
51,1090.351,238.094,460,2894
52,3070.355,1589.712,866,16150
53,5063.276,2405.053,969,21007
54,10091.118,4041.273,1473,32120
55,8976.637,3581.123,1530,28253
56,8731.126,3023.395,1728,24311
57,8173.809,3288.976,1416,25179
58,8524.661,3239.740,2074,30010
59,7975.087,3496.680,1598,38820
60,7372.431,2821.742,1204,30089
61,4836.694,1622.593,1059,14506
62,4988.181,2303.366,1069,17668
63,3262.950,1465.123,787,13553
64,3406.244,1392.896,659,14825
65,3475.774,1594.522,838,14261
66,2645.920,1769.056,515,18626
67,1467.359,910.167,542,11390
68,1649.467,740.413,447,16445
69,3661.827,2149.175,944,22488
70,2234.192,1280.727,634,10735
71,1069.953,190.985,436,5359
72,992.711,186.154,376,2274
73,1041.373,235.789,418,3437
74,2714.062,1435.434,444,15288
75,4228.881,2235.260,775,24919
76,5091.912,2100.242,731,14637
77,6222.074,2918.045,1285,31454
78,4173.268,2002.748,762,18090
79,6921.709,3038.833,1414,27545
80,4447.240,2497.261,818,26822
81,4469.069,1522.423,760,14466
82,1109.323,287.197,522,2536
83,1328.277,344.343,380,3341
84,953.400,214.464,473,1777
85,2473.573,1071.630,447,12064
86,2563.158,1007.267,561,9299
87,3087.365,1501.054,540,18909
88,2827.597,1450.422,563,13289
89,2596.623,999.973,1135,7240
90,2579.365,1111.546,1262,8020
91,3905.895,2413.635,1800,16095
92,2565.740,1278.173,1197,9116
93,3201.780,1289.860,1379,8694
94,2941.478,1120.303,1490,11304
95,4482.835,2049.798,1626,12001
96,4030.694,1939.074,1799,13165
97,4380.985,1726.753,2131,11169
98,2869.739,1292.362,1337,8575
99,2389.514,926.808,1243,7584
100,3173.896,1519.629,1728,9950
101,6089.180,2449.659,1917,16242
102,4620.268,1657.124,2277,12119
103,6061.867,2351.173,2694,17695
104,3292.272,1286.401,1335,8423
105,3384.753,1159.368,1718,9826
106,4539.948,1267.314,2495,9345
107,6201.793,2001.098,2040,13939
108,6548.061,1956.591,3060,14936
109,6627.803,2206.497,2794,16184
110,7172.712,2367.474,2485,16514
111,4960.244,1747.547,1978,12329
112,6757.021,2440.470,2669,16120
113,8505.168,3135.383,2216,18193
114,8684.457,2830.084,3331,18385
115,7254.779,2659.213,2835,18318
116,7316.862,2512.409,2438,17312
117,4406.021,1408.269,1808,9862
118,6931.700,2006.354,2824,13786
119,2429.093,498.947,1237,4261
120,3002.770,442.225,1762,4480
121,1772.535,117.681,1353,2300
122,1794.785,267.947,974,2873
123,1635.732,325.114,1044,3574
124,1639.784,158.794,1083,2272
125,2108.803,388.147,1157,3736
126,1695.920,158.901,1145,2217
127,2745.630,324.178,2000,4015
128,4032.559,1383.974,1555,8973
129,4299.460,1585.723,1479,10953
130,4836.165,1762.130,2210,12782
131,3589.036,1077.492,1894,7657
132,4525.233,1369.941,2431,10408
133,5319.287,2441.310,2322,17516
134,7754.072,3069.318,2683,19224
135,6823.997,2748.449,2014,19283
136,6688.454,2312.857,2410,16675
137,5554.407,2434.017,2029,14430
138,6087.684,2292.110,2710,13742
139,6922.366,2982.718,2558,20152
140,5553.663,1634.720,2301,11998
141,4770.150,1421.071,1707,9146
142,4248.434,1570.732,1707,10909
143,1405.478,192.497,947,2191
144,2072.074,368.719,979,3676
145,1801.104,101.549,1327,2222
146,1503.882,188.754,1001,2392
147,1279.761,152.595,849,2004
148,1380.979,132.570,862,1691
149,1298.662,219.421,815,2835
150,1571.791,98.520,1131,1832
151,1678.615,289.323,1050,2994
152,1818.598,679.394,976,4618
153,2932.156,1220.374,1256,9403
154,1987.003,594.521,996,5074
155,2024.791,537.347,1215,4619
156,2870.417,944.586,1242,6616
157,2390.662,887.987,1370,7444
158,3216.498,1429.342,1405,8547
159,5459.502,2417.735,2075,14007
160,4902.629,1737.960,2132,11577
161,3816.236,1837.072,1518,10575
162,4982.610,2138.666,1553,13319
163,4565.546,2411.829,1747,13352
164,5009.050,1935.242,2058,11071
165,5302.808,2409.181,1865,13787
