 ,Mean,StdDev,Min,Max
1,3635.243,1999.474,777,16198
2,3553.393,1938.862,505,17158
3,5139.614,2561.373,943,27570
4,3516.003,2040.104,571,20980
5,6998.870,3236.442,1861,29558
6,3897.733,1984.522,685,21836
7,7045.294,2815.994,1969,31613
8,7476.011,3368.438,1964,29572
9,8823.400,3313.675,2128,29950
10,6884.939,2775.707,1754,24437
11,2093.807,642.404,963,5863
12,1460.177,401.803,807,5105
13,1927.388,633.357,711,7531
14,4575.406,2144.275,821,22188
15,5547.895,2383.100,1828,26346
16,7105.323,3045.040,1141,27911
17,6775.532,3141.826,1156,29799
18,5144.809,1839.462,1049,14068
19,1490.050,408.679,562,6204
20,1146.300,263.261,419,3592
21,1213.577,294.169,421,3370
22,2549.630,1410.494,393,11007
23,2575.290,1184.706,734,9799
24,4461.306,2218.644,836,21220
25,4683.898,2455.585,905,23635
26,6389.962,3361.017,954,26997
27,7170.156,2962.483,1139,27827
28,6068.804,2594.405,1450,22235
29,4369.437,2213.023,983,22674
30,4181.118,2028.003,1137,14340
31,6943.929,2704.295,1379,19537
32,8674.665,3267.704,2244,24240
33,2078.805,601.294,891,5499
34,2396.532,884.573,998,7022
35,1978.152,771.097,922,7191
36,8255.456,2613.867,2185,25349
37,8866.441,2905.639,2179,30433
38,10422.073,4157.419,2160,33396
39,7589.913,2574.720,1553,21891
40,6028.965,2760.066,1158,23143
41,1304.546,329.793,664,3203
42,1235.285,343.613,611,3973
43,1174.642,343.236,410,4220
44,2560.207,1454.115,613,12632
45,2663.242,1668.423,426,11666
46,2841.666,1614.783,678,15756
47,4568.466,3031.474,881,22624
48,4437.080,2672.712,811,25106
49,1273.299,296.903,647,5871
50,1287.022,443.085,620,4762
51,1059.806,228.390,450,2838
52,3044.334,1591.241,827,15903
53,4996.672,2390.521,1006,20643
54,10170.839,4106.995,1428,32212
55,8975.607,3543.402,1583,26903
56,8790.868,3051.423,1717,24053
57,8158.656,3274.467,1447,24575
58,8560.300,3259.730,2084,29546
59,8053.415,3536.094,1584,38280
60,7448.215,2858.235,1254,29956
61,4887.500,1671.236,1022,14588
62,5048.884,2350.807,1064,17964
63,3253.007,1498.729,777,15468
64,3405.087,1428.404,661,15546
65,3408.210,1595.594,809,14512
66,2499.564,1648.163,513,17531
67,1297.027,741.036,555,9554
68,1487.748,649.215,427,15073
69,3379.525,1966.024,852,20318
70,2142.884,1259.671,590,10742
71,1032.741,183.161,387,5136
72,969.536,182.828,366,2236
73,1012.891,232.336,381,3444
74,2649.259,1425.335,446,15139
75,4157.386,2218.202,763,24211
76,4895.122,2026.614,686,14001
77,6059.347,2785.640,1289,28717
78,3944.221,1871.694,724,16623
79,6776.707,2941.249,1416,25852
80,4485.852,2544.413,796,26490
81,4538.804,1575.910,743,14777
82,1091.447,284.340,528,2491
83,1306.195,342.942,372,3379
84,928.552,209.130,474,1772
85,2414.499,1060.364,442,12220
86,2404.606,947.188,574,8662
87,2917.465,1418.396,582,17619
88,2511.141,1255.280,533,11666
89,2307.467,879.952,1039,6619
90,2320.870,977.306,1192,7203
91,3555.773,2166.023,1646,14694
92,2338.066,1138.261,1100,8284
93,2931.437,1171.404,1309,7885
94,2726.794,1021.668,1435,9997
