 ,Mean,StdDev,Min,Max
1,545.276,66.140,331,828
2,512.885,73.940,290,772
3,532.874,56.023,320,794
4,491.500,70.124,287,789
5,548.098,54.154,336,766
6,488.635,69.385,287,759
7,553.373,59.321,322,869
8,507.014,68.041,283,795
9,515.148,70.421,310,813
10,505.353,73.840,272,821
11,503.725,77.896,296,981
12,510.857,67.047,259,802
13,548.431,69.043,312,798
14,543.348,60.627,294,795
15,557.149,67.163,325,863
16,514.371,71.780,286,775
17,545.803,59.161,313,816
18,496.519,72.791,284,792
19,582.165,56.848,323,807
20,511.059,73.659,267,790
21,556.618,63.634,314,826
22,584.256,70.800,290,853
23,524.910,77.841,275,812
24,530.719,72.866,318,820
25,536.676,71.246,283,813
26,525.048,74.253,328,845
27,522.982,65.472,284,778
28,542.800,65.895,335,1276
29,519.884,68.293,284,800
30,553.823,60.728,334,935
31,532.278,70.973,308,803
32,550.603,60.434,350,866
33,516.516,65.880,307,1032
34,536.625,57.207,320,776
35,498.468,72.179,286,785
36,530.551,68.535,319,969
37,536.323,70.595,305,876
38,524.944,72.941,319,817
39,521.782,69.494,275,1226
40,519.171,76.419,306,874
41,548.336,66.878,281,782
42,521.788,74.700,331,881
43,544.029,65.103,290,795
44,520.570,82.997,297,971
45,547.975,70.402,326,850
46,523.954,74.287,303,1904
47,560.579,61.490,337,842
48,514.252,68.775,310,807
49,533.883,69.278,295,818
50,506.255,75.473,303,780
51,526.877,75.583,311,832
52,530.298,65.910,317,819
53,554.773,71.413,328,826
54,551.530,64.629,319,925
55,522.818,75.635,329,838
56,550.489,70.429,280,1048
57,526.718,76.386,324,837
58,536.619,65.435,306,1482
59,523.630,68.525,324,921
60,532.074,64.452,302,793
61,535.337,63.543,299,854
62,526.236,69.169,275,886
63,551.423,62.639,346,843
64,531.881,67.813,290,804
65,560.133,68.266,335,856
66,518.036,76.871,288,808
67,535.401,79.822,283,876
68,533.218,82.305,309,853
69,549.369,71.699,303,814
70,523.985,80.503,316,898
71,546.654,69.973,261,797
72,562.903,65.600,340,846
73,536.700,71.023,299,815
74,541.933,59.717,354,844
75,532.860,71.100,279,801
76,558.597,59.053,338,865
77,524.789,75.109,312,801
78,560.932,61.957,326,853
79,522.866,73.164,314,810
80,534.921,74.214,299,853
81,544.972,70.936,298,805
82,521.826,75.297,318,811
83,546.385,67.081,312,803
84,520.499,75.758,313,819
85,549.604,65.986,289,808
86,517.199,77.914,311,854
87,541.170,68.335,292,793
88,546.576,77.869,326,861
89,548.727,34.912,405,692
90,636.053,32.201,483,769
91,661.280,37.305,489,827
92,609.044,44.784,425,769
93,638.590,36.516,445,772
94,598.391,39.234,448,762
95,566.577,34.791,438,725
96,610.312,37.630,380,780
97,623.098,36.799,435,794
98,612.421,35.736,423,752
99,586.057,41.311,421,728
100,572.118,35.450,428,758
101,544.600,42.229,401,695
102,625.471,43.632,441,766
103,619.217,38.933,464,752
104,579.354,35.680,447,741
105,572.292,39.627,414,716
106,611.585,38.276,426,759
107,565.695,42.304,403,723
108,649.591,41.007,465,795
109,556.144,96.462,369,869
110,558.074,24.072,416,658
111,586.932,32.432,425,725
112,641.843,40.302,457,795
113,527.224,46.104,361,668
114,624.494,41.281,428,765
115,649.801,40.024,458,813
116,602.554,33.246,458,792
117,536.701,45.303,346,681
118,667.394,38.751,485,821
119,516.978,40.137,379,631
120,645.082,34.401,485,787
121,643.884,39.769,455,981
122,594.665,30.183,417,738
123,563.224,31.147,391,680
124,649.594,37.566,434,802
125,563.394,48.995,392,728
126,645.238,32.018,453,785
127,665.166,35.289,464,798
128,625.370,32.669,450,752
129,582.848,27.734,419,713
130,638.421,35.006,474,795
131,575.226,44.830,395,721
132,603.852,25.223,464,713
133,691.208,39.499,509,863
134,615.791,30.002,469,749
135,605.798,45.560,441,740
136,627.170,38.715,421,775
137,563.323,43.007,386,723
138,611.289,34.169,420,768
139,645.274,33.353,465,816
140,613.124,32.613,442,768
141,613.205,41.530,377,792
142,570.594,39.071,425,743
143,597.062,43.640,430,731
144,654.464,39.892,474,796
145,641.229,33.411,477,776
146,619.839,31.134,437,757
147,640.750,39.728,448,784
148,571.601,37.682,421,748
149,590.927,43.358,372,743
150,673.414,35.689,472,817
151,618.708,29.522,471,755
152,629.768,27.347,478,753
153,690.570,39.858,504,853
154,650.980,41.125,469,803
155,601.884,31.162,426,731
156,624.200,36.461,423,783
157,654.680,44.241,444,810
158,558.325,41.955,410,703
159,647.859,41.523,442,789
160,665.398,39.776,455,820
161,613.576,30.079,436,772
162,624.995,34.192,443,756
163,644.851,42.395,428,813
164,547.718,38.360,410,696
165,636.996,38.571,415,767
166,671.224,35.600,451,824
167,605.020,34.853,436,739
168,586.569,31.140,458,717
169,631.310,38.079,401,778
170,585.052,36.602,359,737
171,614.605,30.612,453,732
172,630.005,73.534,372,863
173,626.894,29.975,469,783
174,565.218,31.265,418,680
175,622.382,41.349,393,786
176,573.483,34.120,405,700
177,601.210,26.687,455,720
178,620.995,88.646,427,935
179,660.948,31.641,486,802
180,615.275,31.685,421,738
181,590.779,44.674,410,762
182,537.762,38.109,384,672
183,623.284,36.551,417,782
184,655.851,50.590,465,866
185,610.704,35.391,451,745
186,635.770,38.378,460,785
187,553.160,36.224,398,673
188,589.416,38.252,425,747
189,609.444,34.387,421,771
190,613.525,33.641,453,776
191,618.708,33.242,460,785
192,598.365,38.977,383,734
193,590.629,50.319,395,763
194,567.009,38.008,343,693
195,659.380,34.624,422,806
196,591.945,30.177,434,717
197,575.086,27.018,432,687
198,643.367,32.673,461,823
199,647.745,53.368,424,876
200,580.418,40.559,358,702
201,668.005,33.095,506,817
202,608.465,49.528,439,797
203,604.417,27.629,444,729
204,592.671,44.097,410,728
205,655.533,63.667,458,984
206,559.769,38.080,408,713
207,643.280,30.587,459,786
208,660.067,53.272,433,874
209,616.810,32.539,433,766
210,637.430,35.863,453,765
211,646.762,44.972,472,779
212,569.078,37.409,401,725
213,633.292,30.111,434,780
214,614.769,78.636,414,881
215,607.489,31.881,451,736
216,622.999,30.202,463,750
217,648.770,48.529,454,795
218,578.992,42.942,379,709
219,628.927,33.082,457,815
220,675.965,48.190,457,971
221,568.141,31.289,417,696
222,630.433,35.808,473,780
223,669.851,42.274,490,843
224,645.251,32.797,461,777
225,630.116,34.816,432,778
226,584.600,42.722,408,737
227,590.126,36.365,437,732
228,660.426,35.242,402,807
229,637.802,35.205,466,814
230,632.810,33.862,432,767
231,608.243,39.198,416,734
232,578.169,47.411,419,775
233,575.419,38.860,418,723
234,662.452,33.250,474,797
235,614.885,30.315,462,753
236,609.340,32.709,458,736
237,617.682,31.519,453,771
238,617.327,44.178,431,779
239,573.174,41.805,403,713
240,682.774,35.115,491,832
241,599.040,36.377,441,764
242,581.413,21.766,457,676
243,630.011,32.722,427,763
244,645.923,43.993,452,799
245,587.118,44.252,416,746
246,688.895,33.430,526,826
247,651.691,41.228,457,800
248,619.393,32.539,436,747
249,629.157,34.011,452,776
250,656.390,40.659,474,836
251,552.991,35.217,412,652
252,640.031,31.796,488,756
253,668.720,42.388,470,818
254,605.015,39.275,439,755
255,608.207,37.879,413,750
256,645.534,41.927,433,795
257,578.539,41.565,390,723
258,623.728,29.367,441,749
259,671.253,36.199,488,828
260,639.767,30.545,478,758
261,589.941,27.267,442,699
262,623.568,44.153,414,814
263,559.511,34.575,370,699
264,584.885,27.118,451,697
265,661.944,36.722,496,813
266,629.996,33.731,474,793
267,598.460,39.024,421,724
268,599.839,44.888,402,744
