 ,Mean,StdDev,Min,Max
1,550.782,64.918,343,829
2,516.996,74.734,277,783
3,533.723,55.376,328,791
4,491.702,70.376,283,822
5,540.769,51.695,343,752
6,483.652,67.786,288,765
7,543.186,58.262,311,875
8,498.956,65.731,274,773
9,507.530,68.006,301,790
10,497.451,69.639,267,794
11,496.074,75.158,299,965
12,503.678,64.708,266,796
13,535.245,65.808,317,788
14,531.972,58.401,284,793
15,541.400,62.851,322,852
16,502.899,67.814,285,752
17,531.907,56.331,304,775
18,486.255,68.965,262,750
19,564.283,53.178,312,768
20,502.037,70.498,279,771
21,546.277,60.936,315,804
22,580.747,70.754,281,834
23,528.480,78.144,291,843
24,531.106,72.555,312,813
25,533.652,70.620,274,798
26,516.833,71.482,316,814
27,514.096,63.865,276,754
28,531.287,63.184,337,1347
29,509.180,65.914,281,836
30,540.948,58.410,345,922
31,521.416,67.949,295,771
32,539.031,57.799,348,834
33,506.275,64.246,308,997
34,527.660,55.198,317,785
35,486.157,69.349,280,752
36,520.361,67.111,305,969
37,520.686,66.904,300,830
38,511.862,70.753,307,798
39,507.393,66.746,266,1233
40,505.466,72.293,315,841
41,531.127,64.153,280,779
42,509.211,71.537,336,878
43,532.152,64.068,267,787
44,513.694,78.998,288,948
45,552.557,70.402,339,855
46,524.613,73.483,316,1852
47,559.414,61.918,338,824
48,506.137,67.483,277,771
49,527.713,67.460,263,823
50,498.082,73.653,277,767
51,519.019,73.592,320,814
52,519.519,64.185,314,937
53,542.461,69.096,322,827
54,540.612,63.550,293,898
55,513.533,72.088,320,831
56,541.271,66.432,297,986
57,515.570,73.677,317,870
58,525.996,63.514,311,1393
59,510.870,65.227,316,861
60,518.644,61.828,305,750
61,521.162,60.112,313,789
62,511.614,65.971,278,856
63,536.865,59.268,335,818
64,518.001,65.323,272,775
65,546.720,65.771,333,854
66,510.395,75.775,286,846
67,542.619,80.455,285,851
68,538.361,82.214,298,849
69,550.482,71.534,303,839
70,521.416,78.641,308,892
71,540.816,68.077,281,797
72,554.693,64.342,341,826
73,529.922,69.965,287,793
74,533.844,57.281,354,806
75,524.208,68.901,288,777
76,549.497,56.968,345,823
77,515.769,72.532,312,773
78,550.016,59.069,319,834
79,512.075,71.506,294,836
80,524.841,71.929,291,829
81,533.792,66.734,303,777
82,511.992,72.582,301,801
83,533.183,64.917,275,789
84,510.357,73.073,314,824
85,536.291,63.098,288,785
86,509.350,75.501,325,835
87,532.280,66.748,294,774
88,543.071,75.202,329,881
89,559.708,35.984,411,698
90,637.654,31.283,490,772
91,662.776,37.678,489,825
92,617.686,46.276,415,756
93,643.501,37.151,479,779
94,598.053,39.129,425,753
95,567.346,34.940,428,707
96,612.292,37.646,407,766
97,618.920,36.907,417,791
98,611.546,35.845,434,766
99,591.794,42.033,428,734
100,564.292,34.868,421,727
101,548.060,43.645,401,724
102,615.652,42.599,435,752
103,604.007,37.389,439,739
104,571.091,35.003,440,765
105,571.372,38.536,415,717
106,598.198,36.982,433,750
107,558.615,40.816,403,708
108,636.959,39.155,406,783
109,544.734,96.531,365,859
110,548.137,23.370,380,649
111,581.571,31.834,413,729
112,625.503,37.932,439,773
113,523.336,44.937,361,664
114,615.415,39.597,401,748
115,632.084,39.341,442,790
116,581.961,30.893,425,791
117,539.545,44.091,369,677
118,650.355,36.639,453,794
119,508.856,38.126,372,628
120,634.948,33.522,456,762
121,626.787,38.221,442,965
122,575.660,28.762,417,711
123,566.281,31.177,389,689
124,636.330,35.636,414,796
125,551.110,45.388,372,699
126,629.138,30.545,481,766
127,647.385,33.887,435,788
128,610.871,31.864,436,746
129,569.039,24.906,412,674
130,627.604,33.733,463,793
131,555.217,40.174,404,696
132,591.316,24.484,443,730
133,669.137,37.325,488,852
134,599.369,28.657,454,720
135,580.230,40.252,422,728
136,612.203,36.929,440,746
137,543.780,39.410,375,698
138,594.103,32.180,424,748
139,630.032,32.728,432,775
140,599.221,30.362,434,728
141,588.763,38.293,392,750
142,560.058,38.742,400,734
143,579.088,40.656,417,735
144,633.082,36.383,457,768
145,625.489,33.366,451,758
146,610.242,29.949,451,745
147,621.029,38.670,450,753
148,562.742,36.101,379,712
149,583.087,43.126,381,736
150,657.730,33.118,464,789
151,606.264,29.053,440,730
152,627.285,26.990,452,756
153,691.050,41.208,498,834
154,634.480,38.342,452,776
155,608.583,31.555,440,734
156,628.000,37.266,454,802
157,652.726,43.399,432,798
158,558.563,42.573,419,705
159,652.900,41.712,449,801
160,657.895,38.329,464,813
161,612.743,29.809,451,742
162,619.247,34.274,440,752
163,636.734,41.619,444,786
164,538.526,36.318,412,719
165,630.019,38.237,428,814
166,652.918,33.682,467,807
167,589.426,33.544,440,714
168,580.299,31.364,438,718
169,617.206,36.462,418,754
170,569.944,33.464,372,706
171,603.656,30.013,441,720
172,617.108,70.869,395,855
173,606.881,28.708,453,735
174,555.441,29.189,418,664
175,611.356,40.499,390,779
176,555.579,31.137,381,691
177,587.682,25.244,435,707
178,610.163,85.530,412,922
179,638.415,29.925,471,769
180,601.798,29.824,420,732
181,581.980,43.686,377,721
182,525.528,39.301,379,664
183,609.570,33.480,470,773
184,643.955,48.448,464,834
185,602.532,33.230,430,735
186,615.690,35.737,447,761
187,539.697,34.493,390,689
188,573.911,36.269,411,709
189,603.784,32.860,405,749
190,600.834,32.025,417,738
191,599.930,31.623,417,749
192,583.722,36.668,401,727
193,573.920,47.402,357,747
194,549.695,35.887,352,683
195,649.351,31.996,421,811
196,574.613,28.187,442,690
197,562.401,25.578,435,675
198,623.778,30.541,453,788
199,623.617,47.460,426,830
200,566.444,38.116,344,728
201,651.341,30.381,486,798
202,586.335,47.728,423,777
203,584.123,25.120,449,709
204,583.206,41.366,385,712
205,629.474,62.357,430,987
206,542.182,35.432,385,682
207,626.839,28.862,456,763
208,633.557,49.505,421,841
209,591.363,30.758,420,720
210,622.445,35.672,404,750
211,624.331,42.863,398,768
212,554.301,35.845,386,714
213,619.555,29.568,458,760
214,599.620,76.786,398,878
215,603.315,31.601,456,760
216,609.417,29.309,465,733
217,630.576,46.024,446,787
218,568.518,42.257,383,699
219,617.457,32.390,472,802
220,661.624,45.534,439,948
221,572.087,31.479,447,696
222,634.715,35.165,444,779
223,672.903,42.758,503,855
224,644.022,32.732,466,817
225,625.692,34.165,412,754
226,587.402,42.853,425,773
227,583.369,35.228,433,713
228,666.248,35.899,412,824
229,630.572,34.779,465,779
230,621.939,33.789,445,771
231,598.426,37.300,402,733
232,566.655,46.158,417,753
233,563.096,37.428,377,697
234,653.218,32.605,466,791
235,606.973,29.298,456,747
236,594.505,32.147,449,730
237,606.501,30.514,444,749
238,608.209,42.908,410,767
239,560.166,39.682,400,705
240,672.014,33.853,487,814
241,585.918,34.459,414,774
242,572.298,21.284,453,662
243,616.455,31.350,439,748
244,632.230,41.768,450,809
245,571.445,41.612,403,740
246,674.470,31.568,520,800
247,631.509,38.216,451,771
248,603.732,28.923,435,717
249,623.789,31.326,393,761
250,641.026,38.433,456,800
251,540.035,33.594,395,642
252,632.145,30.607,474,758
253,646.688,39.420,429,794
254,593.783,33.511,451,741
255,605.884,31.913,448,725
256,631.555,39.772,427,768
257,564.567,39.925,371,739
258,614.496,28.880,453,758
259,652.531,34.935,465,812
260,624.705,29.825,464,747
261,577.543,26.004,435,680
262,610.394,42.204,406,764
263,542.491,33.605,342,664
264,575.158,27.078,441,695
265,641.941,35.171,466,805
266,615.037,30.230,447,750
267,577.418,34.176,433,695
268,583.374,42.326,403,738
269,556.321,38.337,392,736
270,575.030,31.693,438,723
271,632.848,34.525,448,786
272,627.688,28.021,449,754
273,603.348,40.767,404,762
274,543.235,47.424,391,751
275,576.843,39.371,373,711
276,618.757,33.746,448,773
277,613.976,39.453,405,818
278,604.897,28.956,443,756
279,633.025,35.292,457,775
280,556.136,41.038,382,701
281,603.272,42.264,395,745
282,659.518,31.436,509,794
283,601.152,75.241,408,854
284,614.884,28.721,461,744
285,621.505,49.429,422,778
286,613.125,52.489,420,799
287,635.870,31.321,478,743
288,656.754,34.677,494,787
289,662.965,48.689,467,851
290,586.275,40.727,439,731
