 ,Mean,StdDev,Min,Max
1,2019.054,956.934,542,8339
2,2030.743,969.511,415,9073
3,3192.589,1498.916,650,14647
4,2271.158,1176.214,447,11842
5,5016.963,2233.594,1222,19403
6,2687.625,1263.871,530,13733
7,5363.135,2051.101,1547,21948
8,5472.199,2319.945,1383,19090
9,6877.588,2422.620,1702,20889
10,5627.497,2192.332,1522,18932
11,1973.753,616.204,907,6037
12,1401.931,404.184,764,5026
13,1831.852,637.994,681,7767
14,3746.836,1676.001,1023,17133
15,4331.581,1795.508,1441,18094
16,5109.601,2068.028,1019,17631
17,5301.332,2387.652,982,21523
18,4403.109,1553.998,959,12343
19,1360.461,384.075,508,6081
20,1062.964,254.144,402,3431
21,1087.919,287.677,393,3479
22,1712.848,864.737,350,7240
23,1504.299,549.482,518,5057
24,2845.728,1358.572,637,15334
25,3054.069,1522.939,707,13526
26,4581.149,2380.806,775,19988
27,5477.521,2240.276,926,18995
28,4811.653,2133.416,1120,18260
29,3344.091,1618.908,845,15012
30,3047.529,1448.138,906,10401
31,5534.521,2185.232,1145,15993
32,7070.571,2675.147,1842,19142
33,1891.256,524.234,830,4741
34,2169.865,799.937,887,6166
35,1867.624,759.728,854,7413
36,7514.937,2342.060,2032,22077
37,7212.612,2243.535,1970,23503
38,8374.503,3182.054,1994,25324
39,6308.343,2162.866,1639,17318
40,5711.719,2612.195,1175,21793
41,1170.649,293.710,604,3107
42,1131.585,316.625,567,4094
43,1057.871,336.395,384,4321
44,1802.971,951.975,504,8672
45,1278.919,536.623,355,4957
46,1657.059,805.404,504,8560
47,2754.490,1657.270,647,12356
48,2907.100,1651.860,660,14867
49,1082.921,229.592,573,6007
50,1106.465,355.885,555,4233
51,939.473,186.247,419,2374
52,2266.660,1119.138,698,11202
53,3733.703,1743.363,901,14806
54,8053.119,3274.041,1168,23089
55,6790.545,2562.484,1380,18269
56,7087.778,2426.004,1730,18322
57,6122.637,2361.383,1248,16853
58,6586.330,2383.351,1895,20509
59,6494.418,2776.626,1359,27785
60,6182.140,2321.141,1176,22589
61,4712.637,1673.526,1081,14434
62,4611.791,2093.821,986,15880
63,3138.284,1495.106,734,13565
64,3295.139,1431.033,651,14541
65,2750.825,1323.057,688,11496
66,1647.888,903.660,436,9239
67,791.033,224.239,388,3474
68,890.199,245.519,343,7904
69,2009.831,1033.042,640,10871
70,1370.897,693.282,446,8829
71,901.428,151.714,366,4836
72,891.969,172.011,339,1964
73,922.564,205.291,385,3695
74,2044.686,1107.479,403,12008
75,3176.454,1641.728,675,15974
76,3550.060,1433.319,592,10483
77,4350.227,1905.917,1045,18039
78,2379.346,995.118,599,11256
79,4447.096,1790.552,1121,15385
80,3220.574,1675.096,667,16963
81,4277.356,1566.572,838,14406
82,990.822,238.752,537,2377
83,1204.526,321.087,365,3273
84,828.270,173.830,459,1577
85,2087.076,911.883,416,11353
86,1688.165,606.150,509,6221
87,2080.094,939.217,453,11384
