 ,Mean,StdDev,Min,Max
1,689.144,97.202,369,1084
2,667.506,117.241,367,1186
3,1535.448,658.143,475,7808
4,1512.447,755.440,413,8183
5,1957.092,859.250,530,9884
6,1339.256,600.016,416,6637
7,1326.977,537.368,470,4878
8,1219.931,536.622,430,5460
9,3243.900,1548.541,601,11975
10,2063.248,1003.676,570,12350
11,5835.988,2215.850,858,16075
12,2918.587,1437.372,577,11150
13,3475.499,1720.653,748,15235
14,1563.326,671.856,446,5906
15,3131.289,1570.332,737,11992
16,829.968,236.671,395,2662
17,989.898,243.574,555,3555
18,724.882,168.268,357,1837
19,1618.986,681.287,552,6757
20,1118.313,496.696,396,6135
21,1331.536,535.960,456,6310
22,673.621,126.608,328,1273
23,666.582,159.738,321,2425
24,713.996,170.335,399,2515
25,1262.658,631.430,439,6481
26,2401.116,1257.640,477,10092
27,2642.147,1436.363,510,11601
28,1522.349,645.721,528,7017
29,1396.222,733.883,408,7870
30,1583.132,603.147,579,6534
31,2731.988,1079.398,876,10607
32,6725.546,2567.807,1056,19290
33,5176.087,2270.290,1031,16449
34,6560.028,2661.830,933,17761
35,4362.204,2284.047,806,17328
36,5605.437,2407.975,671,17413
37,4559.798,1892.281,752,15670
38,6375.307,2465.168,893,17862
39,3688.852,1899.599,799,13477
40,4796.569,2276.484,828,17357
41,2491.459,1082.507,665,9200
42,2777.027,1154.097,497,8915
43,1476.436,526.225,493,6382
44,965.451,331.676,328,4866
45,1007.901,423.163,430,3879
46,1038.525,463.283,413,5176
47,906.733,251.787,428,2670
48,827.965,237.437,400,2455
49,1541.617,520.291,465,4567
50,1903.759,733.173,455,6379
51,2008.532,821.442,543,7139
52,2276.608,780.870,735,6188
53,6089.710,2412.694,876,18697
54,5932.531,2333.206,1296,16475
55,6223.207,2673.038,815,17847
56,5632.538,2472.067,979,18812
57,1764.361,647.204,472,6375
58,2057.757,850.107,513,8636
59,1880.309,697.736,538,8431
60,6026.227,2654.658,785,18935
61,6366.310,2514.737,876,18158
62,3919.796,1831.977,772,15348
63,1352.711,493.654,459,6116
64,1134.948,493.619,424,5460
65,789.261,179.605,392,2794
66,770.266,269.823,320,3592
67,832.418,251.219,347,3152
68,844.841,243.669,327,3024
69,856.926,207.875,356,2579
70,736.516,175.069,359,1727
71,926.474,240.532,358,4242
72,1723.857,824.259,435,7790
73,3726.814,1607.045,665,11667
74,2370.872,1258.555,463,10657
75,4991.338,2168.004,902,15296
76,1943.842,980.667,460,8070
77,3190.298,1407.468,661,12376
78,1762.805,824.581,415,8046
79,1310.976,452.462,498,4283
80,1124.273,450.538,398,3942
81,1475.314,493.356,429,5684
82,2884.603,1605.748,496,12916
83,2782.757,1309.599,590,10373
84,1004.173,382.765,367,3307
85,826.740,169.258,355,2810
86,740.706,190.904,330,2426
87,727.609,129.306,310,1691
88,837.428,324.630,368,3265
89,873.386,84.399,583,1068
90,788.275,37.664,618,957
91,787.119,55.732,567,970
92,950.810,95.106,622,1148
93,767.618,40.207,555,943
94,746.060,52.475,554,932
95,2019.026,682.028,910,5493
96,1143.258,342.188,585,3407
97,1271.669,394.748,675,3871
98,2186.200,778.184,823,6070
99,1474.180,358.473,803,3299
100,1312.930,565.603,701,5356
101,1917.369,579.388,951,3977
102,1914.199,545.045,862,4487
103,2243.389,1089.559,672,7587
104,2443.144,877.960,815,6637
105,1534.241,528.853,584,4565
106,1504.832,521.472,712,5609
107,1211.306,363.641,636,2697
108,1733.601,492.609,787,3563
109,1437.129,457.619,747,2990
110,1480.314,568.572,673,4510
111,1148.324,313.507,694,2981
112,1546.932,439.450,869,3574
113,2183.681,708.617,890,6360
114,4849.981,1797.676,975,10237
115,3750.036,1294.244,1261,9821
116,1078.799,293.231,724,3156
117,3275.856,880.799,1314,7019
118,2033.112,912.938,1299,12350
119,5960.376,1995.341,1665,15413
120,5581.327,1897.519,1512,13801
121,5630.273,2342.428,1126,14633
122,4274.387,1741.569,1315,9911
123,3051.021,1166.434,1204,7306
124,2216.158,919.205,1056,7782
125,3179.954,1088.260,1240,7599
126,4460.735,1799.995,1046,11948
127,3007.438,1104.022,1087,7431
128,2021.316,774.168,1029,5906
129,1031.822,255.924,710,3296
130,1679.887,403.943,988,3685
131,1912.713,998.388,737,7334
132,3010.089,1296.282,993,8517
133,4676.067,2074.478,1112,11992
134,872.664,78.846,609,1521
135,943.143,87.546,583,1197
136,1316.098,193.690,828,2354
137,902.837,83.625,594,1116
138,1344.417,303.484,736,3555
139,1268.136,175.064,768,2193
140,1023.424,58.501,736,1324
141,758.474,47.646,563,970
142,1033.588,140.371,684,1837
143,1476.094,563.335,699,4444
144,1737.499,471.011,794,3481
145,1982.153,813.019,937,6757
146,1219.824,441.047,646,4324
147,1195.795,402.620,643,3300
148,1233.580,354.412,747,5101
149,937.089,176.739,613,2082
150,1741.958,479.850,878,4376
151,1471.374,366.161,830,2951
152,806.539,70.302,579,1154
153,719.380,47.750,522,933
154,976.162,91.117,602,1273
155,710.946,48.194,554,925
156,729.747,51.310,525,1057
157,781.447,82.292,541,1577
158,781.215,223.170,515,2515
