 ,Mean,StdDev,Min,Max
1,1661.058,713.702,482,7241
2,1682.434,745.530,401,7489
3,2720.629,1243.835,594,12057
4,1960.566,969.875,449,10203
5,4474.820,1982.672,1097,17517
6,2350.446,1076.536,525,12295
7,4863.266,1858.495,1449,19869
8,4832.192,2028.050,1233,16896
9,6197.345,2184.183,1535,19475
10,5112.034,1980.011,1417,17282
11,1930.053,604.180,882,6061
12,1380.066,404.041,747,5034
13,1791.472,630.681,676,7736
14,3366.745,1497.982,971,15376
15,3887.133,1611.845,1328,16497
16,4513.238,1816.134,956,15956
17,4785.134,2157.339,944,19240
18,4079.696,1443.119,910,11757
19,1321.467,377.175,513,5842
20,1037.269,252.329,394,3403
21,1054.786,285.049,392,3659
22,1459.627,690.368,339,5918
23,1251.021,395.917,452,3750
24,2376.350,1106.848,595,14010
25,2595.835,1261.185,626,10902
26,4009.859,2084.887,722,18149
27,5037.352,2067.112,870,17576
28,4393.131,1970.521,1024,17490
29,3001.377,1440.812,759,13708
30,2620.868,1220.053,808,8984
31,5039.189,2006.134,1046,14598
32,6517.194,2482.444,1674,17727
33,1830.354,503.142,797,4495
34,2101.955,777.985,856,5885
35,1822.519,747.406,811,7365
36,7120.647,2222.478,1937,21155
37,6714.083,2098.654,1955,21842
38,7657.744,2896.168,1917,23138
39,5832.343,2014.443,1535,16144
40,5440.541,2491.922,1108,20342
41,1120.956,274.868,574,3023
42,1094.172,306.935,541,4112
43,1025.147,332.457,385,4412
44,1538.582,762.872,449,7201
45,1056.746,354.057,329,4021
46,1354.563,591.734,467,6671
47,2288.818,1320.637,567,10333
48,2455.740,1349.042,607,12174
49,1032.710,216.165,515,5798
50,1057.520,337.619,540,4221
51,904.337,175.718,391,2451
52,1950.668,919.560,625,9332
53,3260.914,1507.091,817,13249
54,7329.101,2968.999,1061,21082
55,6166.937,2333.342,1272,16748
56,6568.513,2253.013,1636,16964
57,5588.975,2157.506,1160,15034
58,6044.981,2171.426,1746,18281
59,5933.571,2526.514,1259,25338
60,5693.620,2141.682,1082,20828
61,4502.097,1620.341,1055,14013
62,4332.064,1962.694,944,14582
63,2982.973,1417.955,707,13133
64,3145.243,1371.256,625,13956
65,2451.465,1174.761,611,10648
66,1418.408,720.157,418,7591
67,729.483,168.343,356,2701
68,798.054,180.943,320,6755
69,1658.581,796.876,563,8441
70,1135.982,502.696,414,7411
71,863.070,143.975,361,4832
72,869.306,169.348,328,2061
73,892.481,197.914,378,3871
74,1787.356,926.930,389,10154
75,2800.229,1426.313,619,14057
76,3154.127,1261.230,557,9699
77,3837.654,1674.638,949,16123
78,1923.619,731.697,534,9468
79,3772.306,1480.067,1060,13179
80,2719.512,1348.936,585,14135
81,4045.488,1504.320,806,13738
82,955.434,225.306,500,2357
83,1166.144,309.864,350,3208
84,799.204,165.637,440,1508
85,1895.727,803.966,402,10261
86,1441.161,478.754,481,5247
87,1800.111,777.036,424,9734
88,1126.524,371.364,406,4684
89,1160.948,291.533,638,3408
90,1290.817,314.771,820,2987
91,1672.560,720.647,993,5895
92,1233.793,389.137,702,3588
93,1506.557,456.585,843,3536
94,1397.675,369.042,892,4768
95,2221.734,864.582,993,6146
96,2007.457,795.645,1059,6168
97,2249.553,784.556,1226,5543
98,1590.057,535.063,862,4573
99,1359.752,394.610,851,4405
100,1806.692,709.429,1081,5474
101,3575.602,1339.262,1283,9852
102,2940.289,1001.119,1458,7710
