 ,Mean,StdDev,Min,Max
1,563.631,65.786,346,868
2,526.268,76.635,283,797
3,541.163,55.852,344,812
4,496.593,71.757,269,922
5,542.746,51.569,314,770
6,485.844,70.868,272,799
7,537.466,57.513,326,854
8,495.400,65.913,272,782
9,518.150,74.954,300,936
10,504.276,78.376,268,877
11,506.683,84.339,295,1103
12,514.435,71.300,270,812
13,542.836,68.174,276,791
14,542.168,67.611,275,806
15,534.601,62.119,289,844
16,499.875,67.028,283,766
17,528.469,56.309,303,771
18,485.327,69.160,270,764
19,567.088,58.010,308,821
20,508.286,73.417,277,854
21,563.478,73.052,319,1022
22,575.423,70.504,278,857
23,537.652,79.593,285,841
24,538.309,73.891,319,819
25,538.435,71.300,280,817
26,514.873,70.851,315,817
27,511.345,63.482,278,759
28,526.215,63.007,334,1605
29,504.019,65.887,271,829
30,534.860,57.542,338,937
31,529.648,71.937,279,803
32,541.223,56.590,343,830
33,510.252,70.071,304,905
34,522.837,53.730,306,801
35,480.721,68.414,286,744
36,521.966,69.086,307,979
37,517.562,70.799,296,834
38,513.755,78.116,303,844
39,502.055,65.988,271,1188
40,502.424,73.426,287,831
41,536.689,71.971,284,862
42,518.306,77.610,300,857
43,543.855,71.017,287,789
44,513.040,79.311,285,931
45,576.856,83.839,345,977
46,542.848,80.416,304,1952
47,582.376,74.656,344,912
48,507.281,68.531,286,792
49,542.484,74.487,305,823
50,507.744,80.739,306,829
51,531.183,82.285,310,883
52,515.854,64.189,307,1147
53,532.934,68.405,313,816
54,531.806,63.061,315,909
55,512.324,76.668,314,875
56,537.187,68.374,305,901
57,515.874,78.878,337,886
58,525.360,65.478,305,1299
59,511.035,66.434,309,817
60,515.680,65.671,311,770
61,513.747,58.047,311,798
62,505.600,66.099,271,919
63,532.446,59.517,339,827
64,516.765,68.395,253,775
65,541.460,65.624,343,843
66,504.470,74.676,276,843
67,567.883,91.545,285,922
68,560.370,88.135,314,883
69,576.827,83.792,297,895
70,529.487,81.736,322,896
71,555.384,76.369,265,852
72,558.505,67.710,329,846
73,539.060,77.973,281,839
74,527.752,55.762,331,799
75,517.595,67.940,257,768
76,540.801,55.801,331,799
77,512.770,75.650,314,800
78,545.148,60.051,319,856
79,512.629,78.381,300,869
80,519.429,71.932,288,834
81,527.194,66.852,278,787
82,506.463,71.996,305,820
83,524.900,64.021,299,784
84,503.206,71.960,304,836
85,529.569,62.715,293,780
86,505.409,75.501,320,822
87,531.433,66.250,291,789
88,537.713,72.863,333,845
89,577.737,38.014,437,734
90,649.366,32.040,503,794
91,676.576,39.776,467,838
92,635.237,48.541,433,789
93,648.767,37.588,491,792
94,608.984,40.300,463,787
95,574.081,35.765,435,722
96,619.694,38.467,396,801
97,626.777,38.436,440,807
98,616.969,36.134,416,753
99,603.290,40.177,405,751
100,568.958,36.654,430,753
101,565.062,45.314,403,707
102,619.061,42.030,431,770
103,601.199,37.967,442,735
104,595.423,40.448,450,799
105,567.958,36.857,410,726
106,593.548,37.242,419,762
107,553.500,39.655,398,705
108,628.835,37.743,447,773
109,537.009,93.701,358,844
110,541.857,23.663,400,656
111,581.927,31.884,406,731
112,621.462,37.233,447,782
113,528.134,44.172,375,675
114,624.723,40.331,418,775
115,674.647,41.441,480,936
116,577.680,29.789,434,762
117,543.126,42.678,383,688
118,700.573,41.516,491,877
119,505.194,37.071,373,628
120,692.420,38.788,531,870
121,626.645,38.591,437,969
122,569.935,28.399,415,715
123,636.657,41.532,404,795
124,641.602,36.520,469,812
125,603.700,59.203,404,768
126,630.708,32.061,456,757
127,649.083,33.880,465,785
128,675.584,38.526,423,806
129,568.365,24.481,423,666
130,635.304,33.338,477,781
131,540.667,36.855,382,673
132,590.164,25.160,449,722
133,664.435,37.682,496,844
134,589.466,27.917,436,705
135,574.668,39.409,413,701
136,612.812,37.042,455,766
137,539.021,40.084,341,683
138,590.359,32.814,383,739
139,629.186,32.932,426,771
140,604.848,30.994,443,764
141,575.178,36.281,400,735
142,563.163,39.738,414,748
143,570.848,38.621,397,704
144,636.990,38.926,444,821
145,667.449,36.372,482,806
146,611.084,29.909,450,749
147,616.025,38.108,444,747
148,613.804,44.080,443,827
149,588.741,44.014,374,731
150,711.818,33.076,534,868
151,653.032,34.562,458,793
152,631.632,28.451,444,748
153,679.543,42.172,508,857
154,659.199,41.294,458,832
155,618.792,32.341,456,755
156,640.109,38.637,415,793
157,660.273,42.535,456,805
158,562.307,43.616,417,730
159,663.725,42.262,497,796
160,666.094,38.643,484,819
161,618.222,30.484,440,760
162,621.934,34.773,450,759
163,643.064,42.126,462,815
164,531.540,35.037,405,678
165,632.632,38.457,418,777
