 ,Mean,StdDev,Min,Max
1,817.636,127.818,429,1308
2,820.395,162.128,445,1455
3,2764.506,1248.865,683,9646
4,3570.837,1812.623,769,14773
5,5199.535,2602.899,900,20804
6,4997.743,2706.961,871,24757
7,4076.968,2305.965,703,18748
8,3628.109,2173.222,750,18471
9,6672.487,3258.771,935,22346
10,4843.078,2668.650,986,22882
11,12066.732,4816.614,1548,36286
12,7332.340,4006.347,1042,30937
13,8582.296,4687.694,1253,42467
14,4299.955,2375.859,695,19136
15,5714.245,2819.476,1075,18857
16,1067.621,336.097,437,3269
17,1269.593,342.104,701,4622
18,917.633,234.462,394,2351
19,2982.286,1438.799,701,11370
20,2793.715,1567.836,592,12399
21,4027.043,2209.488,826,15958
22,1646.551,986.874,494,8753
23,1150.624,650.739,384,7970
24,1597.614,926.714,540,9189
25,2890.864,1833.205,673,16708
26,5045.062,2679.764,637,19154
27,6085.863,3549.032,754,30554
28,1829.175,705.732,576,7680
29,1771.616,886.042,506,9630
30,1965.028,653.504,717,6548
31,5520.605,2496.839,1297,24717
32,13567.082,5378.109,1660,38854
33,11215.494,5069.669,1675,36992
34,12826.975,5617.705,1537,37907
35,9049.840,5173.935,1261,36734
36,8010.406,3486.989,805,28152
37,7554.785,3230.054,1068,28355
38,9771.843,3863.609,1276,27446
39,5483.353,2646.087,1089,21890
40,7035.884,3453.633,1154,28222
41,3976.845,1744.223,900,16497
42,4977.952,2118.647,694,15407
43,4347.829,2081.419,778,22175
44,3975.962,2187.492,545,18661
45,3241.097,2355.011,673,17489
46,3028.932,1935.132,590,14684
47,1089.079,284.557,478,3090
48,1043.591,299.268,461,2716
49,1717.674,518.789,536,4697
50,2071.442,731.976,521,6264
51,2311.587,848.861,777,7251
52,2710.259,814.572,900,6430
53,11350.633,4711.228,1462,35697
54,12372.530,5122.308,2071,39415
55,11975.895,5278.776,1395,35984
56,8659.196,3735.320,1546,28622
57,2020.737,725.177,527,7016
58,2335.798,899.961,564,9023
59,2220.318,761.811,680,8799
60,8975.072,3905.780,1034,29149
61,12879.719,5442.861,1518,35680
62,6521.302,3035.797,1082,25907
63,1645.952,543.673,542,6615
64,1441.835,562.046,522,5880
65,999.111,247.777,434,3298
66,2515.876,1713.902,405,11395
67,2317.967,1359.466,544,10844
68,2148.608,1256.367,411,10136
69,1033.881,254.653,392,2580
70,913.461,235.798,392,2001
71,1144.755,286.248,478,4967
72,4805.691,2977.588,646,27406
73,7524.498,3657.584,1076,24123
74,6507.035,4024.187,698,32284
75,10481.959,4860.634,1430,36832
76,5679.739,3409.268,712,25920
77,7690.752,3650.451,921,28500
78,3657.719,2010.003,518,18291
79,1512.930,558.747,612,4837
80,1242.739,455.499,435,4165
81,1790.505,547.401,506,6302
82,6951.860,4106.294,733,32327
83,7053.844,3673.066,1022,26716
84,3014.054,1941.144,524,15560
85,1102.399,248.853,486,3648
86,919.720,256.064,391,2854
87,908.944,168.841,367,2035
88,2788.625,2002.739,501,13036
89,1047.491,107.453,677,1291
90,929.093,49.974,704,1193
91,976.968,80.171,667,1210
92,1175.569,135.467,720,1452
93,976.016,67.036,717,1245
94,963.753,84.601,708,1344
95,3274.907,1168.701,1379,8307
96,2011.139,627.178,838,5330
97,2352.721,887.404,978,6708
98,4550.027,1672.627,1559,11675
99,3680.359,1495.990,1544,10562
100,2604.259,1241.622,1023,9523
101,6075.753,2545.058,2148,15028
102,4619.769,1674.172,1468,10789
103,5082.415,2784.364,1128,17838
104,9071.363,3462.676,2010,24757
105,6944.373,3335.088,1345,17127
106,4023.326,1778.256,1275,11702
107,4901.738,2067.396,1512,13078
108,5202.189,2131.202,1314,12447
109,3309.763,1339.647,1114,7713
110,5771.483,2789.849,1509,18471
111,2733.023,1055.184,1208,7350
112,3806.932,1649.017,1351,12198
113,4507.995,1607.162,1478,13020
114,9822.382,3883.657,1571,21584
115,7286.532,2653.573,1872,20465
116,1984.163,1016.869,1136,8431
117,7920.525,2318.081,2585,17343
118,4170.686,2048.662,2107,22882
119,12041.158,4099.944,3242,28896
120,11230.385,3826.148,2438,25390
121,11347.419,4864.941,1878,30403
122,10108.314,4360.310,2646,23274
123,7948.192,3514.025,2282,19807
124,5202.503,2345.729,1902,16122
125,8149.229,3051.219,2604,19603
126,10509.776,4518.481,1815,25965
127,6819.173,2808.105,1712,16704
128,5395.213,2689.542,2077,18103
129,2710.865,1206.964,1180,8027
130,3737.697,1352.549,1657,9330
131,3807.667,2184.983,1280,14600
132,5630.457,2569.700,1532,15194
133,7440.281,3289.583,1506,18675
134,1141.760,99.687,859,1654
135,1172.676,108.912,783,1521
136,1808.083,281.281,1083,3269
137,1122.973,101.991,726,1368
138,1750.575,359.693,938,4622
139,1682.996,231.994,1123,2748
140,1269.617,71.818,899,1644
141,1005.124,67.576,746,1316
142,1377.601,200.241,918,2351
143,2818.269,1273.232,1080,9178
144,2923.719,924.854,1114,6369
145,3629.644,1600.548,1258,11370
146,2951.982,1442.620,968,9242
147,2964.817,1467.433,1187,9343
148,2633.829,1226.010,1152,10856
149,2407.884,1019.451,1150,8035
150,4278.825,1611.730,1313,12152
151,4468.490,2071.714,1531,11443
152,1921.187,1034.886,886,6897
153,1251.284,444.288,735,3810
154,1918.727,740.403,1086,7010
155,892.391,138.490,647,1639
156,970.891,183.153,650,2571
157,1295.170,425.919,776,4245
158,1776.639,1151.017,723,9189
159,2177.761,1316.980,799,8408
160,1699.031,774.180,872,6238
161,1798.757,810.613,940,7506
162,3063.839,1546.345,1031,9479
163,3051.548,1546.928,1240,9275
164,4302.865,1897.989,1452,12177
165,4964.014,2098.425,1644,13992
166,6455.409,2944.018,1158,16910
167,8042.913,3697.792,2159,19309
168,5476.848,2806.608,1637,20138
169,4519.864,2554.651,1570,17806
170,2667.041,986.460,1263,7680
171,2546.827,735.012,1297,5700
172,1688.079,162.250,1035,2219
173,2978.878,867.313,1499,7343
174,2784.740,800.665,1463,6766
175,1475.119,164.570,874,1880
176,2515.243,629.556,1346,5691
177,1697.978,124.332,1259,2250
178,2800.371,498.637,1235,4407
179,5782.922,2058.979,2335,14080
180,5708.680,1570.463,2704,12607
181,5079.571,1855.000,2165,12926
182,15730.545,3883.591,5794,26754
183,11594.479,4327.083,3754,29422
184,13907.558,4988.973,2228,38854
185,15550.129,4277.419,6617,31256
186,10115.055,3832.599,3569,28680
187,10450.704,3695.775,3544,24273
188,12258.230,4550.335,4111,30138
189,13245.330,4622.323,4100,30573
190,12481.904,4362.082,2403,31673
191,12701.790,5344.078,3144,36734
192,16256.602,4090.777,5850,29232
193,6138.968,2931.268,2082,18889
194,8600.502,3373.360,2901,25080
195,5617.493,2074.897,1960,16410
196,9727.886,2685.272,3912,21871
197,8369.850,2445.689,3261,19189
198,6847.478,2237.731,2627,16325
199,9579.809,3170.980,2691,23090
200,9337.573,3614.181,3046,23141
201,11412.413,3933.392,3337,27446
202,10231.171,3050.609,3115,22127
203,5574.906,2246.673,1901,13880
204,8865.792,2874.207,3004,16447
205,6863.658,3330.106,2149,21890
206,4079.609,1757.519,1630,11190
207,7677.398,2680.785,2637,19239
208,11210.836,4589.612,3064,28222
209,3880.720,1436.867,1663,9410
210,4408.381,2303.824,1732,15851
211,5011.312,1858.131,1834,13652
212,4815.935,1854.424,1937,13607
213,4934.116,1633.217,2156,14171
214,6637.622,2509.269,1773,14896
215,4683.839,1385.852,2229,8975
