 ,Mean,StdDev,Min,Max
1,3832.688,2106.019,807,17077
2,3721.352,2040.027,527,18173
3,5320.364,2658.812,949,29435
4,3637.804,2132.353,568,22270
5,7107.751,3307.270,1898,30671
6,4002.667,2062.935,684,23204
7,7115.618,2854.817,2007,32771
8,7548.721,3426.407,2002,30350
9,8807.914,3321.459,2195,30593
10,6885.813,2766.322,1780,25018
11,2104.413,640.947,971,5559
12,1469.572,401.178,805,5104
13,1932.070,626.722,679,7452
14,4578.490,2143.702,760,22254
15,5586.723,2404.035,1811,27525
16,7180.487,3098.969,1153,28917
17,6786.960,3140.537,1158,29914
18,5127.122,1816.254,1108,13910
19,1506.484,408.048,557,6150
20,1158.640,265.588,417,3590
21,1231.420,294.454,429,3320
22,2603.029,1420.387,401,11041
23,2694.430,1244.008,757,10181
24,4582.018,2276.917,857,22969
25,4809.828,2527.071,959,24577
26,6498.098,3411.525,971,27692
27,7265.011,3000.181,1122,28715
28,6113.620,2590.785,1519,22419
29,4411.863,2237.699,1045,23983
30,4217.125,2033.950,1200,14404
31,6952.471,2697.711,1482,19453
32,8655.567,3236.597,2290,24113
33,2093.854,605.334,961,5457
34,2414.003,892.585,1011,7223
35,1980.461,765.014,929,6926
36,8190.684,2576.118,2212,24967
37,8869.851,2918.748,2140,30545
38,10419.680,4155.857,2146,33788
39,7569.284,2540.409,1546,22063
40,5988.694,2732.591,1148,23011
41,1316.408,329.503,658,3212
42,1247.726,347.554,597,4090
43,1191.699,343.973,411,4135
44,2612.042,1472.823,577,12800
45,2817.542,1772.628,431,12170
46,2974.636,1706.589,691,16927
47,4755.756,3186.671,899,24159
48,4530.027,2734.590,824,26422
49,1294.928,307.138,652,5860
50,1309.645,456.664,660,4815
51,1074.543,233.957,444,2896
52,3069.624,1595.267,862,15967
53,5033.479,2399.190,1010,20825
54,10139.447,4075.155,1498,32166
55,8996.879,3570.838,1559,27662
56,8777.550,3042.634,1744,24071
57,8197.423,3291.876,1438,24893
58,8573.580,3259.855,2153,29896
59,8025.853,3522.125,1599,38722
60,7414.005,2843.694,1220,30098
61,4863.310,1646.983,1032,14832
62,5020.873,2327.065,1074,17916
63,3261.611,1479.840,778,15259
64,3410.542,1411.612,639,15248
65,3459.500,1601.275,836,14408
66,2590.378,1722.634,509,18486
67,1388.822,834.090,542,10553
68,1574.763,699.534,435,16116
69,3530.329,2066.069,860,21318
70,2192.572,1273.664,588,10823
71,1046.960,187.105,426,5274
72,979.531,184.777,363,2231
73,1021.766,235.517,402,3492
74,2679.599,1430.212,432,15239
75,4195.645,2228.974,772,24470
76,5000.227,2068.340,707,14283
77,6158.359,2858.876,1346,30223
78,4087.368,1953.593,723,17466
79,6868.051,2996.538,1433,26456
80,4474.246,2522.366,828,26623
81,4503.092,1547.950,741,14637
82,1100.787,286.539,531,2531
83,1318.525,343.692,378,3453
84,941.830,212.529,482,1787
85,2450.673,1069.527,446,12236
86,2491.987,979.685,573,8953
87,3016.662,1467.911,557,18373
88,2683.602,1359.479,527,12428
89,2463.156,947.613,1070,7034
90,2454.217,1053.018,1235,7557
91,3752.239,2305.830,1687,15748
92,2469.078,1219.327,1136,8801
93,3092.041,1241.779,1331,8321
94,2855.769,1081.147,1500,10537
95,4373.208,1992.683,1594,11651
96,3947.066,1892.687,1764,12876
97,4261.367,1674.968,2088,10772
98,2803.249,1257.552,1285,8637
99,2336.884,914.049,1303,7799
100,3100.485,1484.145,1675,9881
101,6030.192,2421.474,1898,15815
102,4570.568,1645.027,2229,12144
103,5999.391,2333.225,2554,17338
