 ,Mean,StdDev,Min,Max
1,3376.880,1846.693,741,15135
2,3305.091,1789.965,485,15789
3,4843.316,2393.490,872,25367
4,3328.386,1903.287,563,19150
5,6780.312,3117.166,1807,28292
6,3721.971,1864.882,664,19852
7,6898.280,2737.513,1936,29932
8,7294.162,3254.348,1854,27963
9,8740.469,3255.790,2126,28670
10,6856.285,2761.433,1751,24275
11,2078.780,641.941,960,5761
12,1449.830,401.928,792,5121
13,1917.015,637.857,719,7676
14,4536.997,2122.860,829,22090
15,5453.910,2327.732,1812,24956
16,6939.806,2946.567,1127,26406
17,6730.141,3115.341,1196,29345
18,5135.114,1847.436,1047,14139
19,1471.684,407.298,556,6313
20,1131.899,260.915,404,3261
21,1191.616,291.483,408,3383
22,2462.307,1373.860,384,10811
23,2419.502,1102.937,691,9170
24,4225.079,2089.792,832,19835
25,4441.562,2310.006,888,22207
26,6146.788,3240.804,928,26433
27,7001.483,2900.384,1126,26823
28,5962.158,2569.293,1394,21802
29,4294.296,2171.669,961,21563
30,4110.108,1998.427,1124,14277
31,6899.674,2700.553,1376,19547
32,8636.531,3272.401,2263,24130
33,2056.721,593.610,877,5508
34,2366.464,873.150,979,6944
35,1967.771,773.706,906,7199
36,8301.466,2645.316,2185,25431
37,8774.599,2852.725,2082,30030
38,10375.417,4120.161,2228,32847
39,7577.149,2595.465,1570,21800
40,6070.557,2785.235,1194,23227
41,1289.781,328.059,643,3259
42,1219.569,339.186,611,4089
43,1151.684,340.930,412,4198
44,2479.508,1415.129,604,12150
45,2453.845,1514.079,396,10681
46,2680.835,1509.136,670,14503
47,4310.641,2836.916,878,20994
48,4241.725,2543.114,803,23761
49,1246.035,284.433,635,6122
50,1260.167,427.726,612,4668
51,1042.072,221.825,448,2849
52,2967.186,1547.231,808,15266
53,4910.601,2353.920,951,20152
54,10094.058,4107.345,1376,31476
55,8835.271,3463.380,1575,26072
56,8739.445,3035.192,1778,23677
57,8043.964,3217.476,1401,23911
58,8463.865,3213.774,1937,28709
59,8000.601,3512.979,1577,37435
60,7430.428,2851.598,1269,29489
61,4914.579,1697.265,1101,14720
62,5085.899,2373.187,1057,18327
63,3242.348,1512.630,763,15204
64,3392.241,1439.280,663,15456
65,3309.429,1553.181,764,13818
66,2373.338,1546.478,498,16265
67,1190.352,629.293,513,8154
68,1381.008,584.626,408,13234
69,3192.527,1845.890,819,18431
70,2073.550,1229.195,534,10671
71,1017.032,178.273,385,5543
72,958.794,180.473,357,2243
73,1002.422,227.727,356,3517
74,2595.985,1409.455,427,14949
75,4092.210,2188.771,753,23452
76,4745.442,1962.591,688,13580
77,5902.465,2690.964,1226,27028
78,3727.306,1745.561,733,15903
79,6597.180,2843.921,1353,24635
