Combo,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
50607,542.8,531.287,529.899,526.727,526.277,526.215,524.607,529.632,541.284,566.835,666.117,933.738,1205.983,1408.719,1522.349,1594.026,1652.982,1704.368,1727.065,1767.948,1802.069,1829.175,1851.7,1868.144,1879.596
50610,519.884,509.18,507.755,505.327,504.428,504.019,504.296,508.393,518.725,540.146,591.624,771.182,1021.286,1245.272,1396.222,1493.314,1565.339,1621.908,1652.036,1698.436,1739.589,1771.616,1794.313,1811.85,1825.883
50710,553.823,540.948,538.338,535.613,534.956,534.86,534.93,540.588,551.147,578.312,686.829,959.473,1229.891,1442.812,1583.132,1684.13,1761.13,1822.311,1856.492,1911.003,1945.202,1965.028,1979.398,1989.65,1994.672
71011,532.278,521.416,520.709,520.777,524.4,529.648,535.535,550.654,566.104,580.956,649.258,819.456,1160.744,1813.09,2731.988,3561.736,4162.016,4561.563,4846.001,5234.339,5451.812,5520.605,5542.848,5537.505,5511.626
30711,550.603,539.031,537.517,536.253,538.336,541.223,542.719,550.456,560.466,591.412,878.246,1520.812,2703.221,4543.041,6725.546,8565.296,9934.386,11072.947,12038.383,12981.096,13437.045,13567.082,13541.247,13438.172,13309.927
30711,516.516,506.275,505.446,504.886,507.239,510.252,511.288,518.897,529.124,554.057,771.591,1221.514,2068.289,3464.783,5176.087,6680.663,7814.192,8744.772,9612.273,10500.095,10957.991,11215.494,11324.847,11311.647,11266.23
30710,536.625,527.66,525.874,523.585,523.144,522.837,520.788,524.832,535.14,562.987,752.592,1457.114,2609.652,4400.686,6560.028,8392.689,9663.272,10700.072,11644.33,12421.727,12734.086,12826.975,12754.842,12647.649,12548.536
10710,498.468,486.157,483.818,481.329,480.866,480.721,478.756,482.125,492.713,512.82,592.234,1023.74,1737.061,2891.657,4362.204,5702.356,6631.863,7290.041,7972.046,8670.296,8932.216,9049.84,9060.145,8980.973,8916.606
10410,530.551,520.361,518.649,516.97,518.451,521.966,523.859,532.018,553.542,601.675,853.338,1478.668,2533.423,4067.781,5605.437,6672.474,7227.982,7557.24,7786.326,8040.801,8063.103,8010.406,7932.514,7843.491,7765.918
10409,536.323,520.686,517.32,514.81,515.361,517.562,517.276,524.134,546.56,583.85,768.548,1251.687,2003.131,3187.988,4559.798,5688.483,6422.97,6814.395,7082.013,7486.255,7596.383,7554.785,7475.673,7377.301,7289.359
40609,524.944,511.862,509.611,508.186,510.194,513.755,516.309,528.274,553.781,617.762,945.678,1607.05,2813.458,4548.061,6375.307,7765.198,8539.89,9021.66,9402.581,9799.99,9849.696,9771.843,9683.988,9590.831,9491.508
60910,521.782,507.393,504.705,502.31,502.318,502.055,500.321,503.903,517.988,537.275,605.566,960.939,1512.561,2480.019,3688.852,4637.507,5109.484,5355.313,5470.47,5565.899,5538.218,5483.353,5445.61,5409.949,5366.537
40610,519.171,505.466,502.245,499.808,500.339,502.424,502.958,509.472,525.371,551.895,680.525,1155.053,1953.425,3295.367,4796.569,5891.471,6440.001,6723.572,6889.78,7070.242,7081.958,7035.884,6986.044,6938.568,6878.173
41011,548.336,531.127,528.368,527.198,530.896,536.689,541.244,551.881,569.915,588.702,656.961,825.043,1093.343,1651.976,2491.459,3219.064,3662.253,3862.588,3899.728,3961.887,3977.086,3976.845,3975.4,3971.462,3954.665
30411,521.788,509.211,507.589,507.592,511.709,518.306,523.061,537.514,556.748,582.56,678.057,867.985,1201.074,1850.057,2777.027,3647.963,4303.045,4682.548,4800.004,4919.708,4961.855,4977.952,4990.218,4986.983,4962.101
30411,544.029,532.152,531.51,531.935,536.971,543.855,549.461,560.989,580.154,598.236,628.526,703.652,823.381,1042.121,1476.436,2089.281,2696.154,3187.333,3520.903,3861.353,4128.752,4347.829,4497.304,4577.438,4614.312
30407,520.57,513.694,512.388,510.937,511.611,513.04,512.533,516.318,523.31,536.197,552.209,573.534,621.341,747.78,965.451,1324.591,1843.719,2400.324,2896.406,3394.985,3730.339,3975.962,4175.852,4302.762,4373.416
91011,547.975,552.557,557.943,562.091,569.979,576.856,577.88,585.059,593.374,609.57,620.342,634.441,687.793,825.139,1007.901,1269.092,1622.443,2004.904,2353.191,2718.354,3003.601,3241.097,3439.686,3574.824,3656.712
31011,523.954,524.613,528.717,531.942,537.376,542.848,541.132,543.926,547.746,557.115,565.388,578.748,641.819,811.079,1038.525,1377.003,1797.439,2198.633,2513.139,2791.779,2938.416,3028.932,3089.28,3117.551,3120.666
30511,560.579,559.414,564.293,568.158,575.356,582.376,587.765,594.969,607.952,624.904,654.321,740.277,827.352,871.687,906.733,941.989,977.793,1010.153,1032.015,1056.332,1075.181,1089.079,1101.01,1111.873,1120.388
30507,514.252,506.137,506.883,506.398,506.724,507.281,506.042,508.494,514.299,530.743,559.441,630.384,722.137,777.22,827.965,879.009,923.902,960.087,981.719,1009.188,1029.915,1043.591,1053.922,1062.405,1068.541
