 ,Mean,StdDev,Min,Max,IntDen,RawIntDen
105,11808.151,1361.674,9604,15284,7090910799,671328833
106,19865.375,1413.259,15760,22847,11929352396,1129406144
107,15712.073,1148.376,12015,18180,9435254262,893278510
108,29105.215,2433.605,20840,33778,17477966955,1654718765
109,10145.468,1077.682,7904,12720,6092452862,576800271
110,16899.067,812.649,13857,18340,10148055322,960762634
111,10117.113,718.685,8184,11728,6075425510,575188214
112,11400.84,1115.118,8851,14087,6846316359,648171963
113,12186.461,1420.966,8837,15988,7318089703,692836895
114,16823.078,2026.532,12111,21447,10102423325,956442445
115,11897.39,2159.321,7449,16662,7144499516,676402321
116,15799.975,1735.332,11798,19220,9488039764,898275954
117,15228.7,2281.249,9808,19630,9144983992,865797301
118,13035.751,2124.628,8840,17970,7828096245,741121538
119,17105.531,3194.357,10157,23611,10272039246,972500757
120,16443.438,2993.968,10497,22555,9874446075,934858800
121,18828.224,2135.126,14763,23870,11306533052,1070440999
122,17587.131,2327.756,12233,23017,10561244795,999881164
123,15472.936,2063.742,10796,22861,9291649839,879682825
124,17205.502,1569.229,13447,21557,10332072609,978184389
125,13359.211,2485.518,9045,20741,8022337409,759511234
126,19647.816,1628.366,16112,23597,11798706164,1117037270
127,15943.261,3582.143,9349,24974,9574084688,906422219
128,13969.526,1035.351,10842,16462,8388837696,794209486
129,20572.453,2061.135,13156,23679,12353960132,1169605693
130,14425.128,1589.215,10721,18328,8662430666,820111779
131,15733.419,876.792,12026,17743,9448072468,894492068
132,13886.914,859.696,11633,15716,8339228042,789512714
133,30586.922,6907.17,15759,42341,18367746991,1738958295
134,10358.027,3667.665,6758,21836,6220096957,588884919
135,24207.797,12136.133,9311,47384,14537019428,1376285863
136,13939.834,948.442,10785,15820,8371006802,792521354
137,9718.294,938.612,8082,12659,5835931164,552514193
138,8662.297,885.64,7203,11689,5201794080,492477546
139,23445.781,2649.748,12886,27082,14079421402,1332962973
140,7201.792,454.007,5956,8259,4324746652,409443470
141,27731.674,7685.473,14482,41410,16653142059,1576628834
142,13266.852,1264.794,9793,16111,7966874577,754260315
143,9547.034,943.658,8223,15240,5733087333,542777499
144,7950.712,1078.968,6143,15696,4774480347,452021808
145,20330.354,2603.206,11697,26278,12208577006,1155841610
146,10814.827,949.806,6935,12221,6494409772,614855363
147,10805.621,3850.77,7298,22457,6488881687,614331994
148,14480.593,1284.131,11201,17414,8695738179,823265153
149,9183.534,545.606,6829,10565,5514802391,522111469
150,14925.913,1750.101,9800,17672,8963157409,848582950
151,14390.249,1377.735,10193,17051,8641485936,818128846
152,7981.43,536.432,6438,9588,4792927320,453768267
153,11200.661,1197.704,9066,16299,6726106723,636791169
154,8797.574,928.453,6597,12497,5283029243,500168449
155,13696.301,1951,9553,22095,8224762884,778675776
156,15777.085,2571.628,8806,19270,9474294202,896974599
157,14593.242,1183.271,11137,16949,8763384780,829669565
