LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,3396.482,709.282,1085,9241,33323205624,3154859704
2,3223.727,578.556,1183,6326,31789450993,3009652165
3,4108.476,849.402,1249,7889,40308644135,3816202995
4,4010.18,718.172,1246,5263,39544733937,3743880136
5,5140.839,1973.74,1375,11983,50437256249,4775124852
6,4560.887,1576.057,1275,10277,44975305883,4258017125
7,4724.653,1447.736,1453,10735,46354018065,4388546089
8,4600.978,1285.748,1464,9476,45370640316,4295445237
9,3925.398,877.625,1315,6024,38512448147,3646148937
10,3227.278,456.5,1500,4904,31824468279,3012967411
11,4687.627,1158.361,1501,8312,45990753114,4354154141
12,4264.215,696.441,1612,6562,42049789312,3981045142
13,5141.985,1595.272,1752,10393,50448496756,4776189042
14,4243.15,740.411,1332,7220,41842069754,3961379385
15,4754.44,1052.26,1703,9147,46646256097,4416213595
16,4206.611,711.598,1380,6361,41481754043,3927266655
17,4740.661,932.226,1454,8812,46511068128,4403414734
18,3868.683,462.744,1403,5341,38149413681,3611778810
19,4451.483,537.752,1594,6863,43673919144,4134808913
20,3291.007,514.577,1482,7927,32452904908,3072464370
21,3184.229,508.495,1438,7786,31240772382,2957706261
22,2804.769,660.999,830,7393,27658069927,2618515496
23,3267.088,449.758,1623,6179,32217040798,3050134040
24,3609.348,472.171,1619,4826,35411652498,3352582485
25,4518.872,826.39,1770,7107,44560983951,4218791380
26,4707.67,1433.8,1577,9477,46187394258,4372771054
27,4703.087,1250.545,1787,9678,46377550945,4390774054
28,5386.451,2496.745,1534,15700,52846975071,5003263912
29,4870.728,1360.947,1443,9845,48030670118,4547282378
30,4509.489,928.557,1572,8215,44243023169,4188688584
31,5219.853,1736.715,2073,12119,51473421571,4873223344
32,5992.644,2004.251,2205,11604,58794398386,5566333575
33,4539.537,1000.479,1838,8186,44764762979,4238084069
34,5013.662,1361.494,1956,10505,49189515349,4656995536
35,4771.021,1362.866,1861,9930,47047446845,4454196151
36,5219.79,2191.877,2065,12823,51211852772,4848459434
37,4773.483,1551.463,1720,12595,47071728216,4456494979
38,4526.183,805.797,2102,7628,44406812201,4204195238
39,4805.296,1162.251,1715,8548,47385441997,4486195692
40,4311.84,665.054,1973,6076,42303872605,4005100365
41,4274.904,794.575,1431,7635,42155203052,3991025141
42,4143.264,877.584,1600,7017,40649958045,3848516738
43,3990.043,737.846,1351,6689,39346164577,3725080670
44,3133.322,687.764,1339,10740,30741322467,2910421062
45,3646.714,717.309,1092,10598,35778256160,3387290524
46,4023.567,624.147,1542,5669,39676737872,3756377550
47,4639.976,927.487,1530,7784,45523243608,4309892886
48,4532.257,1082.035,1891,8297,44692982774,4231288310
49,5223.566,2167.92,1754,12738,51248901818,4851967036
50,4935.192,1691.638,1633,11455,48666358231,4607465868
51,4731.284,1388.035,1396,10302,46419073876,4394705219
52,4432.899,649.221,1844,6387,43713196170,4138527448
53,4541.608,888.702,1750,8190,44558142892,4218522404
54,4912.446,1095.775,1761,8806,48442056213,4586230174
55,4678.198,1175.916,1910,8418,45898242303,4345395721
56,5261.616,1521.594,1700,10351,51885251735,4912213182
57,4877.658,1368.737,1620,10716,47855159646,4530666002
58,5065.594,1995.304,1755,12165,49952259352,4729207986
59,4926.081,1725.946,1777,10994,48330248147,4575644795
60,4680.038,1325.537,1697,9422,46150259508,4369255338
61,4904.728,1289.999,1984,10038,48120744910,4555810169
62,4548.995,1354.244,1595,8990,44858033065,4246914373
63,4969.161,1436.732,1745,10544,48752903131,4615659468
64,4230.325,708.019,1557,6441,41715605258,3949406415
65,4311.533,651.859,1666,6910,42300861215,4004815263
66,3278.324,603.642,913,9126,32327839384,3060623847
67,4366.38,968.041,1567,7575,43057246646,4076425718
68,4123.118,832.901,1315,6262,40452295392,3829803114
69,4785.866,835.951,1937,8263,47193837476,4468055619
70,4477.857,968.836,1475,8050,43932681096,4159307086
71,4897.062,1322.722,1614,9708,48290351430,4571867591
72,4542.27,1349.588,1634,10239,44564639126,4219137432
73,4174.755,586.567,1274,6248,41167622568,3897526397
74,4114.339,599.145,1470,6588,40366171270,3821649351
75,4590.912,703.907,1618,7108,45271381472,4286047950
76,4464.266,829.913,1489,7723,43799339209,4146683002
77,4879.171,1455.68,1572,9291,48113926151,4555164606
78,4536.463,1292.243,1412,10000,44507663659,4213743305
79,4492.954,994.149,1484,9026,44305407881,4194594829
80,5015.132,1923.959,1365,12289,49203935697,4658360776
81,4871.782,1613.667,1319,10482,48041059435,4548265982
82,4505.353,1072.854,1346,9288,44202447018,4184847055
83,4771.22,1250.246,1469,9071,47049417670,4454382738
84,4374.478,1110.535,1226,8637,42918413791,4063281779
85,4478.181,991.741,1353,7580,44159729501,4180802793
86,3492.787,722.118,1171,6232,34268062812,3244313639
87,3790.797,749.511,1252,8863,37381380854,3539065643
88,3225.376,813.692,1049,7741,31644465122,2995925692
89,3848.318,652.924,2500,7320,2310952855,218788436
90,3448.041,330.185,2766,4407,2070582645,196031493
91,3192.257,211.52,2332,3829,1916981819,181489403
92,4035.2,415.964,3176,6326,2423177474,229413252
93,3298.188,451.738,1866,4125,1980593979,187511856
94,3468.346,135.378,2986,3965,2082775805,197185875
95,4965.871,887.309,2886,7396,2982054538,282324690
96,4387.015,136.475,3903,5033,2634445557,249414964
97,3721.102,110.239,3276,4172,2234558507,211555835
98,4511.331,219.03,3372,5130,2709098329,256482682
99,4454.191,444.844,2250,5263,2674785266,253234108
100,4225.174,122.154,3718,4654,2537258294,240213803
101,3866.184,178.301,2991,4436,2321681461,219804162
102,4626.185,413.919,3450,5705,2778069552,263012502
103,4293.974,373.525,3104,5275,2578573344,244125287
104,3796.274,145.253,3120,4319,2279699696,215829557
105,4057.71,318.893,2246,4792,2436694633,230692983
106,4514.475,189.089,3693,5360,2710986238,256661419
107,3861.148,170.942,3034,4422,2318656974,219517820
108,4450.209,219.818,3646,5259,2672394106,253007726
109,4454.688,258.807,3493,5142,2675083593,253262352
110,3788.079,158.278,3100,4414,2274778606,215363655
111,3978.753,381.871,2292,4967,2389280479,226204069
112,5610.455,403.128,4384,6837,3369133448,318971214
113,3146.302,173.816,2449,3623,1889385366,178876721
114,4905.35,198.42,4113,5521,2945710792,278883862
115,3934.072,403.623,2756,5041,2362448951,223663806
116,2962.037,232.806,2117,3522,1778732278,168400689
117,3938.801,307.194,2426,4904,2365288827,223932670
118,3492.461,243.022,2655,4195,2097256865,198556863
119,3599.404,204.108,2926,4340,2161477615,204636934
120,4037.665,324.884,3027,4976,2424657724,229553394
121,5088.666,250.487,4162,5974,3055793696,289305912
122,4174.075,249.884,3236,4973,2506572785,237308666
123,3810.8,273.902,1903,4643,2288422673,216655401
124,5028.8,285.438,3983,5861,3019843646,285902357
125,3756.184,169.655,3172,4439,2255625318,213550326
126,5170.148,349.702,3525,6222,3104724878,293938450
127,4368.707,358.242,2612,5377,2623451357,248374093
128,3986.207,209.074,3151,4731,2393756296,226627815
129,4407.474,290.43,2630,5114,2646731435,250578124
