LocationID,Mean,StdDev,Min,Max,IntDen,RawIntDen
105,21740.007,5944.124,3980,27597,13055087475,1235984613
106,28995.802,2502.671,17605,32762,17412263516,1648498321
107,18406.657,2861.752,7589,21670,11053378340,1046473689
108,29118.656,1649.739,23106,32030,17486038850,1655482968
109,25827.561,4998.249,9303,32826,15509703840,1468374328
110,20877.626,1240.03,15070,22972,12537219201,1186955664
111,16766.828,2363.17,4635,19800,10068644524,953244452
112,31422.752,3056.065,20905,36875,18869670738,1786477703
113,7953.273,1495.158,5479,12049,4776018722,452167453
114,28288.814,1241.488,22886,30466,16987710641,1608303966
115,15647.855,1573.554,8528,19407,9396690490,889627502
116,9660.396,1600.24,6601,13077,5801162318,549222468
117,23846.351,4314.395,5432,30316,14319967721,1355736589
118,25469.067,1564.557,17955,28206,15294424457,1447992848
119,16517.653,1417.563,11167,19730,9919012526,939078109
120,30719.967,2125.247,22732,33651,18447641921,1746522312
121,28871.125,6055.35,10794,51787,17337393801,1641410064
122,20776.301,1233.596,15930,22996,12476372547,1181195034
123,19124.376,3363.261,4281,26900,11484375702,1087278173
124,35436.66,4760.877,18831,41159,21280062148,2014680440
125,17244.822,1130.922,12472,19832,10355684887,980419871
126,26241.738,3094.268,16609,33167,15758421425,1491921555
127,28481.795,5699.094,9215,39269,17103597585,1619275511
128,18211.508,1429.485,14285,21108,10936189209,1035378860
129,20886.939,3859.392,5300,25587,12542811633,1187485125
130,15437.374,3230.78,10542,27819,9270294577,877661025
131,15376.323,1362.504,11846,17959,9233632857,874190093
132,17727.473,2436.103,13194,22519,10645521567,1007860030
133,35584.041,13199.269,8489,65535,21368565800,2023059484
134,16609.621,559.53,15240,19583,9974240617,944306804
135,20005.863,2506.435,4917,22970,12013717281,1137393352
136,27364.001,4550.112,7828,33444,16432351090,1555725547
137,19595.081,1239.66,16187,22518,11767038670,1114039164
138,21978.343,2259.967,13114,26222,13198210744,1249534745
139,25256.959,5840.919,6206,31225,15167051713,1435933890
140,20299.923,1354.808,15738,22755,12190302972,1154111524
141,22442.779,3237.884,5332,26629,13477109152,1275939328
142,20481.448,3136.999,5805,32352,12299310560,1164431769
143,21878.991,1974.088,17866,26886,13138548906,1243886287
144,21662.385,3465.782,7774,26094,13008474518,1231571552
145,19770.908,4384.27,6161,23855,11872623997,1124035408
146,13461.345,1260.539,9180,15727,8083670012,765317871
147,20172.403,3553.72,3972,25296,12113725893,1146861623
148,13818.765,2341.23,5365,19197,8298304206,785638268
149,15108.362,1249.428,11008,17356,9072719750,858955716
150,13661.439,2922.751,5360,18509,8203828326,776693806
151,18629.289,5595.893,4677,27160,11187070564,1059130941
152,16662.024,4345.307,6139,22834,10005708650,947286026
153,14866.992,4923.448,2694,22571,8927774312,845233071
154,13729.634,6143.159,4202,23881,8244780195,780570906
155,18198.846,4796.279,4541,25527,10928585307,1034658964
156,12875.489,2814.823,5442,17069,7731857611,732010188
157,20298.089,2267.395,14817,23824,12189201494,1154007242
158,16636.273,2937.495,6088,20495,9990245424,945822052
159,20078.987,2057.619,12367,23745,12057628667,1141550643
160,13350.387,1514.089,7100,16185,8017038298,759009543
161,24874.038,5515.246,6683,29231,14937103923,1414163685
162,11166.985,2034.391,5226,14419,6705884003,634876592
163,16002.533,978.602,13007,18366,9609677894,909791990
164,17406.379,3175.371,5703,21494,10452701334,989604860
165,25744.075,1888.721,17836,29579,15459569535,1463627885
166,21990.604,2480.725,7145,25205,13205573662,1250231826
167,24210.346,3873.726,6474,28346,14538550314,1376430799
168,18926.834,4413.568,4309,23956,11365749469,1076047287
169,25931.525,1495.956,21438,29854,15572135154,1474284985
170,17875.784,4691.393,4994,23423,10734583901,1016291967
171,30962.946,2529.511,20465,34396,18593553172,1760336395
172,25581.949,3097.86,6956,30035,15362211318,1454410539
173,25427.695,2969.244,7682,29006,15269580559,1445640763
174,23223.175,4837.459,7890,28540,13945744430,1320307165
175,25393.915,2084.843,20134,31184,15249294951,1443720232
176,22190.979,2018.88,11501,26091,13325900395,1261623706
177,21768.525,1248.524,18000,24149,13072213026,1237605967
178,15715.728,1146.093,11467,18194,9437449065,893486302
179,28383.786,2836.652,16679,32112,17044741846,1613703370
180,17989.477,2968.42,6534,22105,10802857335,1022755724
181,22784.265,2754.278,15637,27613,13682174692,1295353817
182,22322.402,1655.72,15725,25149,13404821272,1269095505
183,32213.11,2593.096,21489,37187,19344288637,1831411942
184,23601.816,3049.159,12718,27713,14173121879,1341834024
185,26890.482,1803.411,19760,30400,16147998514,1528804593
186,24167.308,3411.025,9772,29529,14512705609,1373983963
187,21430.723,1618.35,16451,24325,12869359739,1218400922
188,22429.575,1254.353,17057,25218,13469179957,1275188635
189,26114.085,1561.824,19978,29001,15681764218,1484664068
190,27079.34,4179.745,14265,31864,16261409660,1539541743
191,20990.912,1460.191,15477,23485,12605248894,1193396345
192,24526.48,3453.618,9566,28906,14728391880,1394403965
193,26506.102,2217.14,18402,30343,15917174067,1506951391
194,21215.575,1163.811,15585,23301,12740160844,1206169074
195,27674.169,2459.465,18342,31242,16618610215,1573359547
196,27527.198,4821.721,14405,34553,16530352595,1565003796
197,19943.486,1714.078,15887,23861,11976258948,1133847001
198,32713.764,3599.203,14479,37553,19644936014,1859875599
199,24030.465,2334.914,15433,27343,14430530268,1366204049
200,23705.144,1680.636,18546,27887,14235171570,1347708551
